doc_id,chap_num,sent_num
0,1,0
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,2,0
12,2,1
13,2,2
14,2,3
15,2,4
16,2,5
17,2,6
18,2,7
19,2,8
20,2,9
21,2,10
22,2,11
23,2,12
24,2,13
25,2,14
26,2,15
27,2,16
28,3,0
29,3,1
30,3,2
31,3,3
32,3,4
33,3,5
34,3,6
35,3,7
36,3,8
37,3,9
38,3,10
39,3,11
40,3,12
41,3,13
42,3,14
43,3,15
44,3,16
45,3,17
46,3,18
47,3,19
48,3,20
49,3,21
50,3,22
51,3,23
52,3,24
53,3,25
54,3,26
55,3,27
56,3,28
57,3,29
58,3,30
59,4,0
60,4,1
61,4,2
62,4,3
63,4,4
64,4,5
65,4,6
66,4,7
67,4,8
68,4,9
69,4,10
70,4,11
71,4,12
72,4,13
73,4,14
74,4,15
75,5,0
76,5,1
77,5,2
78,5,3
79,5,4
80,5,5
81,5,6
82,5,7
83,5,8
84,5,9
85,5,10
86,5,11
87,5,12
88,5,13
89,5,14
90,5,15
91,5,16
92,5,17
93,5,18
94,5,19
95,5,20
96,5,21
97,5,22
98,5,23
99,5,24
100,5,25
101,6,0
102,6,1
103,6,2
104,6,3
105,6,4
106,6,5
107,6,6
108,6,7
109,6,8
110,6,9
111,6,10
112,6,11
113,6,12
114,6,13
115,6,14
116,6,15
117,6,16
118,6,17
119,6,18
120,6,19
121,6,20
122,6,21
123,6,22
124,6,23
125,6,24
126,6,25
127,6,26
128,6,27
129,7,0
130,7,1
131,7,2
132,7,3
133,7,4
134,7,5
135,7,6
136,7,7
137,7,8
138,7,9
139,7,10
140,7,11
141,7,12
142,7,13
143,7,14
144,7,15
145,7,16
146,7,17
147,7,18
148,7,19
149,7,20
150,7,21
151,7,22
152,7,23
153,7,24
154,7,25
155,7,26
156,7,27
157,7,28
158,7,29
159,7,30
160,7,31
161,7,32
162,7,33
163,7,34
164,7,35
165,7,36
166,7,37
167,7,38
168,7,39
169,7,40
170,7,41
171,7,42
172,7,43
173,7,44
174,7,45
175,7,46
176,7,47
177,8,0
178,8,1
179,8,2
180,8,3
181,8,4
182,8,5
183,8,6
184,8,7
185,8,8
186,8,9
187,8,10
188,8,11
189,8,12
190,8,13
191,8,14
192,8,15
193,8,16
194,8,17
195,8,18
196,8,19
197,8,20
198,8,21
199,8,22
200,8,23
201,8,24
202,8,25
203,8,26
204,8,27
205,8,28
206,8,29
207,8,30
208,8,31
209,8,32
210,8,33
211,8,34
212,8,35
213,8,36
214,8,37
215,8,38
216,8,39
217,8,40
218,8,41
219,8,42
220,8,43
221,8,44
222,8,45
223,8,46
224,8,47
225,8,48
226,8,49
227,8,50
228,8,51
229,8,52
230,8,53
231,8,54
232,8,55
233,8,56
234,8,57
235,8,58
236,8,59
237,8,60
238,9,0
239,9,1
240,9,2
241,9,3
242,9,4
243,9,5
244,9,6
245,9,7
246,9,8
247,9,9
248,9,10
249,9,11
250,9,12
251,9,13
252,9,14
253,9,15
254,9,16
255,9,17
256,9,18
257,9,19
258,9,20
259,9,21
260,9,22
261,10,0
262,10,1
263,10,2
264,10,3
265,10,4
266,10,5
267,10,6
268,10,7
269,10,8
270,10,9
271,10,10
272,10,11
273,10,12
274,10,13
275,10,14
276,10,15
277,10,16
278,10,17
279,10,18
280,10,19
281,10,20
282,10,21
283,10,22
284,10,23
285,10,24
286,10,25
287,10,26
288,10,27
289,11,0
290,11,1
291,11,2
292,11,3
293,11,4
294,11,5
295,11,6
296,11,7
297,11,8
298,11,9
299,11,10
300,11,11
301,11,12
302,11,13
303,11,14
304,11,15
305,11,16
306,11,17
307,11,18
308,11,19
309,11,20
310,11,21
311,11,22
312,11,23
313,11,24
314,11,25
315,11,26
316,11,27
317,11,28
318,11,29
319,11,30
320,11,31
321,11,32
322,11,33
323,11,34
324,11,35
325,11,36
326,11,37
327,11,38
328,11,39
329,11,40
330,11,41
331,11,42
332,11,43
333,11,44
334,11,45
335,11,46
336,11,47
337,11,48
338,11,49
339,11,50
340,11,51
341,11,52
342,11,53
343,11,54
344,11,55
345,11,56
346,11,57
347,11,58
348,11,59
349,11,60
350,11,61
351,11,62
352,11,63
353,11,64
354,11,65
355,11,66
356,11,67
357,11,68
358,11,69
359,11,70
360,11,71
361,11,72
362,11,73
363,11,74
364,11,75
365,11,76
366,11,77
367,11,78
368,11,79
369,11,80
370,11,81
371,11,82
372,11,83
373,11,84
374,11,85
375,11,86
376,11,87
377,11,88
378,11,89
379,11,90
380,11,91
381,11,92
382,11,93
383,12,0
384,12,1
385,12,2
386,12,3
387,12,4
388,12,5
389,12,6
390,12,7
391,12,8
392,12,9
393,12,10
394,12,11
395,12,12
396,12,13
397,12,14
398,12,15
399,12,16
400,12,17
401,12,18
402,12,19
403,12,20
404,12,21
405,12,22
406,12,23
407,12,24
408,12,25
409,12,26
410,12,27
411,12,28
412,12,29
413,12,30
414,12,31
415,12,32
416,12,33
417,12,34
418,12,35
419,12,36
420,12,37
421,12,38
422,12,39
423,12,40
424,12,41
425,12,42
426,12,43
427,12,44
428,12,45
429,12,46
430,12,47
431,12,48
432,12,49
433,12,50
434,12,51
435,12,52
436,12,53
437,12,54
438,12,55
439,12,56
440,12,57
441,12,58
442,12,59
443,12,60
444,12,61
445,12,62
446,12,63
447,12,64
448,12,65
449,12,66
450,12,67
451,12,68
452,12,69
453,12,70
454,12,71
455,12,72
456,12,73
457,12,74
458,12,75
459,12,76
460,12,77
461,12,78
462,12,79
463,12,80
464,12,81
465,12,82
466,12,83
467,12,84
468,12,85
469,12,86
470,12,87
471,12,88
472,12,89
473,12,90
474,12,91
475,12,92
476,12,93
477,12,94
478,13,0
479,13,1
480,13,2
481,13,3
482,13,4
483,13,5
484,13,6
485,13,7
486,13,8
487,13,9
488,13,10
489,13,11
490,13,12
491,13,13
492,13,14
493,13,15
494,13,16
495,13,17
496,13,18
497,13,19
498,13,20
499,13,21
500,13,22
501,13,23
502,13,24
503,13,25
504,13,26
505,13,27
506,13,28
507,13,29
508,13,30
509,13,31
510,13,32
511,13,33
512,13,34
513,13,35
