doc_id,doc_str
0,Este es el principio de las antiguas historias de este lugar llamado Quiché .  
1,"Aquí escribiremos y comenzaremos las antiguas historias ,   el principio y el origen de todo lo que se hizo en la ciudad de Quiché , por las tribus de la nación quiché ."
2,"Y aquí traeremos la manifestación , la publicación y la narración de lo que estaba oculto , la revelación por Tzacol , Bitol , Alom , Qaholom , que se llaman Hunahpú-Vuch , Hunahpú-Utiú , Zaqui-Nimá-Tziís , Tepeu , Gucumatz , u Qux Cho , u Qux Palo , Ah Raxá Lac , Ah Raxá Tzel , así llamados ."
3,"Y ( al mismo tiempo ) la declaración , la narración conjuntas de la Abuela y el Abuelo cuyos nombres son Ixpiyacoc e Ixmucané , amparadores y protectores , dos veces abuela , dos veces abuelo , así llamados en las historias quichés , cuando contaban todo lo que hicieron en el principio de la vida , el principio de la historia ."
4,"Esto lo escribiremos ya dentro de la ley de Dios en el Cristianismo ; lo sacaremos a luz porque ya no se ve el Popol Vuh así llamado , donde se veía claramente la venida del otro lado del mar , la narración de nuestra oscuridad , y se veía claramente la vida ."
5,"Existia el libro original , escrito antiguamente pero su vista está oculta al investigador y al pensa- dor ."
6,"Grande era la descripción y el relato de cómo se acabó de formar todo el cielo y la tierra , como fue formado y repartido en cuatro partes , cómo fue señalado y el cielo fue medido y se trajo la cuerda de medir y fue extendida en el cielo y en la tierra , en los cuatro ángulos , en los cuatro rincones , como fue dicho por el Creador y el Formador , la madre y el padre de la vida , de todo lo creado , el que da la respiración y el pensamiento , la que da a luz a los hijos el que vela por la felicidad de los pueblos , la felicidad del linaje humano , el sabio , el que medita en la bondad de todo lo que existe en el cielo , en la tierra , en los lagos y en el mar ."
7,"Esta es la relación de cómo todo estaba en suspenso , todo en calma , en silencio ; todo inmóvil , callado y vacía la extensión del cielo ."
8,"Esta es la primera relación , el primer discurso ."
9,"No había todavía un hombre , ni un animal , pájaros , peces , cangrejos , árboles , piedras , cuevas , barrancas , hierbas , ni bosques : sólo el cielo existía ."
10,No se manifestaba la faz de la tierra .
11,Sólo estaban el mar en calma y el cielo en toda su extensión .
12,"No había nada junto , que hiciera ruido ni cosa alguna que se moviera , ni se agitara , ni hiciera ruido en el cielo ."
13,"No había nada que estuviera en pie ; sólo el agua en reposo , el mar apacible solo y tranquilo ."
14,No había nada dotado de existencia .
15,"Solamente había inmovilidad y silencio en la oscuridad , en la noche ."
16,"Sólo el Creador , el Formador , Tepeu , Gucumatz , los progenitores , estaban en elagua rodeados de claridad ."
17,"Estaban ocultos bajo plumas verdes y azules , por eso se les llama Gucumatz ."
18,"De grandes sabios , de grandes pensadores es su naturaleza ."
19,"De esta manera existía el cielo y también el Corazón del Cielo , que éste es el nombre de Dios ."
20,Así contaban .
21,"Llegó aquí entonces la palabra , vinieron juntos Tepeu y Gucumatz , en la oscuridad , en la noche , y hablaron entre sí Tepeu y Gucumatz ."
22,"Hablaron , pues , consultando entre sí y meditando ; se pusieron de acuerdo , juntaron sus palabras y su pensamiento ."
23,"Entonces se manifestó con claridad , mientras meditaban , que cuando amaneciera debía aparecer el hombre ."
24,Entonces dispusieron la creación y crecimiento de los árboles y los bejucos y el nacimiento de la vida y la creación del hombre .
25,"Se dispuso así en las tinieblas y en la noche por el Corazón el Cielo , que se llama Huracán ."
26,El primero se llama Caculhá Huracán .
27,El segundo es Chipi-Caculhá .
28,El tercero es Raxa- Caculhá .
29,Y estos tres son el corazón del Cielo .
30,"Entonces vinieron juntos Tepeu y Gucumatz ; entonces conferenciaron sobre la vida y la claridad , como se hará para que aclare y amanezca , quién será el que produzca el alimento y el sustento ."
31,"— ¡ Hágase así ! ¡ Que se llene el vacío ! ¡ Que esta agua se retire y desocupe ( el espacio ) , que surja la tierra y que se afirme ! ."
32,Así dijeron .
33,"¡ Que aclare , que amanezca en el cielo y en la tierra ! No habrá gloria ni grandeza en nuestra creación y formación hasta que exista la criatura humana el hombre formado ."
34,Así dijeron .
35,Luego la tierra fue creada por ellos .
36,"Así fue en verdad como se hizo la creación de la tierra : — ¡ Tierra ! , dijeron y al instante fue hecha ."
37,"Como la neblina , como la nube y como una polvareda fue la creación , cuando surgieron del agua las montañas ; y al instante crecieron las montañas ."
38,"Solamente por un prodigio , sólo por arte mágica se realizó la formación de las montañas y los valles ; y al instante brotaron juntos los cipresales y pinares en la superficie ."
39,"Y así se llenó de alegría Gucumatz diciendo : — ¡ Buena ha sido tu venida , Corazón del Cielo ; tú , Huracán y tú , Chipi-Caculhá , Raxa-Caculhá ! — Nuestra obra , nuestra creación será terminada , contestaron ."
40,"Primero se formaron la tierra , las montañas y los valles ; se dividieron las corrientes de agua , los arroyos se fueron corriendo libremente entre los cerros , y las aguas quedaron separadas cuando aparecieron las altas montañas ."
41,"Así fue la creación de la tierra , cuando fue formada por el Corazón del Cielo , el Corazón de la Tierra , que así son llamados los que primero la fecundaron , cuando el cielo estaba en suspenso y la tierra se hallaba sumergida dentro del agua ."
42,"De esta manera se perfeccionó la obra , cuando la ejecutaron después de pensar y meditar sobre su feliz terminación ."
43,"Luego hicieron a los animales pequeños del monte , los guardianes de todos los bosques , los genios de la montaña , los venados , los pájaros , leones , tigres , serpientes , culebras , cantiles , ( víboras ) , guardianes de los bejucos ."
44,Y dijeron los Progenitores : — ¿ Sólo silencio e inmovilidad habrá bajo los árboles y los bejucos ?
45,Conviene que en lo sucesivo haya quien los guarde .
46,Así dijeron cuando meditaron y hablaron en seguida .
47,Al punto fueron creados los venados y las aves .
48,En seguida les repartieron sus moradas a los venados y a las aves .
49,"— Tú , venado , dormirás con la vega de los ríos y en los barrancos ."
50,"Aquí estarás entre la maleza , entre las hierbas ; en el bosque os multiplicaréis , en cuatro pies andaréis y os sostendréis ."
51,"Y así como se dijo , así se hizo ."
52,"Luego designaron también su morada a los pájaros pequeños y a las aves mayores : — Vosotros , pájaros , habitaréis sobre los árboles y los bejucos allí haréis vuestros nidos , allí os multiplicaréis , allí os sacudiréis en las ramas de los árboles y de los bejucos ."
53,"Así les fue dicho a los venados y a los pájaros para que hicieran lo que debían hacer , y todos tomaron sus habitaciones y sus nidos ."
54,De esta manera los Progenitores les dieron sus habitaciones a los animales de la tierra .
55,"Y estando terminada la creación de todos los cuadrúpedos y las aves , les fue dicho a los cuadrúpedos y pájaros por el Creador y el Formador y los Progenitores : — Hablad , gritad , gorjead , llamad , hablad cada uno según vuestra especie , según la variedad de cada uno ."
