doc_id,token_num,token_str,term_str
0,0,ARE',are'
0,1,U,u
0,2,XE',xe'
0,3,OJER,ojer
0,4,"TZIJ,",tzij
0,5,Waral,waral
0,6,K'iche',k'iche'
0,7,u,u
0,8,b'i'.,b'i'
1,0,WARAL,waral
1,1,xchiqatz'ib'aj,xchiqatz'ib'aj
1,2,"wi,",wi
1,3,Xchiqatikib'a',xchiqatikib'a'
1,4,wi,wi
1,5,ojer,ojer
1,6,"tzij,",tzij
1,7,U,u
1,8,"tikarib'al,",tikarib'al
1,9,U,u
1,10,xe'nab'al,xe'nab'al
1,11,"puch,",puch
1,12,Ronojel,ronojel
1,13,xb'an,xb'an
1,14,pa,pa
1,15,Tinamit,tinamit
1,16,"K'iche',",k'iche'
1,17,Ramaq',ramaq'
1,18,K'iche',k'iche'
1,19,winaq.,winaq
2,0,Are',are'
2,1,k'ut,k'ut
2,2,xchiqak'am,xchiqak'am
2,3,wi,wi
2,4,U,u
2,5,"k'utunisaxik,",k'utunisaxik
2,6,U,u
2,7,"q'alajob'isaxik,",q'alajob'isaxik
2,8,U,u
2,9,tzijoxik,tzijoxik
2,10,"puch,",puch
2,11,"Awaxib'al,",awaxib'al
2,12,"Saqirib'al,",saqirib'al
2,13,Rumal,rumal
2,14,"Tz'aqol,",tz'aqol
2,15,B'itol;,b'itol
2,16,"Alom,",alom
2,17,"K'ajolom,",k'ajolom
2,18,ki,ki
2,19,b'i'.,b'i'
3,0,Junajpu,junajpu
3,1,"Wuch',",wuch'
3,2,Junajpu,junajpu
3,3,"Utiw,",utiw
3,4,Saqi,saqi
3,5,Nim,nim
3,6,"Aq,",aq
3,7,"Sis,",sis
3,8,"Tepew,",tepew
3,9,"Q'ukumatz,",q'ukumatz
3,10,U,u
3,11,K'u'x,k'u'x
3,12,"Cho,",cho
3,13,U,u
3,14,K'u'x,k'u'x
3,15,"Palo,",palo
3,16,Aj,aj
3,17,Raxa,raxa
3,18,"Laq,",laq
3,19,Aj,aj
3,20,Raxa,raxa
3,21,"Sel,",sel
3,22,"chuchaxik,",chuchaxik
3,23,Rach,rach
3,24,"b'i'xik,",b'i'xik
3,25,Rach,rach
3,26,tzijoxik,tzijoxik
3,27,ri':,ri'
3,28,"I'yom,",i'yom
3,29,"Mamom,",mamom
3,30,"Xpiyakok,",xpiyakok
3,31,"Xmuqane,",xmuqane
3,32,u,u
3,33,"b'i',",b'i'
3,34,"Matzanel,",matzanel
3,35,"Chuqenel,",chuqenel
3,36,Kamul,kamul
3,37,"I'yom,",i'yom
3,38,Kamul,kamul
3,39,"Mamom,",mamom
3,40,Chuchaxik,chuchaxik
3,41,Pa,pa
3,42,K'iche',k'iche'
3,43,tzij.,tzij
4,0,Ta,ta
4,1,xkitzijoj,xkitzijoj
4,2,"ronojel,",ronojel
4,3,Ruk',ruk'
4,4,xkib'an,xkib'an
4,5,"chik,",chik
4,6,Chi,chi
4,7,saqil,saqil
4,8,"k'olem,",k'olem
4,9,Saqil,saqil
4,10,tzij.,tzij
5,0,Wa'e,wa'e
5,1,xchiqatz'ib'aj,xchiqatz'ib'aj
5,2,Chupan,chupan
