doc_id,doc_str
0,"ARE' U XE' OJER TZIJ, Waral K'iche' u b'i'."
1,"WARAL xchiqatz'ib'aj wi, Xchiqatikib'a' wi ojer tzij, U tikarib'al, U xe'nab'al puch, Ronojel xb'an pa Tinamit K'iche', Ramaq' K'iche' winaq."
2,"Are' k'ut xchiqak'am wi U k'utunisaxik, U q'alajob'isaxik, U tzijoxik puch, Awaxib'al, Saqirib'al, Rumal Tz'aqol, B'itol; Alom, K'ajolom, ki b'i'."
3,"Junajpu Wuch', Junajpu Utiw, Saqi Nim Aq, Sis, Tepew, Q'ukumatz, U K'u'x Cho, U K'u'x Palo, Aj Raxa Laq, Aj Raxa Sel, chuchaxik, Rach b'i'xik, Rach tzijoxik ri': I'yom, Mamom, Xpiyakok, Xmuqane, u b'i', Matzanel, Chuqenel, Kamul I'yom, Kamul Mamom, Chuchaxik Pa K'iche' tzij."
4,"Ta xkitzijoj ronojel, Ruk' xkib'an chik, Chi saqil k'olem, Saqil tzij."
5,"Wa'e xchiqatz'ib'aj Chupan chik u ch'ab'al Dios, Pa christianoil chik."
6,"Xchiqelesaj, Rumal maja b'i chik Ilb'al re Popo Wuj, Ilb'al saq Petenaq ch'aqa palo, U tzijoxik qa mujib'al, Ilb'al saq k'aslem, chuchaxik."
7,"K'o nab'e wujil ojer tz'ib'am puch, Xa ewal u wach Ilol re, B'isol re."
8,"Nim u pe'oxik, U tzijoxik puch, Ta chik'is Tz'uk, Ronojel kaj, Ulew."
9,"U kaj tz'ukuxik, U kaj xukutaxik, Retaxik, U kaj che'xik, U mej k'a'amaxik, U yuq k'a'amaxik, U pa kaj, U pa ulew."
10,"Kaj tz'uk, Kaj xukut, chuchaxik, Rumal ri Tz'aqol, B'itol, U chuch, U qajaw, K'aslem, Winaqirem, Ab'anel, K'u'xlanel, Alay rech, K'u'xlay rech Saqil amaq'il, Saqil al, Saqil k'ajol, Aj b'is, Aj na'oj Chirech ronojel, Atok'ol wi: Kaj, Ulew, Cho, Palo."
11,ARE' U TZIJOXIK Wa'e.
12,"K'a katz'ininoq, K'a kachamamoq, Katz'inonik, K'a kasilanik, K'a kalolinik, Katolona' puch u pa kaj."
13,"WA'E k'ut e nab'e tzij, Nab'e ucha'n."
14,"Maja b'i'oq jun winaq, Jun chikop, Tz'ikin, Kar, Tap, Che', Ab'aj Jul, Siwan, K'im, K'eche'laj."
15,"Xa u tukel kaj k'olik, Mawi q'alaj u wach ulew, Xa u tukel remanik palo, U pa kaj ronojel."
16,"Maja b'i naqi la' Kamolob'ik, Kakotz'ob'ik, Jun ta kasilob'ik, Kamal kab'antaj, Kakotz' kab'antaj pa kaj."
17,Xma k'o wi naqi la' k'olik yakalik.
18,"Xa remanik ja', Xa li'anik palo, Xa u tukel remanik."
19,Xma k'o wi naqi la' lo k'olik.
20,"Xa kachamanik, Katz'ininik, Chi q'equ'm, Chi aq'ab'."
21,"Xa u tukel ri Tz'aqol, B'itol, Tepew, Q'ukumatz, E Alom, E K'ajolom, K'o pa ja'."
22,Saqtetoj e k'o wi.
23,"E muqutal pa q'uq', Pa raxon."
24,Are' u b'i'nam wi Ri Q'ukumatz.
25,"E nima'q eta'manel, E nima'q aj na'oj chi ki k'oje'ik."
26,"Keje' k'ut xax k'o wi ri kaj, K'o nay puch u K'u'x Kaj."
27,Are' u b'i' Ri k'ab'awil chuchaxik.
28,"TA xpe k'ut u tzij waral, Xul kuk' Ri Tepew, Q'ukumatz, Waral chi q'equ'mal, Chi aq'ab'al."
29,"Xch'aw ruk' Ri Tepew, Q'ukumatz, Xecha' k'ut, Ta xena'ojinik, Ta xeb'isonik, Xeriqo kib', Xkikuch Ki tzij, Ki na'oj."
30,"Ta xkalaj, Ta xkik'u'xlaj kib'."
31,"Xe' wi saq ta, Xkalaj puch winaq."
32,"Ta xkina'ojij u tz'ukik, U winaqirik Che', K'a'am, U tz'ukuxik puch k'aslem, Winaqirem, Chi q'equ'mal, Chi aq'ab'al, Rumal ri', u K'u'x Kaj, Juraqan u b'i'."
33,"Kaqulja Juraqan nab'e, U kab' k'ut Ch'i'pi Kaqulja, Rox chik Raxa Kaqulja."
34,"Chi e k'u oxib' ri', U K'u'x Kaj."
35,"Ta xe'ul kuk' Ri Tepew, Q'ukumatz, Ta xna'ojixik Saq, K'aslem, “Jupacha ta chawaxoq?"
36,Ta saqiro puch apachinaq?
37,Tzuqul?
38,Q'o'l?
39,Ta chuxoq.
40,"Kixno'jintaj, Are' ri ja' cheltaj, Chijamataj, Chiwinaqir, Wa' ulew, U laqel, Ta k'u' rib', Ch'ata k'ut."
41,"Ta chawaxoq, Ta saqiroq, Kaj, Ulew."
42,"Ma ta k'ut u q'ijilab'al, U q'ala'ib'al ri' Qa tz'aq, Qa b'it, Ta winaqiroq winaq tz'aq, Winaq b'it,” xecha' k'ut."
43,Ta xwinaqir k'u Ri ulew Kumal.
44,Xa ki tzij Xk'oje' wi U winaqirik.
45,"Chiwinaqir Ulew, “Uleuj,” xecha'."
46,Lib'aj chi xwinaqirik.
47,"Keje' ri xa sutz', Xa may wi, U winaqirik chik, U pupuje'ik."
48,Ta xta' pe pa ja' Ri juyub'.
49,Ju suk' nima'q juyub' Xuxik.
50,"Xa ki nawal, Xa ki pus, Xb'antaj wi u na'ojixik Juyub', Taq'aj."
51,"Ju suk' rach winaqirik U k'isisil, U pachajil u wach."
52,"Keje' k'ut xki'kot wi ri Q'ukumatz: “Utz mi xatulik, At u K'u'x Kaj: At Juraqan, At pu Ch'i'pi Kaqulja, Raxa Kaqulja."
53,"Xchutzinik qa tz'aq, Qa b'it,” xecha' k'ut."
54,"Nab'e k'ut xwinaqir Ulew, Juyub', taq'aj, Xch'ob'och'ox u b'e ja', Xb'inije'ik k'oleje' raqan Xo'l taq juyub'."
55,"Xa ch'ob'ol chik xek'oje' wi ja', Ta xk'utunije'ik nima'q juyub'."
56,"Keje' k'ut u winaqirik ulew ri', Ta xwinaqirik kumal Ri u K'u'x Kaj, U K'u'x Ulew, ke'uchaxik."
57,"Ri' k'ut, E nab'e Xkino'jij."
58,"Xk'olo wi ri kaj, Xk'olo nay puch ulew chupan ja', Keje' k'ut u no'jixik ri', Ta xkino'jij, Ta xkib'isoj Rutzinik, U b'anatajik kumal."
59,"TA xkino'jij chik U chikopil juyub', Chajal re k'eche'laj, Ronojel u winaqil juyub': Ri kiej, Tz'ikin, Koj, B'alam, Kumatz, Sochoj, K'an Ti', Chajal k'a'am."
60,"Kacha' ri Alom, K'ajolom: “Xa pa chilolinik?"
61,"Ma xa'on chitz'ininik U xe' che', K'a'am?"
62,"K'ate utz chik'oje' Chajal re,” xecha' k'ut."
63,"Ta xkino'jij, Xkitzijoj puch, Ju suk'u xwinaqir Kiej, Tz'ikin."
64,"Ta xkisipaj k'ut rochoch Kiej, Tz'ikin."
65,"“At kiej, Pa b'e ya', Pa siwan Katwar wi."
66,"Waral katk'oje' wi Pa k'im, Pa saq'ul, Pa k'eche'laj Kipoq'o' wi iwib'."
67,"Kajkaj i b'inib'al, I chakab'al chuxik,” xe'uchaxik."
68,"Ta xkich'ik k'ut Kochoch Ch'uti tz'ikin, Nima tz'ikin."
69,"“Ix, ix tz'ikin, chuwi' che', Chuwi' k'a'am Kixochochin wi, Kixjain wi."
70,"Chiri' kixpoq' wi, Kixk'iritaj wi Chuq'ab' che', Chuq'ab' k'a'am,” Xe'uchaxik kiej, Tz'ikin."
71,"Ta xkib'ano Ki b'anoj, Ronojel xuk'amo u warab'al, U yakalib'al."
72,Keje' k'ut kochoch wi Chikop ri ulew.
73,"Xuya'o, Alom, K'ajolom."
74,"Xutzininaqa chik ronojel Ri kiej, Tz'ikin."
