doc_id,folio,side,para_num,sent_num
0,1,1,1,0
1,1,1,2,0
2,1,1,2,1
3,1,1,2,2
4,1,1,2,3
5,1,1,2,4
6,1,2,3,0
7,1,2,4,0
8,1,2,4,1
9,1,2,4,2
10,1,2,4,3
11,1,2,5,0
12,1,2,5,1
13,1,2,5,2
14,1,2,5,3
15,1,2,5,4
16,1,2,5,5
17,2,2,6,0
18,2,2,6,1
19,2,2,6,2
20,2,2,6,3
21,2,2,7,0
22,2,2,7,1
23,2,2,7,2
24,2,2,7,3
25,2,2,7,4
26,2,2,7,5
27,2,2,7,6
28,2,2,7,7
29,2,2,7,8
30,2,2,7,9
31,3,2,8,0
32,3,2,8,1
33,3,2,8,2
34,3,2,8,3
35,3,2,8,4
36,3,2,8,5
37,4,2,9,0
38,4,2,9,1
39,4,2,9,2
40,4,2,9,3
41,4,2,9,4
42,4,2,9,5
43,4,2,9,6
44,4,2,9,7
45,4,2,9,8
46,4,2,9,9
47,5,2,10,0
48,5,2,10,1
49,5,2,10,2
50,6,1,11,0
51,6,1,11,1
52,6,1,11,2
53,6,2,12,0
54,6,2,12,1
55,6,2,12,2
56,6,2,12,3
57,6,2,12,4
58,6,2,12,5
59,6,2,12,6
60,6,2,12,7
61,6,2,12,8
62,6,2,12,9
63,6,2,12,10
64,6,2,12,11
65,6,2,12,12
66,6,2,12,13
67,6,2,12,14
68,6,2,12,15
69,6,2,12,16
70,6,2,12,17
71,6,2,12,18
72,8,1,13,0
73,8,1,13,1
74,8,1,13,2
75,8,1,13,3
76,8,1,13,4
77,8,1,13,5
78,8,1,13,6
79,8,1,13,7
80,8,1,13,8
81,8,1,13,9
82,8,1,13,10
83,8,1,13,11
84,8,1,13,12
85,9,2,14,0
86,9,2,14,1
87,9,2,14,2
88,9,2,14,3
89,9,2,14,4
90,9,2,14,5
91,9,2,14,6
92,9,2,14,7
93,9,2,14,8
94,9,2,14,9
95,9,2,14,10
96,9,2,14,11
97,10,2,15,0
98,10,2,15,1
99,10,2,15,2
100,10,2,15,3
101,10,2,15,4
102,10,2,15,5
103,10,2,15,6
104,10,2,15,7
105,10,2,15,8
106,10,2,15,9
107,10,2,15,10
108,10,2,15,11
109,10,2,15,12
110,10,2,15,13
111,10,2,15,14
112,10,2,15,15
113,10,2,15,16
114,12,1,16,0
115,12,1,17,0
116,12,1,17,1
117,12,1,17,2
118,12,1,17,3
119,12,1,17,4
120,12,1,17,5
121,12,1,17,6
122,12,1,17,7
123,12,1,17,8
124,12,1,17,9
125,12,1,17,10
126,12,1,17,11
127,12,1,17,12
128,12,1,17,13
129,12,1,17,14
130,12,1,17,15
131,12,1,17,16
132,12,1,17,17
133,12,1,17,18
134,13,1,18,0
135,13,1,18,1
136,13,1,18,2
137,13,1,18,3
138,13,1,18,4
139,13,1,18,5
140,13,1,18,6
141,13,1,18,7
142,14,1,19,0
143,14,1,19,1
144,14,1,19,2
145,14,1,19,3
146,14,1,19,4
147,14,1,19,5
148,14,1,19,6
149,14,1,19,7
150,14,1,19,8
151,14,1,19,9
152,14,1,19,10
153,14,1,19,11
154,14,1,19,12
155,14,1,19,13
156,14,1,19,14
157,14,1,19,15
158,14,1,19,16
159,14,1,19,17
160,14,1,19,18
161,14,1,19,19
162,14,1,19,20
163,14,1,19,21
164,14,1,19,22
165,14,1,19,23
166,14,1,19,24
167,14,1,19,25
168,14,1,19,26
169,15,2,20,0
170,15,2,21,0
171,15,2,21,1
172,15,2,21,2
173,15,2,21,3
174,15,2,21,4
175,15,2,21,5
176,15,2,21,6
177,15,2,21,7
178,15,2,21,8
179,15,2,21,9
180,15,2,21,10
181,15,2,21,11
182,15,2,21,12
183,15,2,21,13
184,16,1,22,0
185,16,1,22,1
186,16,1,22,2
187,16,1,22,3
