doc_id,folio,side,para_num,sent_num
188,16,1,22,4
189,16,1,22,5
190,16,1,22,6
191,16,1,22,7
192,16,1,22,8
193,16,1,22,9
194,16,1,22,10
195,16,1,22,11
196,16,1,22,12
197,16,1,22,13
198,16,1,22,14
199,16,1,22,15
200,16,1,22,16
201,16,1,22,17
202,16,1,22,18
203,17,1,23,0
204,17,1,23,1
205,17,1,23,2
206,17,1,23,3
207,17,1,23,4
208,17,1,23,5
209,17,1,23,6
210,17,1,23,7
211,17,1,23,8
212,17,1,23,9
213,17,1,23,10
214,17,1,23,11
215,17,1,23,12
216,17,1,23,13
217,18,1,24,0
218,18,1,25,0
219,18,1,25,1
220,18,1,25,2
221,18,1,25,3
222,18,1,25,4
223,18,1,25,5
224,18,1,25,6
225,18,1,25,7
226,18,1,25,8
227,18,1,25,9
228,18,1,25,10
229,18,1,25,11
230,18,1,25,12
231,18,1,25,13
232,18,1,25,14
233,18,1,25,15
234,18,1,25,16
235,18,1,25,17
236,19,1,26,0
237,19,1,26,1
238,19,1,26,2
239,19,1,26,3
240,19,1,26,4
241,19,1,26,5
242,20,1,27,0
243,20,1,27,1
244,20,1,27,2
245,20,1,27,3
246,20,1,27,4
247,20,1,27,5
248,20,1,27,6
249,20,1,27,7
250,20,1,27,8
251,20,1,27,9
252,20,1,27,10
253,20,1,27,11
254,21,2,28,0
255,21,2,28,1
256,21,2,28,2
257,21,2,28,3
258,21,2,28,4
259,21,2,28,5
260,21,2,28,6
261,22,1,29,0
262,22,1,29,1
263,22,1,29,2
264,22,1,29,3
265,22,1,29,4
266,22,1,29,5
267,22,1,29,6
268,23,1,30,0
269,23,1,30,1
270,23,2,31,0
271,23,2,31,1
272,23,2,31,2
273,23,2,31,3
274,23,2,31,4
275,23,2,31,5
276,23,2,31,6
277,23,2,31,7
278,23,2,31,8
279,23,2,31,9
280,23,2,31,10
281,23,2,31,11
282,23,2,31,12
283,23,2,31,13
284,23,2,31,14
285,23,2,31,15
286,23,2,31,16
287,23,2,31,17
288,23,2,31,18
289,23,2,31,19
290,23,2,31,20
291,23,2,31,21
292,23,2,31,22
293,23,2,31,23
294,23,2,31,24
295,23,2,31,25
296,23,2,31,26
297,23,2,31,27
298,23,2,31,28
299,23,2,31,29
300,23,2,31,30
301,26,2,32,0
302,26,2,33,0
303,27,1,34,0
304,27,1,35,0
305,27,1,35,1
306,27,1,35,2
307,27,1,35,3
308,27,1,35,4
309,27,1,35,5
310,27,1,35,6
311,27,1,35,7
312,28,1,36,0
313,28,1,36,1
314,28,1,36,2
315,28,1,36,3
316,28,1,36,4
317,28,1,36,5
318,28,1,36,6
319,28,1,36,7
320,28,1,36,8
321,28,1,36,9
322,28,2,37,0
323,28,2,37,1
324,28,2,37,2
325,28,2,37,3
326,28,2,37,4
327,28,2,37,5
328,28,2,37,6
329,28,2,37,7
330,28,2,37,8
331,28,2,37,9
332,28,2,37,10
333,29,2,38,0
334,29,2,38,1
335,29,2,39,0
336,29,2,39,1
337,30,1,40,0
338,30,1,40,1
339,30,1,40,2
340,30,1,40,3
341,30,1,40,4
342,30,1,40,5
343,30,1,40,6
344,30,1,40,7
345,30,1,40,8
346,30,1,40,9
347,30,1,40,10
348,31,1,41,0
349,31,1,41,1
350,31,1,41,2
351,31,1,41,3
352,31,2,42,0
353,31,2,42,1
354,31,2,42,2
355,31,2,42,3
356,31,2,42,4
357,31,2,42,5
358,31,2,42,6
359,31,2,42,7
360,31,2,42,8
361,31,2,42,9
362,31,2,42,10
363,31,2,42,11
364,31,2,42,12
365,31,2,42,13
366,31,2,42,14
367,32,1,43,0
368,32,1,43,1
369,32,1,43,2
370,32,2,44,0
371,32,2,45,0
372,32,2,46,0
373,32,2,46,1
374,32,2,46,2
375,33,1,47,0
376,33,1,47,1
377,33,1,47,2
378,33,1,47,3
379,33,1,47,4
380,33,1,47,5
381,33,1,48,0
382,33,1,48,1
383,33,1,48,2
384,33,2,49,0
385,33,2,49,1
386,34,1,50,0
387,34,1,50,1
388,34,1,50,2
389,34,1,51,0
390,34,1,51,1
391,34,1,51,2
392,34,1,51,3
393,34,1,51,4
394,34,1,51,5
395,34,1,51,6
396,34,1,51,7
397,34,1,51,8
398,34,1,51,9
399,34,1,51,10
400,34,1,51,11
401,34,1,51,12
402,35,2,52,0
403,35,2,53,0
404,35,2,53,1
405,35,2,53,2
406,35,2,53,3
407,35,2,53,4
408,35,2,54,0
409,35,2,54,1
410,35,2,54,2
411,35,2,54,3
412,35,2,54,4
413,35,2,54,5
414,36,1,55,0
415,36,1,55,1
416,36,1,55,2
417,36,1,55,3
418,36,1,55,4
419,36,1,55,5
420,37,1,56,0
421,37,1,56,1
422,37,1,56,2
423,37,1,56,3
424,38,1,57,0
425,38,1,57,1
426,38,1,57,2
427,38,1,57,3
428,38,1,58,0
429,38,1,58,1
430,38,1,58,2
431,38,1,58,3
432,38,1,58,4
433,38,1,58,5
434,38,1,58,6
435,38,1,58,7
436,38,2,59,0
437,38,2,59,1
438,38,2,59,2
439,38,2,59,3
440,38,2,59,4
441,38,2,59,5
442,38,2,59,6
443,38,2,59,7
444,38,2,59,8
445,38,2,59,9
446,40,1,60,0
447,40,1,61,0
448,40,1,61,1
449,40,1,61,2
450,40,1,61,3
451,40,1,61,4
452,40,1,61,5
453,40,1,61,6
454,40,1,61,7
455,40,1,61,8
456,40,1,61,9
457,40,1,61,10
458,40,1,61,11
459,41,2,62,0
460,41,2,62,1
461,41,2,62,2
462,41,2,62,3
463,41,2,62,4
464,41,2,62,5
465,41,2,62,6
466,41,2,62,7
467,41,2,62,8
468,41,2,62,9
469,41,2,62,10
470,41,2,62,11
471,41,2,62,12
472,42,2,63,0
473,42,2,64,0
474,42,2,64,1
475,42,2,64,2
476,42,2,64,3
477,42,2,64,4
478,42,2,64,5
479,42,2,64,6
480,42,2,64,7
481,42,2,64,8
482,42,2,64,9
483,43,1,65,0
484,43,1,65,1
485,43,1,65,2
486,43,1,65,3
487,43,1,65,4
488,43,1,65,5
489,43,1,65,6
490,43,1,65,7
491,43,1,65,8
492,43,1,65,9
493,43,1,65,10
494,43,1,65,11
495,44,1,66,0
496,44,1,66,1
497,44,1,66,2
498,44,1,66,3
499,44,1,66,4
500,44,2,67,0
501,44,2,67,1
502,44,2,67,2
503,44,2,67,3
504,44,2,67,4
505,44,2,67,5
506,44,2,67,6
507,44,2,67,7
508,44,2,67,8
509,44,2,67,9
510,45,2,68,0
511,45,2,68,1
512,45,2,68,2
513,46,2,69,0
514,46,2,69,1
515,46,2,69,2
516,46,2,69,3
517,46,2,69,4
518,46,2,69,5
519,47,1,70,0
520,47,1,70,1
521,47,1,70,2
522,47,1,70,3
523,47,1,70,4
524,47,1,70,5
525,47,1,70,6
526,47,1,70,7
527,47,1,70,8
528,47,1,70,9
529,47,1,70,10
530,47,1,70,11
531,47,1,70,12
532,48,1,71,0
533,48,1,71,1
534,48,1,71,2
535,48,1,71,3
536,48,2,72,0
537,48,2,73,0
538,48,2,73,1
539,48,2,73,2
540,48,2,73,3
541,48,2,73,4
542,49,2,74,0
543,49,2,74,1
544,49,2,74,2
545,49,2,74,3
546,49,2,74,4
547,49,2,74,5
548,50,2,75,0
549,50,2,75,1
550,50,2,75,2
551,50,2,75,3
552,50,2,75,4
553,50,2,75,5
554,51,1,76,0
555,51,1,76,1
556,51,1,77,0
557,51,1,78,0
558,51,1,78,1
559,51,1,79,0
560,51,1,79,1
561,51,1,79,2
562,51,1,80,0
563,51,2,81,0
564,51,2,81,1
565,51,2,81,2
566,51,2,81,3
567,51,2,81,4
568,51,2,81,5
569,51,2,81,6
570,52,1,82,0
571,52,1,82,1
572,52,1,82,2
573,52,1,82,3
574,52,1,82,4
575,52,2,83,0
576,52,2,83,1
577,52,2,83,2
578,52,2,83,3
579,53,2,84,0
580,53,2,85,0
581,53,2,85,1
582,53,2,85,2
583,53,2,85,3
584,53,2,86,0
585,53,2,86,1
586,53,2,86,2
587,53,2,86,3
588,53,2,86,4
589,53,2,86,5
590,53,2,86,6
591,53,2,86,7
592,54,1,87,0
593,54,1,87,1
594,54,1,87,2
595,54,1,87,3
596,54,1,87,4
597,54,1,87,5
598,54,1,87,6
599,54,1,87,7
600,54,1,87,8
601,54,1,87,9
602,54,1,87,10
603,54,1,87,11
604,54,1,87,12
605,55,1,88,0
606,55,1,88,1
607,55,1,88,2
608,55,1,88,3
609,55,1,88,4
610,55,1,88,5
611,55,1,88,6
612,55,1,88,7
613,55,2,89,0
614,55,2,89,1
615,55,2,89,2
616,55,2,89,3
617,55,2,89,4
618,55,2,90,0
619,55,2,91,0
620,55,2,91,1
621,55,2,91,2
622,55,2,91,3
623,55,2,91,4
624,56,1,92,0
625,56,1,92,1
626,56,1,92,2
627,56,1,92,3
628,56,1,92,4
629,56,1,92,5
630,56,1,92,6
631,56,1,92,7
632,56,1,92,8
633,56,1,93,0
634,56,1,93,1
635,56,1,94,0
636,56,2,95,0
637,56,2,95,1
638,56,2,95,2
639,56,2,96,0
640,56,2,96,1
641,56,2,97,0
642,56,2,97,1
643,56,2,97,2
644,56,2,97,3
