doc_id,para_num,sent_num
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,1,0
9,2,0
10,2,1
11,2,2
12,2,3
13,2,4
14,2,5
15,2,6
16,2,7
17,2,8
18,2,9
19,2,10
20,2,11
21,2,12
22,2,13
23,2,14
24,2,15
25,2,16
26,2,17
27,3,0
28,3,1
29,3,2
30,3,3
31,3,4
32,3,5
33,3,6
34,3,7
35,3,8
36,3,9
37,3,10
38,3,11
39,3,12
40,3,13
41,3,14
42,3,15
43,3,16
44,3,17
45,3,18
46,3,19
47,3,20
48,3,21
49,3,22
50,3,23
51,3,24
52,3,25
53,3,26
54,4,0
55,4,1
56,4,2
57,4,3
58,4,4
59,4,5
60,4,6
61,4,7
62,4,8
63,4,9
64,4,10
65,4,11
66,4,12
67,4,13
68,4,14
69,4,15
70,4,16
71,4,17
72,4,18
73,4,19
74,4,20
75,4,21
76,4,22
77,4,23
78,4,24
79,4,25
80,4,26
81,4,27
82,4,28
83,4,29
84,4,30
85,4,31
86,4,32
87,4,33
88,4,34
89,4,35
90,4,36
91,4,37
92,4,38
93,4,39
94,4,40
95,4,41
96,4,42
97,4,43
98,5,0
99,5,1
100,5,2
101,5,3
102,5,4
103,5,5
104,5,6
105,5,7
106,5,8
107,5,9
108,6,0
109,6,1
110,6,2
111,6,3
112,6,4
113,6,5
114,6,6
115,6,7
116,6,8
117,6,9
118,6,10
119,6,11
120,7,0
121,7,1
122,7,2
123,7,3
124,7,4
125,7,5
126,7,6
127,7,7
128,8,0
129,8,1
130,8,2
131,8,3
132,8,4
133,8,5
134,8,6
135,8,7
136,8,8
137,8,9
138,8,10
139,8,11
140,8,12
141,8,13
142,8,14
143,8,15
144,8,16
145,8,17
146,9,0
147,9,1
148,9,2
149,9,3
150,9,4
151,9,5
152,9,6
153,9,7
154,9,8
155,9,9
156,9,10
157,9,11
158,9,12
159,9,13
160,9,14
161,10,0
162,10,1
163,10,2
164,10,3
165,10,4
166,10,5
167,10,6
168,10,7
169,10,8
170,10,9
171,10,10
172,10,11
173,10,12
174,10,13
175,10,14
176,10,15
177,10,16
178,10,17
179,10,18
180,10,19
181,10,20
182,10,21
183,10,22
184,10,23
185,10,24
186,10,25
187,10,26
188,10,27
189,10,28
190,10,29
191,10,30
192,10,31
193,10,32
194,10,33
195,10,34
196,11,0
197,11,1
198,11,2
199,11,3
200,11,4
201,11,5
202,11,6
203,11,7
204,11,8
205,11,9
206,11,10
207,11,11
208,11,12
209,11,13
210,11,14
211,11,15
212,11,16
213,11,17
214,11,18
215,11,19
216,11,20
217,11,21
218,11,22
219,11,23
220,11,24
221,11,25
222,11,26
223,11,27
224,11,28
225,11,29
226,12,0
227,12,1
228,12,2
229,12,3
230,12,4
231,12,5
232,12,6
233,12,7
234,12,8
235,12,9
236,12,10
237,12,11
238,12,12
239,12,13
240,12,14
241,12,15
242,12,16
243,12,17
244,12,18
245,12,19
246,12,20
247,12,21
248,12,22
249,13,0
250,13,1
251,13,2
252,13,3
253,13,4
254,13,5
255,13,6
256,13,7
257,13,8
258,13,9
259,13,10
260,13,11
261,13,12
262,13,13
263,13,14
264,13,15
265,13,16
266,13,17
267,13,18
268,13,19
269,13,20
270,13,21
271,13,22
272,13,23
273,13,24
274,13,25
275,13,26
276,13,27
277,13,28
278,13,29
279,13,30
280,13,31
281,13,32
282,13,33
283,13,34
284,13,35
285,13,36
286,13,37
287,13,38
288,13,39
289,13,40
290,13,41
291,14,0
292,14,1
293,14,2
294,14,3
295,14,4
296,14,5
297,14,6
298,14,7
299,14,8
300,14,9
301,14,10
302,14,11
303,14,12
304,14,13
305,14,14
306,14,15
307,14,16
