doc_id,doc_str
0,"Waral xchiqatz'ib'aj wi, xchiqatikib'a' wi ojer tzij utikarib'al, uxe'nab'al puch ronojel xb'an pa tinamit K'iche' ramaq' K'iche' winaq."
1,"Are k'ut xchiqak'am wi: uk'utunisaxik, uq'alajob'isaxik, utzijoxik puch ewaxib'al, saqirib'al rumal Tz'aqol, B'itol, Alom, K'ajolom kib'i'."
2,"Junajpu Wuch', Junajpu Utiw, Saqinim Aq Sis Tepew, Q'ukumatz, Uk'ux Cho, Uk'ux Palo, Ajraxa Laq, Ajraxa Tzel."
3,"Chucha'xik, rachb'ixik, rachtzijoxik ri Iyom, Mamom, Xpiyakok, Xmukane, ub'i'."
4,"Matzanel, Chuqenel, Kamul Iyom, Kamul Mamom."
5,Chucha'xik pa K'iche' tzij.
6,"Ta xkitzijoj ronojel ruk' xkib'an chik chi saqil k'olem, saqil tzij."
7,"Wa'e xchiqatz'ib'aj chi upam chik uch'ab'al Dios, pa christianoil chik."
8,"xchiqelesaj rumal maja b'i chik ilb'al re Popo Wuj, ilb'al saq petenaq ch'aqa palo utzijoxik qamujib'al, ilb'al saq k'aslem'; chucha'xik."
9,"K'o nab'e wujil, ojer tzib'am puch, xa ewal uwach ilol re, b'isol re."
10,"Nim upe'oxik, utzijoxik puch, ta chi k'is tz'uq ronojel kaj, ulew: ukaj tz'uquxik, ukaj xukutaxik, retaxik; ukaj che'xik, umej k'a'maxik, uyuq k'a'maxik upa kaj, upa ulew; kaj tz'uq, kaj xukut, chucha'xik rumal ri Tz'aqol, B'itol; Uchuch, Uqajaw k'aslem, Winaqirem: Ab'anel, K'uxlanel; Alay rech, K'uxlay rech saqil amaqil; saqil al, saqil k'ajol; Ajb'is, Ajna'oj chi rech ronojel a ta k'ol wi kaj-ulew, cho-palo."
11,"k'akatz'ininoq, k'akachamamoq, katz'inonik, k'akasilanik, k'akalolinik, katolona puch upa kaj."
12,"Wa'e k'ute nab'e tzij, nab'e uchan: maja' b'i oq jun winaq, jun chikop, tz'ikin, kar, tap, che', ab'aj, jul, siwan, k'im, k'ichelaj, xa utukel kaj k'olik."
13,"Mawi q'alaj uwach ulew, xa utukel remanik palo upa kaj, ronojel."
14,"Maja' b'i naki la' kamolob'ik, k'akotzob'ik, jun ta kasilob'ik, kumal kab'an taj, k'akotz kab'an taj pa kaj: xa ma k'o wi naki la' k'olik yakalik, xa remanik ja', xa li'anik palo, xa utukel remanik, xa ma k'o wi naki la' lo k'olik; xa kachamanik, katz'ininik chi q'equ'm, chi aq'ab'."
15,"Xa utukel ri Tz'aqol, B'itol, Tepew, Q'ukumatz, e Alom, e K'ajolom k'o pa ja' saqtetoj e k'o wi."
16,"E muqutal pa q'uq', pa raxon; are ub'inam wi ri Q'ukumatz."
17,"E nimaq etamanel, e nimaq ajna'oj chi kik'oje'ik."
18,"K'eje k'ut xax k'o wi ri kaj k'o wi nay puch Uk'ux Kaj, are' ub'i' ri kab'awil."
19,Chuchaxik.
20,"Ta xpe k'ut utzij waral, xul kuk' ri Tepew, Q'ukumatz waral chi q'equmal chi aq'ab'al; xch'aw ruk' ri Tepew, Q'ukumatz."
21,"Xecha' k'ut: ta xena'ojinik, ta xeb'isonik, xeriqo kib', xkikuch kitzij, kina'oj; ta xq'alaj, ta xkik'uxlaj kib' xe' wi saq, ta xq'alaj puch winaq; ta xkina'ojij utz'uqik, uwinaqirik che', k'a'm, utz'uquxik puch k'aslem winaqirem chi q'equmal, chi aq'ab'al; rumal ri Uk'ux Kaj, Jun Raqan ub'i; Kaqulja Jun Raqan, nab'e; ukab' k'ut, Ch'ipi Kaqulja; rox chik, Raxa Kaqulja; chi e k'u oxib' ri', Uk'ux Kaj."
22,"Ta xe'ul kuk' ri Tepew, Q'ukumatz, ta xna'ojixik saq k'aslem: -Jupa cha ta chawaxoq, ta saqiroq puch?"
23,"Apachinaq tzuqul, k'ool?"
24,Ta chuxoq!
25,"Kixnojin taj: Are ri ja' chel taj!, chi jama' taj!"
26,"Chiwinaqir wa ulew, ulaqel ta k'u rib' Ch'ata k'ut."
27,"Ta chawaxoq, ta saqiroq kaj, ulew!"
28,"Mata k'ut uq'ijilab'al, uq'ala'ib'al ri qatz'aq ri qab'it."
29,"Ta winaqiroq: winaq tz'aq, winaq b'it!"
30,Xecha' k'ut.
31,Xa kitzij xk'oje wi uwinaqirik.
32,Chiwinaqir ulew: -Ulew!
33,Xecha.
34,"Lib'aj chi' xwinaqirik: k'eje ri xa ta sutz', xa mayul uwinaqirik, chi k'u pupuje'ik."
35,"Ta xtape pa ja' ri juyub', jusuk' nima'q juyub' xuxik."
36,"Xa kinawal, xa kipus xb'anataj wi, una'ojixik juyub', taq'aj, jusuk' rach winaqirik uq'isisil, upachäjil uwach."
37,"K'eje k'ut xkikot wi ri Q'ukumatz: -Utz mixatulik at Uk'ux Kaj, at Junraqan, at puch Ch'ipi Kaqulja, Raxa Kaqulja!"
38,"Xchutzinik qatzak, qab'it."
39,Xecha' k'ut.
40,"Nab'e k'ut xwinaqir ulew, juyub'-taq'aj; xch'ob'och'ox ub'e ja': xb'inije'ik k'ole je raqan xo'l taq juyub' xa ch'ob'ol chik xek'oje wi ja, ta xk'utunije'ik nima'q juyub'."
41,"K'eje k'ut uwinaqirik ulew ri, ta xwinaqirik kumal ri Uk'ux Kaj, Uk'ux Ulew."
42,Ke'ucha'xik.
43,"Ri' k'ut e nab'e xkinojij, xk'olo wi ri kaj, xk'olo nay puch ulew chi upam ja'."
44,"K'eje k'ut uno'jixik ri, ta xkino'jij, ta xkib'isoj rutzinik, ub'anatajik, kumal."
45,"Ta xkino'jij chik uchikopil juyub', chajal re ki'chelaj ronojel uwinaqil juyub': ri kyej, tz'ikin, koj, b'alam, kumatz, sochoj, kanti, chajal k'a'm."
46,"Kacha' ri Alom, K'ajolom: -Xa pa chi lolinik, ma xa on chi tz'ininik uxe' che', k'a'm?"
47,K'ate utz chi k'oje chajal re.
48,Xecha' k'ut.
49,"Ta xkinojij, xkitzijoj puch; jusuk' xwinaqir kej, tz'ikin."
50,"Ta xkisipaj k'ut rochoch kej, tz'ikin: -At kej pa b'e ja', pa siwan katwar wi; waral katk'oje' wi; pa k'im, pa saqul; pa k'echelaj kipoqo wi iwib'!"
51,"Kajkaj ib'inib'al, ichakab'al, chuxik!"
52,Xe'ucha'xik.
53,"Ta xkich'ik k'ut kochoch ch'uti tz'ikin, nima tz'ikin: -Ix, ix tz'ikin chuwi che', chuwi k'a'm kixochochin wi, kixja'in wi!"
54,"chi ri' kixpoq wi, kixk'iritaj wi chuq'ab' che', chuq'ab' k'a'm!"
55,"Xe'ucha'xik kyej, tz'ikin."
56,"Ta xkib'ano kib'anoj, ronojel xuk'amo uwarab'al, uyakalib'al."
57,"K'eje k'ut kochoch wi chikop ri ulew xuya'o Alom, K'ajolom; xutzininaq chik ronojel ri kej, tz'ikin."
58,"Ta xe'uchax chi k'ut ri kej, tz'ikin; rumal Tz'aqol, B'itol, Alom, K'ajolom: -Kixch'awoq, Kixsik'inoq!"
59,"mixyonolikinik, mixsik'inik!"
60,"Kixch'awajetaj chi jujunal, chu jutaq ch'ob'il, chi jutaq molajil!"
61,"Xe'ucha'xik ri kej, tz'ikin, koj, b'alam, kumatz."
62,"-Chib'ij na k'ut ri qab'i', Kojiqajarisaj, oj ichuch, oj iqajaw!"
63,"Kixcha' b'a na k'ut: Junraqan, Ch'ipi Kaqulja, Raxa Kaqulja; Uk'ux Kaj, Uk'ux Ulew; Tz'aqol, B'itol; Alom, K'ajolom."
64,"Kixch'awoq, Kojiq'ijila'!"
65,Xe'ucha'xik.
66,Ma k'u xutzinik xech'awik k'eje ta ri winaq.
67,"Xa kewachelajik, xa kek'aralajik, xa kewojonik; mawi xwachinik uwach kich'ab'al."
68,Jalajoj xkoq'ib'ej chi kijujunal.
69,"Ta xkita ri Tz'aqol, B'itol, mawi mixutzinik, mixech'awik."
70,"Xecha' chik chi kib'il kib': -Mawi mixutzin ub'ixik qab'i'; rumal oj kajtz'aq, oj pu kajb'it: mawi utz!- Xecha' chik chi kib'il kib' ri Alom, K'ajolom."
71,"Xe'uchax k'ut: Xa kixjalatajik rumal mawi mixutzinik, mawi mixixch'awik."
72,"Mi k'u xqajal qatzij; iwecha', ik'uxun; iwarab'al, iyakalib'al; Ri wech wi mixe'uxik siwan, k'echelaj rumal mawi xutzin qaq'ijiloxik, mawi ixsik'iy qe."
73,"K'a k'o, k'o wi lo q'ijilonel, nimanel chi qab'an chik!"
74,Xa chik'am ipatan: xa ityo'jil chikach'ik.
75,Ta chuxoq!
76,Are k'ut chipatanij.
77,Xe'ucha'xik.
78,"Ta xepixab'axik ch'uti chikop, nima chikop k'o chuwach ulew."
79,"Ta xraj k'u kitij chik kiq'ij; xraj kitijtob'ej chik, xraj pu kinuk' chik q'ijilab'al."
80,Xa ma xkita wi kich'ab'al chi kib'il kib'.
81,"Xa ma xnawachir wi k'ut, xa ma b'anataj wi puch."
82,K'eje k'ut xech'akataj wi kityo'jil.
83,"Xkipatanij: xetiyik, xekamisaxik ri chikop k'o waral chuwach ulew."
84,"WINAQ B'IT KUMAL Tz'aqol B'itol; Alom, K'ajolom; -Xa k'u tija chik mixyopij rawexik, usaqirik?"
85,"Qab'ana' tzuqul qe, k'ool qe."
86,"Ju pa cha ta kojsik'ixoq, ta kojnab'ax puch chuwach ulew?"
87,"Mixqatijo chi rech ri nab'e qatz'aq, qab'it."
88,"Mawi mixutzinik qaq'ijiloxik, qaq'alajixik puch kumal."
89,"K'eje k'ut qatija wi ub'anik ajnim, ajxob'; tzuqul, k'ool!"
90,Xecha'.
