chunk,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,1.0,0.20774284018492992,0.22211629050426426,0.1376747504256161,0.09089993043790145,0.024810038243096178,0.08310074186746441,0.04278635092760738,0.08594920755539504,0.11390981461840076,0.048262450334549095,0.037768155465112495,0.08662378454818546,0.08382881450592146,0.043249421650585484,0.05305687543291062,0.043254782051059114,0.03796228234974951,0.05230883522050628,0.023924828290491345,0.035546233621805354,0.03265774533659104,0.03267755269806918,0.03717767423069027,0.04699534724814075,0.04981857148532721,0.030844795923324026,0.11251418570184366,0.17955729065633289,0.1861995821514488,0.1681058924237835,0.043686462831990104,0.03153396191297729,0.08341673810165473,0.0490277757627994,0.04902079144241664,0.033087445042428734,0.04924816141469696,0.02729166955691427,0.04005024781821463,0.05334386577768191,0.06276140205325123,0.07989160330506423,0.05752865656040784,0.05070813702512753,0.09667729751260745,0.06382046368887799,0.10148752998196618,0.049326383210679434,0.013967444743069877
2,0.20774284018492992,1.0000000000000004,0.13929614421710584,0.1278841756815967,0.0710562113369155,0.031922252107871876,0.06689749911670344,0.052372858854636405,0.12361414297267187,0.08623322510515212,0.04361704755452216,0.030324165344603627,0.041787941975473746,0.07803351973691691,0.057924409184685076,0.032847050944104755,0.042792870176392696,0.0920636765437244,0.03840192340967762,0.05718526591212278,0.037770656836652386,0.04282671692068258,0.03694099560984769,0.06056804439565411,0.04670484390452129,0.056714885774585264,0.04430627370838828,0.049121475927380226,0.1826376206515978,0.14396866515065854,0.13892090691165307,0.07210392777425419,0.05668414558128249,0.08751995516763908,0.061780305709988666,0.05505668217043852,0.07346132831694174,0.05057391188840059,0.037881515469014956,0.05395883460715104,0.05018081965751205,0.055214895435432836,0.03978429489278386,0.02900266668020287,0.036207299469357516,0.03104924464862137,0.04489660947751793,0.06509699814791282,0.012194646255995308,0.009205798373928866
3,0.22211629050426426,0.13929614421710584,1.000000000000001,0.17790445307959862,0.07808337846566946,0.0789772296164207,0.06583406150986862,0.043687054148525944,0.07377525780325087,0.10134580739205687,0.040014963769669315,0.04393425230891959,0.07611445244186271,0.08156229629136215,0.04893457278353303,0.08315041869897713,0.06325299127298949,0.06398354232366454,0.05673262490671369,0.032232755734468974,0.02967549765828498,0.044148049199627226,0.03512019572929049,0.03789187300983902,0.05815784582885574,0.036371419144495404,0.059234526993689654,0.1283596220450048,0.13580104117814898,0.14296573224878265,0.10724980357795531,0.04893200869605015,0.03754729961783373,0.0658601955590327,0.05922783210041571,0.04058432556989564,0.03477720854903194,0.0504885266014307,0.02972297483629119,0.0404010043441652,0.08681819638208192,0.033631175965064326,0.02263571333536387,0.03385963660321645,0.032628947315679266,0.08437945855998548,0.09393049761688677,0.09238573697432989,0.03195808224857109,0.02835453416924615
4,0.1376747504256161,0.1278841756815967,0.17790445307959862,1.0000000000000013,0.15848020290111253,0.1077639142950008,0.10146551928157826,0.051183203610299606,0.08233344923520844,0.04995677341221083,0.04009891262581915,0.055212381557561245,0.0704392523496565,0.0836956743325461,0.07243719464565307,0.06152431549543988,0.048314994389268597,0.06406190387762693,0.056600105699277224,0.02862920833366141,0.04062458132119344,0.03411765840776591,0.033112147500248934,0.03782294914063707,0.056013387759745695,0.0625108911580256,0.06696306613557343,0.06737314944001839,0.14298133117944226,0.10456737720010809,0.08430574135894028,0.06037691052911199,0.058652515651186066,0.077579632936783,0.041128024934208154,0.05974764213242846,0.03498038691025185,0.0557601128623826,0.03954055154233294,0.05305639512167591,0.060785578397797316,0.037566807692017576,0.03929455129856356,0.033606669265155306,0.01704477116758711,0.06470925032391353,0.056629853633431204,0.05291888538442431,0.025267918211208554,0.025962056000481452
5,0.09089993043790145,0.0710562113369155,0.07808337846566946,0.15848020290111253,0.9999999999999996,0.30816382299124623,0.18364485032730707,0.19218569611117606,0.22691977369943206,0.182965298595919,0.1158440277835794,0.1138232747966926,0.11524044405281048,0.11256193285607038,0.058386586502753725,0.09521876087631505,0.0471263797510352,0.06611245787344575,0.07486927674767041,0.05379633027947264,0.051963456357645085,0.10581215804817373,0.07856001646434517,0.06112371163495363,0.07152108116577305,0.09865881097306699,0.06826915729896052,0.10442191393807054,0.09318853650486614,0.06481950012434146,0.06182750232204385,0.0492460525335601,0.04419342636983914,0.042586034792681055,0.03406417959883776,0.0378435706134779,0.022776398225868747,0.04557921129951741,0.06024234860170889,0.052378500772986336,0.04801194190357806,0.083028218445393,0.04652689343309429,0.03154886667576792,0.03555615486440295,0.05056688106996833,0.03882922280596639,0.05117043812287596,0.022539399562753335,0.03026015517712063
6,0.024810038243096178,0.031922252107871876,0.0789772296164207,0.1077639142950008,0.30816382299124623,1.0,0.11349532546624112,0.10271348633034266,0.17935659563492756,0.09620126495864234,0.11032816125269009,0.08226319174028389,0.12344562014522326,0.0981136197631224,0.17941805693765434,0.08902521138825113,0.09660764007719047,0.040457155238494934,0.08095678069703842,0.07291884456001393,0.06548024132877106,0.10509350534660528,0.07227580410782344,0.06526478609444052,0.06901213181357722,0.07073401346058386,0.13867324775784046,0.09204603784215944,0.03579073991925736,0.06697856111302532,0.03831226060507892,0.054521208818331834,0.05296715943452448,0.029310745439741326,0.030119474761143822,0.019443980606330964,0.025737679845878807,0.02584017380670046,0.05165724301468286,0.07592276867286345,0.042673711007421324,0.04274384395236922,0.05240925889527135,0.07016690164438771,0.0800701399910835,0.08446489878035351,0.07858890805933537,0.03179135266068442,0.10909760788561734,0.004678846870390998
7,0.08310074186746441,0.06689749911670344,0.06583406150986862,0.10146551928157826,0.18364485032730707,0.11349532546624112,0.9999999999999999,0.28810895581220675,0.17260028312619197,0.07446526130370656,0.043369999254947014,0.044611499414762855,0.08437481529589524,0.10327666101945124,0.07308760855179539,0.0866349768408417,0.041471302295651734,0.06618077051761753,0.0647068550585196,0.05777238528666978,0.05333453751134333,0.0947731573494,0.08312796126178996,0.05553124813061326,0.07499988034798938,0.09781254925775149,0.039560893337537414,0.03884715664703812,0.034325341150653076,0.06253969271282875,0.04100076180999263,0.04410188526230384,0.045607889749713054,0.03987840118112214,0.02509263936352454,0.039098873341194273,0.018693700118098854,0.04281415948704217,0.04117221809428889,0.048327466612966156,0.028385878525103877,0.038308595677355714,0.028099412047541582,0.034696274826507265,0.026166155041783483,0.04455797114620494,0.027568009234648964,0.041870464409232366,0.010645935927298983,0.03513105397329182
8,0.04278635092760738,0.052372858854636405,0.043687054148525944,0.051183203610299606,0.19218569611117606,0.10271348633034266,0.28810895581220675,1.0000000000000002,0.2884405625456711,0.11105629087386382,0.038483965200095276,0.058336552162858386,0.05797963025345564,0.06444143091550211,0.0662330883554885,0.07873278673221715,0.05890060318175555,0.03964024814508209,0.09265850766986938,0.061175654680410696,0.06067918994317978,0.14547737703948438,0.14589369245044612,0.0792911758699306,0.08748654089117688,0.08573364260687465,0.07147697516350811,0.05200590945079569,0.060899105361760464,0.029375670284522468,0.041076524495304655,0.04677688226731124,0.03809921926224975,0.06917518948830284,0.032949743206964074,0.047935528561092684,0.04226740949776933,0.0557042746470711,0.06953836262530266,0.06764524919841997,0.03891937088466735,0.06016666701769144,0.0391674320191417,0.03262637312627557,0.022949947370728207,0.04156535297190115,0.03199368538324887,0.040855163928916166,0.012212190551627202,0.0
9,0.08594920755539504,0.12361414297267187,0.07377525780325087,0.08233344923520844,0.22691977369943206,0.17935659563492756,0.17260028312619197,0.2884405625456711,0.9999999999999992,0.2402793811446769,0.06757022654323659,0.07338826357392453,0.08657319161332022,0.12003183288940857,0.1324221530336308,0.09324318621855027,0.07816721102221909,0.07276712875051587,0.0849047333980636,0.08411648619012517,0.10144710760722231,0.1236276702237184,0.060115283464790024,0.0941853790965076,0.11652668856816847,0.11244801060055266,0.09053630703315226,0.09108962573847412,0.06320789224606727,0.09318194892893486,0.08836187644704485,0.0657595586998795,0.062196866635711945,0.08762357821344866,0.04408120278779721,0.053114782334583895,0.05387814997869993,0.057319356957034905,0.0821472704228971,0.05610035774997931,0.06595860531568709,0.09052015106966782,0.09993925531988442,0.048372367391347454,0.037311724458072626,0.07610554518704984,0.05940599736023182,0.07354101745093355,0.02515142724978593,0.0
10,0.11390981461840076,0.08623322510515212,0.10134580739205687,0.04995677341221083,0.182965298595919,0.09620126495864234,0.07446526130370656,0.11105629087386382,0.2402793811446769,1.0000000000000002,0.1431219322236826,0.15155521814650727,0.10909461338283183,0.08846791657563201,0.10960654205546069,0.18198196053738835,0.0829416749356988,0.045881058619301016,0.07802302191736855,0.04636035062610447,0.08008738288872733,0.10939928251506059,0.07075637791716513,0.08236037838162205,0.10625642514972103,0.08623294165821122,0.10290321784838646,0.11979704654939437,0.061581626952714755,0.07206411386270135,0.07153497708894051,0.031097641356316517,0.026864859822579804,0.06917519199536752,0.027665513538733415,0.028340861431120967,0.04363198748136994,0.03693523834126062,0.04384162465671133,0.06114638643906451,0.048959849051076004,0.0653847877368569,0.06834260517299967,0.026871515942642837,0.03219544427672317,0.054469724943312606,0.04928417838182329,0.05296649506104423,0.023077639096765343,0.0
