chunk,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,1.0000000000000004,0.22267155313158205,0.14062203452978206,0.09599271458296464,0.10590953635101857,0.06681929099776325,0.08216688980526507,0.05750010243942144,0.08706204300000567,0.07972882262150145,0.07164236111589874,0.053487837705542655,0.07214499050286566,0.08134821579205197,0.05142503935240889,0.059582878061691054,0.04376679051460204,0.056208834816689555,0.04506371929700894,0.037592367188827046,0.06104770821817938,0.05257770552423341,0.03770355196182305,0.04307645081750493,0.028821431286394285,0.05896647684412063,0.0764505920030417,0.061668563045251944,0.08157496679572757,0.07988831614582352,0.07011706775867323,0.04547436229691762,0.03320696873168874,0.06875626474172586,0.050059244527534234,0.0685031214878991,0.058218067534302295,0.04489408084493288,0.03407537164055993,0.03800174829860252,0.028078543902542292,0.09836667349509479,0.07724613466307603,0.03137508245283277,0.04465146881693885,0.025725150985181577,0.06374660762144459,0.030358370779676024,0.050464067804521985,0.05158462717585287
2,0.22267155313158205,1.0000000000000013,0.17085616408355028,0.10997427485242206,0.12600745045853462,0.06934851025530407,0.10507478048262993,0.09361770435840831,0.16774331851661667,0.04374811922966852,0.06376277150247561,0.045528707635391144,0.0535396055521475,0.08576137404946571,0.037645322995291365,0.06900876956009565,0.05855797574296942,0.08862609300389994,0.05799758301357129,0.04387003871020853,0.04232798101409651,0.03779505398906164,0.028245469532680915,0.03463643749605252,0.042806548430472505,0.0407412993558979,0.04137243748484994,0.058008207137886875,0.06668130227461791,0.0925920286428738,0.06114911709028505,0.062565257345094,0.04331214843751578,0.06818042842108077,0.056304780054005216,0.045552797251229044,0.10058218035574475,0.06582495346211431,0.03963035340605225,0.03627903363232987,0.029673632847346473,0.06376905423926368,0.05550217386051246,0.03570053585322822,0.027248615042707487,0.02664564201977817,0.027277763761151305,0.05633408034393781,0.01820571153107408,0.0
3,0.14062203452978206,0.17085616408355028,0.9999999999999996,0.09091607831434544,0.14803063913160075,0.11561899002038445,0.09749931459547312,0.07019253347556235,0.12274091343139737,0.08145663224091902,0.08207082020248062,0.07909413776789166,0.07290972150736545,0.09562783569956558,0.06033117908524196,0.11651051932029213,0.1336927981338087,0.11850490815837904,0.07945556670125692,0.041579085656554673,0.052898746006261765,0.06923303307596614,0.02716359923348717,0.06250250062223654,0.08460026431751942,0.07654932483454671,0.0686496542403346,0.09589090855573251,0.11461494855234462,0.12285376530087774,0.10647447678558686,0.04467785638469755,0.053393138217735774,0.0746043865214031,0.1282779540133608,0.09220582577445074,0.036249678816787895,0.055092542884472025,0.03998306192502664,0.07211253982012272,0.020658085410302167,0.05402765934869084,0.043609691937551424,0.015193486869307814,0.0267354620210327,0.0379514327872018,0.031148131875457945,0.059894879089406536,0.022582663297174784,0.004714395563186826
4,0.09599271458296464,0.10997427485242206,0.09091607831434544,0.9999999999999991,0.09309356482477468,0.08146795736617057,0.09271684976920927,0.07514160439688673,0.09191163151762731,0.07593922615330963,0.05053043860727155,0.06320128329468212,0.03926685241376853,0.0745737286716603,0.05883941333482198,0.07031287209163584,0.06193105456892876,0.057367620982535686,0.03671340412401367,0.028505699049267523,0.03910966760678527,0.04343503023111157,0.039932033557960135,0.062086066884871456,0.04661478551120909,0.06196846758968238,0.04602283879233874,0.057114649602069294,0.09678358035028851,0.0678047007949682,0.037604862579373254,0.06746538633737983,0.06247872466410809,0.068968290139789,0.04794543562071728,0.07901979415947719,0.04958984836731054,0.05901624542365434,0.038047971012215076,0.03502380307860111,0.049996801704873584,0.06534295674008057,0.05068824067823632,0.044487536017885174,0.03403117765385029,0.02945048695816962,0.03130253621988014,0.027436321662003844,0.025892330871935793,0.01290274625044735
5,0.10590953635101857,0.12600745045853462,0.14803063913160075,0.09309356482477468,1.0000000000000002,0.24810916385534804,0.2580900740465828,0.19625254353899227,0.20452896525565223,0.18750534935138183,0.11989138843989024,0.1600020642095756,0.1382848665080475,0.11507268296945607,0.06849460190268654,0.07713353177614396,0.06773154509398806,0.07987243407498697,0.04422007954305377,0.05425802803953531,0.041726288490928555,0.033929696482548295,0.034506159529174414,0.06467732279676378,0.04754117012453958,0.04153064165433403,0.05470051623888403,0.05570431951983637,0.12316736627109653,0.05540949058946984,0.10104092065817888,0.044302688281124415,0.06146785921137669,0.09143318034280778,0.13540357993987434,0.09967114766019383,0.05142667499651801,0.03828417469840659,0.023864185252003227,0.07837493803622314,0.03638682336905,0.07278472650356384,0.05510526844590867,0.022691296189787352,0.03596046504685024,0.02960909701494168,0.049269343640367814,0.051234492909331575,0.038905524364687534,0.02712951375725756
6,0.06681929099776325,0.06934851025530407,0.11561899002038445,0.08146795736617057,0.24810916385534804,1.0000000000000004,0.17061253591619951,0.13084903460045733,0.14235902594757285,0.14407301974619338,0.12215268431468927,0.14812994204529503,0.14445884153340502,0.12708839291033108,0.10446623535012874,0.10963375783772672,0.10895186737834428,0.10557482558386196,0.08420575595288149,0.05321694665842303,0.11222029141820038,0.09542989041555938,0.057810570048661664,0.07891282257242646,0.07392699980816968,0.08342380983900087,0.13812516269914374,0.06612289371955737,0.025033654248909125,0.04576542009413197,0.022590420448745062,0.04398632119443831,0.03710159855321724,0.038856504190961115,0.031891370680986304,0.025747014624513054,0.03243222487350537,0.04502879204978105,0.020757338344593507,0.04143581253522155,0.026829221324274573,0.06106207400526008,0.043230279199191354,0.017462821662660367,0.028439865363904727,0.023965344884971873,0.03103142816107829,0.019496668527156917,0.08202957257214312,0.010651362575695229
7,0.08216688980526507,0.10507478048262993,0.09749931459547312,0.09271684976920927,0.2580900740465828,0.17061253591619951,1.0000000000000002,0.30249961980541884,0.1627489786927769,0.042719003093522105,0.06505073624961408,0.08929448117981811,0.0655335340565901,0.09922606797388922,0.06590131806747765,0.04847922836454035,0.04974877088766736,0.0667259640585631,0.12986626816888827,0.05686812185936924,0.04501038486477979,0.05597372843505435,0.03759119100893536,0.04736778005677136,0.059514500009867764,0.07210532301361908,0.06207019513206831,0.03685995254936803,0.030594017521786664,0.033375912464712006,0.029884856952824744,0.04320767910257599,0.04296510875036144,0.08174367370732667,0.04438674575002825,0.04013477767855752,0.03146377435198252,0.05446175429261501,0.02811935012499712,0.029334873221548978,0.034877615498156725,0.05754032776890939,0.053528071303296794,0.047333694214404684,0.028962862004436204,0.022712755110971608,0.028370263279754032,0.023965931058400888,0.04309623004483118,0.011412244225897194
8,0.05750010243942144,0.09361770435840831,0.07019253347556235,0.07514160439688673,0.19625254353899227,0.13084903460045733,0.30249961980541884,0.9999999999999999,0.1597512230284956,0.07431630852930265,0.07059055324706968,0.07539550591405353,0.1010771750401172,0.07392840042166562,0.062273197560648176,0.09480082010706657,0.06021900803310759,0.0877839964748006,0.07985547661181885,0.0771032070037821,0.0763983043395251,0.04881511625050543,0.04215870676637048,0.07006202950489554,0.07477400052083802,0.05715417574078873,0.07344439453569658,0.048391211499975786,0.0582407201341523,0.03758391004714202,0.035849533546422,0.04249993141267543,0.04151926831944008,0.07691860301410576,0.03802285792745584,0.050313237899395236,0.03548121806443767,0.04869523192568476,0.033784268184326394,0.03827443033840745,0.03501917218829791,0.05118213834139223,0.04298284926990001,0.04239633855102912,0.03649311621843745,0.02359873848567509,0.016545158977065627,0.02570812240660978,0.015213502116543494,0.004652087429590785
9,0.08706204300000567,0.16774331851661667,0.12274091343139737,0.09191163151762731,0.20452896525565223,0.14235902594757285,0.1627489786927769,0.1597512230284956,1.0000000000000002,0.11644844838034603,0.07029830828079905,0.07549939131224556,0.10693617681442553,0.11772612675588942,0.05916352199809213,0.07934678608239704,0.060475907743983724,0.0709376170789064,0.047561473315029974,0.0978091233310559,0.07150220349725561,0.055614229901803376,0.035905097244184433,0.07705384234127545,0.04996944812154611,0.06580676284732839,0.05506649844319194,0.06503078654341926,0.04797640096069469,0.06112690561454385,0.08253346561768661,0.08415377206309985,0.08585684057740324,0.06522352602673881,0.10951877907359917,0.0780452610083455,0.04164824529579583,0.062412165763899255,0.041783693491042675,0.04775110752466175,0.04411594692236211,0.06336417826891215,0.05531843221176008,0.03402209066802253,0.02295029080368479,0.04319977808894238,0.023300795842453693,0.042941455242611115,0.035431015922051265,0.014639980351823791
10,0.07972882262150145,0.04374811922966852,0.08145663224091902,0.07593922615330963,0.18750534935138183,0.14407301974619338,0.042719003093522105,0.07431630852930265,0.11644844838034603,0.9999999999999997,0.2972851099271088,0.2514522822060068,0.17824278092667062,0.17218280574670994,0.1551150287721649,0.19406378281024236,0.11408998621910624,0.10964821808630068,0.09340202285388742,0.04800341892807148,0.10093021172490302,0.11706410148843863,0.09145480815910284,0.11523895889373227,0.1308191689556373,0.11279832672908124,0.13632057665190261,0.11666726426539822,0.10211180048091087,0.07596371387868336,0.07262814617371902,0.020368629426579014,0.038353468927425555,0.060879056891508285,0.05255169475271073,0.059175899442804415,0.04792107498078729,0.040771664420298816,0.023115237227457938,0.037615147175919454,0.05171313978989119,0.06998392348350517,0.05891463984336727,0.027805996405100265,0.06428869448383313,0.06332097941974744,0.054935291248072504,0.03582085929773347,0.049138767876285946,0.002920856228598616
11,0.07164236111589874,0.06376277150247561,0.08207082020248062,0.05053043860727155,0.11989138843989024,0.12215268431468927,0.06505073624961408,0.07059055324706968,0.07029830828079905,0.2972851099271088,0.9999999999999997,0.2522592561458964,0.14454005348418317,0.1861200499053229,0.11506140094394542,0.13483628549765928,0.11919378829224203,0.0893948228212295,0.15744991881020173,0.0873058468121227,0.1331499300933554,0.15856402202239275,0.08759896292772541,0.08788563111717658,0.1298642947161541,0.1395895092268392,0.14719460520031505,0.07655088326645833,0.051481802535002855,0.04269378558506618,0.0626190860340062,0.03232615005910455,0.03887113901460168,0.06768432971853762,0.03701529590178019,0.03536496763471056,0.04365385769912732,0.05015692817480531,0.0521996731204644,0.05207066473082486,0.034958256744443986,0.07187632070394925,0.08274566302035728,0.04496443228704081,0.08161747859200025,0.05398965081319116,0.0395523963802996,0.030471956384618696,0.057852203196664016,0.01083886955884608
12,0.053487837705542655,0.045528707635391144,0.07909413776789166,0.06320128329468212,0.1600020642095756,0.14812994204529503,0.08929448117981811,0.07539550591405353,0.07549939131224556,0.2514522822060068,0.2522592561458964,1.000000000000001,0.17599091292483146,0.1667576291343104,0.11356317726469044,0.1520260758337536,0.09018299290406234,0.07280002477035413,0.10176293447374293,0.03711236924066199,0.08936168785964912,0.20935090243452836,0.1359487768200584,0.1441316505234759,0.13370935278532353,0.14086449450749564,0.22448271500321107,0.08328830467404275,0.03524739115526959,0.02115900643569406,0.04545698693802386,0.056201657513971055,0.046679351585236645,0.06378336883184238,0.06115072222408848,0.03330746244369761,0.05271983091669847,0.06321888585524432,0.04010037741862633,0.04256383265209248,0.03047285196360265,0.0537936367335785,0.08246242406373472,0.05264149032027214,0.09347014290131478,0.03271501130724591,0.04628416158496537,0.021875925919506208,0.07995577260918975,0.023016194232982776
13,0.07214499050286566,0.0535396055521475,0.07290972150736545,0.03926685241376853,0.1382848665080475,0.14445884153340502,0.0655335340565901,0.1010771750401172,0.10693617681442553,0.17824278092667062,0.14454005348418317,0.17599091292483146,1.000000000000001,0.29027639904899766,0.1723997912474487,0.18644814449375124,0.09683033296144243,0.08709007247856106,0.09173299609821046,0.07545002186797026,0.1229090260987048,0.0939268795574848,0.08280190530202972,0.11186564715139445,0.1143631763177861,0.09546913296544508,0.17004946475011393,0.06861691515596213,0.0562647013754727,0.035805736803192705,0.04600318309476171,0.02473688453081339,0.047314421090134985,0.045987990389369106,0.03212217183418468,0.03958170715728164,0.02985963645933543,0.043917351635895795,0.06027568516886877,0.041688430179193346,0.025793728637536234,0.0637700914621158,0.055507745108549326,0.03967761963284561,0.08271019923520836,0.05606005458373715,0.08263433735921373,0.05729036232213664,0.06177981103579701,0.013744021146041683
