doc_id,para_num,line_id
250,13,2
251,13,3
252,13,4
253,13,5
254,13,6
255,13,7
256,13,8
257,13,9
258,13,10
259,13,11
260,13,12
261,13,13
262,13,14
263,13,15
264,13,16
265,13,17
266,13,18
267,13,19
268,13,20
269,13,21
270,13,22
271,13,23
272,13,24
273,13,25
274,13,26
275,13,27
276,13,28
277,13,29
278,13,30
279,13,31
280,13,32
281,13,33
282,13,34
283,13,35
284,13,36
285,13,37
286,13,38
287,13,39
288,13,40
289,13,41
290,13,42
291,14,1
292,14,2
293,14,3
294,14,4
295,14,5
296,14,6
297,14,7
298,14,8
299,14,9
300,14,10
301,14,11
302,14,12
303,14,13
304,14,14
305,14,15
306,14,16
307,14,17
308,14,18
309,14,19
310,14,20
311,14,21
312,14,22
313,14,23
314,14,24
315,14,25
316,14,26
317,14,27
318,14,28
319,14,29
320,14,30
321,14,31
322,14,32
323,14,33
324,14,34
325,14,35
326,14,36
327,14,37
328,14,38
329,14,39
330,14,40
331,14,41
332,14,42
333,14,43
334,14,44
335,14,45
336,14,46
337,14,47
338,14,48
339,14,49
340,14,50
341,14,51
342,14,52
343,14,53
344,14,54
345,14,55
346,14,56
347,14,57
348,14,58
349,14,59
350,14,60
351,14,61
352,14,62
353,14,63
354,14,64
355,14,65
356,14,66
357,14,67
358,14,68
359,14,69
360,14,70
361,14,71
362,14,72
363,14,73
364,14,74
365,14,75
366,14,76
367,14,77
368,14,78
369,14,79
370,14,80
371,14,81
372,14,82
373,14,83
374,14,84
375,14,85
376,14,86
377,14,87
378,15,1
379,15,2
380,15,3
381,15,4
382,15,5
383,15,6
384,15,7
385,15,8
386,15,9
387,15,10
388,15,11
389,15,12
390,15,13
391,15,14
392,15,15
393,15,16
394,15,17
395,15,18
396,15,19
397,15,20
398,15,21
399,15,22
400,15,23
401,15,24
402,15,25
403,16,1
404,16,2
405,16,3
406,16,4
407,16,5
408,16,6
409,16,7
410,16,8
411,16,9
412,16,10
413,16,11
414,16,12
415,17,1
416,17,2
417,17,3
418,17,4
419,17,5
420,17,6
421,17,7
422,17,8
423,17,9
424,17,10
425,17,11
426,17,12
427,17,13
428,17,14
429,17,15
430,17,16
431,17,17
432,17,18
433,18,1
434,18,2
435,18,3
436,18,4
437,18,5
438,18,6
439,18,7
440,18,8
441,18,9
442,18,10
443,18,11
444,19,1
445,19,2
446,19,3
447,19,4
448,19,5
449,19,6
450,19,7
451,19,8
452,19,9
453,19,10
454,19,11
455,19,12
456,19,13
457,19,14
458,19,15
459,19,16
460,19,17
461,19,18
462,19,19
463,19,20
464,19,21
465,19,22
466,19,23
467,19,24
468,19,25
469,20,1
470,20,2
471,20,3
472,20,4
473,20,5
474,20,6
475,20,7
476,20,8
477,20,9
478,20,10
479,20,11
480,20,12
481,20,13
482,20,14
483,20,15
484,20,16
485,20,17
486,20,18
487,20,19
488,20,20
489,20,21
490,20,22
491,20,23
492,20,24
493,20,25
494,20,26
495,20,27
496,20,28
497,20,29
498,20,30
499,20,31
500,20,32
501,20,33
502,20,34
503,20,35
504,20,36
505,21,1
506,21,2
507,21,3
508,21,4
509,21,5
510,21,6
511,22,1
512,22,2
513,22,3
514,22,4
515,22,5
516,22,6
517,22,7
518,22,8
519,22,9
520,22,10
521,22,11
522,22,12
523,22,13
524,22,14
525,22,15
526,22,16
527,22,17
528,22,18
529,22,19
530,22,20
531,22,21
532,22,22
533,22,23
534,22,24
535,22,25
536,22,26
537,22,27
538,22,28
539,22,29
540,22,30
541,22,31
542,22,32
543,22,33
544,22,34
545,22,35
546,22,36
547,22,37
548,22,38
549,22,39
550,22,40
551,22,41
552,22,42
553,22,43
554,22,44
555,22,45
556,22,46
557,22,47
558,22,48
559,22,49
560,22,50
561,22,51
562,22,52
563,22,53
564,22,54
565,22,55
566,22,56
