topic_id,top_terms,gloss,label
0,"xib'alb'a, kame, ke, kecha', wuqub'",xib'alb'a,xib'alb'a T0
1,"b'alam, k'itze', iq'ib'alam, majukutaj, aq'ab'",b'alam,b'alam T1
2,"ajpop, ajaw, k'iche', q'amja, q'alel",ajpop,ajpop T2
3,"kaj, b'itol, tz'aqol, ulew, alom",kaj,kaj T3
4,"sipakna, kaqix, k'ajolab', in, wuqub'",sipakna,sipakna T4
5,"chowen, b'atz', q'apoj, xcha, kik'",chowen,chowen T5
6,"awlix, uwe, kej, retal, tojil",awlix,awlix T6
7,"kati't, qati't, xecha, wub', te",kati't,kati't T7
