doc_id,doc_str
166,kajkaj ib'inib'al ichakab'al chuxik
167,xe'uchaxik
168,ta xkich'ik k'ut kochoch ch'utitz'ikin nimatz'ikin
169,"ix, ix tz'ikin"
170,chuwi'
171,chi ri' kixpoq' wi kixk'iritaj wi
172,chuq'ab'
173,xe'uchaxik kej tz'ikin
174,ta xkib'ano kib'anoj
175,ronojel xuk'amo uwarab'al uyakalib'al
176,keje k'ut kochoch wi chikop
177,ri ulew xuya'o alom k'ajolom.
178,Xutzininaqa chik ronojel ri kej tz'ikin
179,ta xe'uchax chi k'ut ri kej tz'ikin
180,rumal tz'aqol b'itol alom k'ajolom
181,kixch'awoq kixsik'inoq
182,mixyonolikinik
183,kixch'awajetaj chi jujunal
184,chujutaq
185,xe'uchaxik ri kej tz'ikin
186,koj b'alam
187,kumatz
188,chib'ij na k'ut ri qab'i'
189,kojiq'ajarisaj
190,oj ichuch oj iqajaw
191,kixcha' b'a na k'ut
192,Juraqan Ch'ipikaqulja Raxakaqulja
193,uk'u'x kaj uk'u'x ulew
194,tz'aqol b'itol
195,alom k'ajolom.
196,Kixch'a'oq
197,xe'ucha'xik
198,ma k'u xutzinik
199,xech'awik
200,keje ta ri winaq
201,xa kewachelajik xa kek'aralajik xa kewojonik
202,ma wi xwachinik uwach kich'ab'al
203,jalajoj xkoq'ib'ej chi kijujunal.
204,Ta xkita' ri tz'aqol b'itol
205,ma wi mixutzinik
206,mixech'awik
207,xecha' chik chi kib'il kib'
208,ma wi mixutzin ub'ixik qab'i'
209,rumal oj kajtz'aq oj pu kajb'it
210,ma wi utz xcha' alom k'ajolom
211,xe'uchax k'ut
212,xa kixjalatajik
213,rumal ma wi mixutzinik
214,ma wi mixixch'awik
215,mi k'u xqajal qatzij
216,iwecha' ik'uxun
217,iwarab'al iyakalib'al xiwech
218,mixe'uxik siwan k'echelaj
219,rumal ma wi xutzin qaq'ijiloxik
220,ma wi ix sik'iy qe
221,k'a k'o
222,k'o wi lo q'ijilonel nimanel chiqab'an chik
223,xa chik'am ipatan
224,xa iti'o'jil
225,ta chuxoq.
226,Are k'ut chipatanij xe'ucha'xik
227,ta xepixab'axik
228,ch'utichikop nimachikop k'o chuwach ulew.
229,Ta xraj k'u
230,kitij chik kiq'ij
231,xrajkitijtob'ej chik
232,xrajpukinuk' chik q'ijilab'al
233,xma xkita wi kich'ab'al chi kib'il kib'.
234,Xma xnawachir wi k'ut
235,xma b'anataj wi puch
236,keje k'ut xech'akataj wi kitio'jil
237,xkipatanij
238,xeti'ik xekamisaxik ri chikop
239,k'o waral chuwach ulew
240,keje k'ut utijob'exik chik winaq tz'aq winaq b'it
241,kumal tz'aqol b'itol
242,alom k'ajolom
243,xa k'u tija chik
244,mixyopij rawexik usaqirik
245,qab'ana' tzuqul qe q'o'l qe.
246,Jupacha ta kojsik'ixoq
247,ta kojnab'ax puch chuwach ulew
248,mixqatijo chi rech ri nab'e qatz'aq qab'it.
249,Ma wi mixutzinik qaq'ijiloxik qaq'ala'ixik puch kumal
250,keje' k'ut qatija' wi ub'anik ajnim ajxob'
251,ta utz'aqik k'ut ub'anik puch ulew
252,xoq'o'l uti'ojil xkib'ano
253,ma k'u utz xkilo
254,xa chiyojomanik
255,xa tzub'ulik
256,xa neb'elik
257,xa lub'anik
258,xa wulanik
259,xa pu chi'umarik
260,xa jun b'enaq wi uwach
261,xa ku'l uwach
262,ma wi chimuqun chi rij
263,chich'aw nab'e
264,maja b'i una'oj
265,xa jusuk' chi'umar pa ja'
266,ma wi k'o
267,xecha' chi k'u ri ajtz'aq ajb'it.
268,Qawachlab'eq
269,xa lab'e ma wi chib'inik
270,ma pu chipoq'otajik
271,ta chuxo
272,xa una'oj chi ri'
273,xecha'
274,ta xkiyoj k'ut
275,xkiyoq' chik ri kitz'aq kib'it.
276,Xecha' chi k'ut
277,jupacha qi
278,chutzin ta wi chinawachir ta wi
279,q'ijiloy qech sik'iy qech
280,xecha'
281,ta xkina'ojij chik
282,"xa qab'ij chi ke Xpiyakok, Xmukane"
283,"Junajpu Wuch', Junajpu Utiw"
284,kitija chik uq'ijixik ub'itaxik
285,xe'uchan ki Ajtz'aq Ajb'it
286,ta xkib'ij k'ut chi re Xpiyakok Xmukane
287,k'a te k'ut ub'ixik ri' chi kech ri e nik'wachinel
288,rati't q'ij rati't saq ke'uchaxik
289,kumal ri tz'aqol b'itol
290,are kib'i' ri Xpiyakok Xmukane.
291,Xecha' k'u ri Juraqan ruk' Tepew Q'ukumatz
292,ta xkib'ij chi rech ajq'ij ajb'it
293,e nik'wachinel
294,xuk'ulu
295,che ta chik
296,chiqawinaqb'itoj chiqawinaqtz'aqoj ta chik tzuqul q'o'l
297,kojsik'ixtaj kojnab'axtaj puch
298,katok ta k'ut pa tzij iyom mamom
299,qati't qamam Xpiyakok Xmukane
300,cha'
301,ta chawaxoq ta saqiroq
302,qasik'ixik qatoq'exik qanab'axik
303,rumal winaq tz'aq winaq b'it
304,winaq poy winaq anom
305,ta chuxoq
306,"chik'utun ib'i' Junajpu Wuch', Junajpu Utiw"
307,kamul alom kamul k'ajolom
308,Nim Aq Nimatzis
309,ajk'uwa'l ajyamanik
310,ajch'ut ajtz'alam
311,ajraxalaq ajraxatzel
312,ajq'ol ajtoltekat
313,rati't q'ij rati't saq kixuchaxik
314,rumal
315,chimala' chi ixim chi tz'ite'
316,xa chib'anatajik xa pu chel apanoq
317,chiq'ajaj
318,xe'uchaxik e ajq'ij
319,k'a te puch uqajik uq'ijiloxik ri xmalik chi ixim chi tz'ite'
320,q'ij b'it xecha' k'u ri jun ati't jun mama' chi kech
321,are ri mama' are ajtz'ite' Xpiyakok ub'i'.
322,Are k'u ri ati't ajq'ij ajb'it chi raqan Xmukane ub'i'
323,xecha' k'ut ta xkitikib'a' q'ij
324,xa chuk'ulu xa pu churiqo
325,chab'ij
326,kata' qaxikin
327,kach'awik katzijon taj
328,xa chuk'ulu ri che' chajawaxik
329,chik'otox puch kumal ajtz'aq ajb'it.
330,We are tzuqul q'o'l
331,ta chawaxoq ta saqiroq
332,at ixim at tz'ite'
333,at q'ij at b'it
334,katchokonik kattaqen taj
335,xcha' chi re ixim tz'ite' q'ij b'it.
336,Katk'ix la uloq at uk'u'x kaj
337,maqajisaj uchi' uwach Tepew Q'ukumatz
338,xecha'
339,ta xkib'ij k'ut usuk'ulikil
340,utz are chuxik ri ipoy ajam che'
341,chich'awik chitzijon b'a la' chuwach ulew
342,ta chuxoq
343,xecha' k'ut
344,ta xkib'ij
345,jusuk' xb'anik poy ajam che'
346,xewinaqwachinik xewinaqtzijonik puch
347,are winaqil uwach ulew xe'uxik xepoq'ik
348,xeme'alanik xek'ajolanik ri poy ajam che'
349,ma k'u ja b'i kik'u'x
350,ma pu ja b'i kina'oj
351,ma wi na'tal kajtz'aq kajb'it
352,xa loq' xeb'inik xechakanik
353,ma wi xkina'taj chik ri uk'u'x kaj
354,keje k'ut xepaj chi wi
355,xa utijtob'exik
356,xa pu uwab'ab'exik chi winaq
357,kech'aw nab'ek
358,ma na sonol kaqan kiq'ab'
359,maja b'i kikik'el kikomajil
360,maja b'i kitiqowal kikab'chijal
361,chaqi'j kotz
362,Kapich'ipoj kaqan kiq'ab'
363,kayeyoj kitio'jil
364,keje k'ut ma wi xena'w chi wi'
365,chuwach tz'aqol b'itol
366,alay kech k'u'xla'y kech
367,e nab'e tzatz chi winaq xe'uxik waral chuwach ulew.
368,K'a te k'ut kik'isik chik
369,kimayxik kiq'utuxik puch
370,xekamisax chik poy ajam che'
371,ta xna'ojix kib'utik rumal uk'u'x kaj
372,nimab'utik
373,xpe pa kiwi' ri e poy e ajam che'
374,tz'ite' uti'ojil ri achij
375,ta xajaxik rumal tz'aqol b'itol
376,ixoq sib'aq k'ut uti'ojil ixoq.
377,Xrajokik rumal tz'aqol b'itol.
378,Ma wi xena'wik
379,ma pu xech'awik chuwach kajtz'aq kajb'it
380,b'anol ke winaqirisay kech
381,keje k'ut kikamisaxik
382,xeb'utik
383,xpe nimaq'ol chi la' chi kaj.
384,Xek'otk'owach ub'i
385,xk'otin uloq ub'aq' kiwach
386,xepe Kamalotz
387,xqupin ula kijolom
388,xpe Kotz B'alam
389,xti'o
390,xpe Tukum B'alam
391,xtukuwik xkichowik kib'aqil kib'ochil
392,xqajixik xmuchulixik kib'aqil
393,k'ajisab'al kiwach
394,rumal ma wi kina'wik
395,chuwach kichuch chuwach puch kikajaw
396,ri uk'u'x kaj Juraqan ub'i'
397,kumal xq'equ'marik uwach ulew
398,xtikarik q'eqal jab' q'ijil jab' aq'ab'al jab'
399,xok ula ch'utichikop nimachikop
400,xk'ut kiwach rumal che' ab'aj.
401,"Xch'awik ronojel kiq'eb'al kixot, kilaq, kib'o'j, kitz'i', kika',"
402,jarujpa la ronojel xk'utu
403,K'ax xib'an chi qe
404,xojiti'o
405,ix chi k'ut xkixqati' chik
406,"xcha' ri kitz'i', kak' chi kech."
407,Are k'u ri ka' xojk'ok'onik iwumal jutaq'ij
408,xq'eq saqirik amaq'el joli joli
409,juk'i juk'i qawach iwumal
410,are ta nab'e qapatan chiwach
411,ix ta na winaq
412,wakamik k'ut xchitij qachuq'ab'
413,xchiqake'j xchiqajok' puch iti'ojil
414,xcha' ri kika' chi ke.
415,Are k'u ri kitz'i' xcha' chik
416,ta xch'awik
417,naqi pa rumal ma wi chiya' qawa
418,xa kojmuqunik
419,xa pu kojikuxij
420,kojitzaq pu uloq
421,yakal ub'i qache'el iwumal
422,ta kixwa'ik
423,xere
424,ma wi kojch'awik
425,mata k'u mixojkamik chiwe
426,jupacha ma wi mixixna'wik
427,xixna'w ta k'ut
428,chiwij
429,wakamik k'ut xchitij qab'aq k'o pa qachi'
430,xkixqati'o
431,xecha' ri tz'i' chi ke
432,ta xk'ut kiwach.
433,Are chi k'u ri kixot kib'o'j
434,xch'aw chik chi ke
435,k'ax wa xib'an chi qe
436,xaq qachi' xaq qawach
437,amaq'el oj tzakal chuwi' q'aq'
438,kojik'ato
439,ma wi k'ax xqana'o
440,xchitij k'ut
441,xkixqaporoj
442,xcha ri kib'o'j
443,ronojel xk'utu
444,Are ri ab'aj ri kixk'ub'
445,chitaninik
446,chipe pa q'aq'
447,tak'al chi kijolom
448,k'ax xb'an chi ke.
449,Anilab'ik
450,kerajaq'anik chuwi' ja
451,xa chiwulij ja
452,ketzaq uloq
453,kerajaq'an chuwi che'
454,kech'akix uloq ruma
455,keraj ok pa jul
456,xa chiyuch
457,keje k'ut uka'yojik
458,e tzixel e tzalatzoxel chi winaq
459,xmayxik
460,xk'utuxik kichi' kiwach konojel
461,xcha' k'ut
462,are retal ri k'oy k'o pa k'echelaj wakamik
463,are xk'oje' wi retal
464,rumal xa che' kiti'ojil xkojik
465,rumal ajtz'aq ajb'it
466,are k'u ri k'oy keje ri winaq chiwachinik
467,retal jule' winaq tz'aq winaq b'it
468,xa poy xa pu ajam che'.
469,Are k'ut xa jub'iq' saqnatanoj uwach ulew
470,maja b'i q'ij
471,jun k'ut kunimarisaj rib'
472,Wuqub' Kaqix
473,k'o nab'e kaj ulew
474,xa kamoymot uwach q'ij ik'
475,kacha' k'u ri'
476,xa wi xere usaqetal winaq
477,ri xb'utik
478,keje ri nawal
479,In nim kik'oje'
480,in uq'ij in pu usaq
481,in nay pu rik'il
482,ta chuxoq
483,nim nusaqil
484,in b'inib'al in pu chakab'al
485,rumal winaq
486,rumal puwaq ub'aq' nuwach
487,xa katiltotik chi yamanik raxak'uwal
488,nay pu we raxkawakoj chi ab'aj
489,keje ri uwa kaj
490,"are k'u ri nutza'm, saqjulujuj chi naj"
491,keje ri ik'
492,puwaq k'ut nuq'alib'al
493,kasaqpake' uwach ulew
494,ta kinel uloq chuwach nuq'alib'al
495,keje k'ut in q'ij wi in pu ik'
496,rumal saqil al saqil k'ajol
497,ta chuxoq
498,rumal chi naj kopon wi nuwach
499,cha' Wuqub' Kaqix
500,ma k'u qitzij
501,are ta q'ij ri Wuqub' Kaqix
502,xere kunimarisaj rib' ri uxik' upuwaq
503,xere k'ut toq'ol wi uwach ri chikub'e' wi
504,mana ronojel ta uxe' kaj kopon wi uwach.
505,Maja k'ut qi
506,maja'oq kasariroq
507,keje k'ut kukob'isaj wi rib' ri Wuqub' Kaqix
508,chi q'ijil chi ik'il
509,xa maja' chik'utunoq chiq'alajob'oq usaqil q'ij Ik'
510,xa xurayij nimal ik'owen
511,Keje k'ut xchiqab'ij chik
512,ta xkamik Wuqub' Kaqix
513,ta xch'akatajik
