cluster_letter,cluster_label,n,ord,gloss,top_terms
A,5,56,0,xe'ik'ow,"xe'ik'ow, saqil, tew, ch'ab'al, ajal, puwaq, k'ajolom"
B,2,5,7,sipakna,"sipakna, jul, much', o', tap, kab'al, chimalmat"
C,4,5,19,q'apoj,"q'apoj, sel, k'at, walib', chub', me'al, kuchuma"
D,3,3,61,q'apojib',"q'apojib', k'ul, xtaj, xpuch', jumaj, mi'al, sita'l"
E,1,11,69,q'alel,"q'alel, le', k'iq'ab', ismachi', tuja, tzik', b'elejeb'"
