para_num,C,B,D,A
0,2.1561329279964676e-24,2.673267290385362e-40,1.4424633914779776e-12,0.020618022715887363
1,2.1561329279964676e-24,2.673267290385362e-40,1.4424633914779776e-12,0.020618022715887363
2,2.1561329279964676e-24,2.6732672903853615e-40,1.4424633914779778e-12,0.020618022715887363
3,2.1561329279964676e-24,2.673267290385362e-40,1.4424633914779776e-12,0.020618022715887363
4,2.1561329279964676e-24,2.673267290385362e-40,1.4424633914779776e-12,0.020618022715887363
5,3.585550498660708e-12,2.535319947987772e-25,9.895397327203875e-13,0.0202025326013623
6,1.1419198870729934e-11,8.074442877830617e-25,5.515041906175841e-30,0.01929477702506297
7,7.580196252518799e-12,5.359908553973226e-25,3.660948917430284e-30,0.01925025353848819
8,2.4379820911917734e-33,1.6420416218168503e-33,9.778689914444817e-37,0.019162340921684475
9,2.5917043387922567e-20,9.110775248909518e-26,8.748358316263846e-34,0.02102183060973111
10,1.279360569035492e-20,4.979290170128085e-17,1.4851781303434154e-28,0.019715717190526796
11,3.006209937198025e-24,9.578803962697348e-17,2.857071656231855e-28,0.018461287776453644
12,4.8385815603656306e-18,0.0005054658803067294,9.199407477315616e-20,0.0176672557299639
13,4.1130236456595133e-14,0.0004942989259765587,3.351014724001814e-36,0.016665421623361158
14,7.993714366537017e-14,0.0010551681557097745,2.225751874618414e-31,0.017411539424444702
15,5.001636065992962e-18,0.002353771781825238,6.271873394326291e-31,0.018199482691563906
16,3.482100441313224e-22,0.005718751438273899,6.14005372548637e-31,0.015119973039178438
17,1.731501601325824e-22,0.012011321714216578,1.2762166208267588e-14,0.007518524070673531
18,7.909508035797857e-27,0.018698037666219976,1.946438370408252e-14,5.260433444409077e-15
19,9.388983960812092e-05,0.01953767598567473,2.761830544696741e-20,1.3544850434540113e-19
20,0.00022954140598199912,0.018552629173101028,6.75210937583588e-20,3.311438177580401e-19
21,0.00014970091694521738,0.019737148479975365,9.957839064782706e-17,1.0040044416157548e-06
22,1.0792999788833157e-15,0.02139893160517494,2.467706507536535e-16,2.489853170767e-06
23,9.77529444016247e-19,0.017899016078875864,2.8057298271622594e-27,4.887050409083496e-09
24,4.60415277965357e-16,0.019426027019837044,1.1962566174062174e-24,1.1280961929760437e-15
25,3.4858528355464754e-16,0.019250438401690006,9.548014427957956e-23,1.2389568228446225e-08
26,3.992858916996374e-18,0.018709380450422978,3.8600607719209047e-22,5.056672266557133e-08
27,0.003484571122006638,0.016311961755126492,8.825074623325268e-16,3.6246912759933083e-10
28,7.366170980712881e-16,0.01886391479666783,1.507170712276797e-32,1.1298315438371047e-12
29,2.6750652023431037e-28,0.01798132157119496,3.2152975191062475e-31,1.792350455044877e-17
30,6.585074137182995e-26,0.020530945909672423,1.7788950387282908e-31,4.449107359189227e-18
31,3.053030151162507e-05,0.019437949598175512,2.8152652852133664e-32,3.0094518897036557e-24
32,0.0004232228035235365,0.02120778617025414,9.208514615841492e-40,8.969665362345546e-31
33,0.0004232228035235365,0.02120778617025414,9.208514615841492e-40,8.969665362345546e-31
34,0.0004232228035235365,0.02120778617025414,9.208514615841492e-40,8.969665362345546e-31
35,0.00021621164962615453,0.021005048535133564,3.545393531379481e-20,3.2290915740519534e-13
36,9.882594455029691e-23,0.02079330033845207,7.248360108598049e-20,6.601698329172883e-13
37,2.5781069230112107e-14,0.02314786886118778,1.5422042784264442e-20,1.4046166771437878e-13
38,3.274892575208134e-14,0.02378423873219743,1.6862020830791256e-32,1.4433221654795072e-21
39,1.4765411664761463e-14,0.022169141775761604,5.37978528617163e-22,6.507484421853414e-22
40,9.83304056671483e-23,0.020843062169424817,9.796872152574102e-22,3.700954342053499e-27
41,0.002523086927399053,0.014172562983214145,1.526451092957026e-05,0.004298647583334753
42,0.0031923973599066744,0.01077230275023779,1.9313782400478565e-05,0.007127208549864089
43,2.721707835670686e-08,6.68996390129562e-14,3.301784748018009e-14,0.02157786007362164
44,2.721707835670686e-08,6.68996390129562e-14,3.301784748018009e-14,0.02157786007362164
45,2.721707835670686e-08,6.68996390129562e-14,3.301784748018009e-14,0.02157786007362164
46,2.721707835670686e-08,6.68996390129562e-14,3.301784748018009e-14,0.02157786007362164
47,2.721707835670686e-08,6.68996390129562e-14,3.301784748018009e-14,0.021577860073621644
48,0.002312761562658137,1.6131827847258308e-14,7.962075797211437e-15,0.019747823351651993
49,0.003047649111720871,2.1412236226287696e-25,4.2872038027516617e-19,0.019166316355885938
50,0.003047649111720871,2.1412236226287696e-25,4.2872038027516617e-19,0.019166316355885938
51,0.009016525535369182,1.5028905418631205e-22,0.0030859220340995327,0.010419183952428603
52,0.011462190925991819,2.117802027227379e-22,0.004350336336103803,0.006835166213080971
53,0.018915886671241614,3.5713077291139726e-22,0.0005389797230571084,0.0008468347520631292
54,0.019969944655418355,3.7768539899868244e-22,3.5385676957442976e-23,2.145484880382828e-23
55,0.019983267576488672,3.5040464496032424e-08,1.8449751354816527e-23,9.819300123975605e-16
56,0.02125669483699984,4.6851123851305656e-08,7.986571396008715e-19,1.3131590208424096e-15
57,0.023494070745462167,3.8728680365362403e-32,2.218052749089549e-18,7.274232908286187e-19
58,0.023494070745462167,3.8728680365362403e-32,2.218052749089549e-18,7.274232908286187e-19
59,0.020685292706987556,1.6291831684683183e-33,8.536089862905654e-20,2.797782427853948e-20
60,0.020572941585448572,1.4520328059255485e-34,5.322461063683046e-23,5.6165363104406886e-27
61,0.02131704232323968,2.1003029736352896e-32,6.413082946712926e-20,1.8403755670091025e-23
62,0.020766798304840347,2.841301033988817e-23,1.6340135164958645e-19,1.9033295906398302e-23
63,0.019694933561030827,6.45750233782697e-23,3.64487669327626e-24,4.3256972942301323e-23
64,0.019800063530250787,1.1322137506711823e-11,3.304015337761985e-22,3.3714725208542845e-23
65,0.020171303734058767,5.130343557705992e-11,1.4842609791002677e-21,1.8662898708223417e-26
66,0.019337509145660115,2.02330568769112e-11,4.499555383902942e-11,5.350663599855236e-21
67,0.019021553129840364,1.402593545063827e-14,6.498929736808709e-11,7.728220529365039e-21
68,0.020604278605799557,8.501926805010776e-22,1.5668274392163031e-15,2.1840051416579754e-22
69,0.02056494933611214,1.068412183897836e-20,1.998656582003217e-14,2.7855762289716626e-21
70,0.022020735731651937,2.1864149049678515e-21,0.0005042665635528383,6.103278016013927e-22
71,0.02239530146206934,2.2455540072357724e-27,0.0006340115414379487,5.064849800745056e-23
72,0.0034454310227974914,3.4546984727112412e-28,0.017687160760030386,7.792076617432447e-24
73,3.383897380594235e-11,4.824476122672429e-39,0.02078773334522901,1.0655197145457925e-33
74,1.1087391038689556e-11,1.7895083390569945e-33,0.020227216316619022,3.4913678669336216e-34
75,1.2230015415037312e-25,1.9804416649551202e-31,0.019356596218266204,1.897535253978063e-38
76,1.6067661033129295e-27,7.088300809971614e-31,0.017794647482623258,1.4742124397524512e-42
77,1.6067661033129299e-27,7.088300809971615e-31,0.017794647482623258,1.4742124397524512e-42
78,1.6067661033129295e-27,7.088300809971613e-31,0.017794647482623258,1.4742124397524512e-42
79,1.6067661033129297e-27,7.088300809971614e-31,0.017794647482623258,1.4742124397524512e-42
80,1.6067661033129299e-27,7.088300809971615e-31,0.017794647482623258,1.4742124397524512e-42
81,4.264333073592953e-21,2.2225704264070644e-29,0.017866878714362704,8.261056425374558e-30
82,1.454137046255617e-19,7.344342397238028e-28,0.02025773248493832,2.817020241052236e-28
83,1.3455984578438425e-18,5.068630668523036e-28,0.01984347471993304,1.944324510715102e-28
84,4.018737226375468e-18,2.146013595675075e-39,0.018920809697875823,5.931113278492814e-32
85,4.018737226375468e-18,2.146013595675075e-39,0.018920809697875823,5.931113278492814e-32
