cluster_letter,cluster_label,n,ord,gloss,top_terms
A,1,28,1,he,"he, will, it, who, what, lord, your"
B,5,19,2,god,"god, they, them, he, will, in, who"
C,3,29,7,they,"they, we, them, will, a, he, in"
D,4,13,24,god,"god, they, them, their, who, for, are"
E,2,25,53,a,"a, he, will, they, it, in, him"
