term_str,df,dp,dh,sig
teaches,3,0.05,0.21609640474436814,True
teaching,2,0.03333333333333333,0.1635630198536173,False
teachings,3,0.05,0.21609640474436814,True
tears,2,0.03333333333333333,0.1635630198536173,False
tell,16,0.26666666666666666,0.5085041588289383,True
telling,4,0.06666666666666667,0.26045937304056793,True
tells,1,0.016666666666666666,0.09844817659347531,False
temple,1,0.016666666666666666,0.09844817659347531,False
tempt,2,0.03333333333333333,0.1635630198536173,False
temptation,1,0.016666666666666666,0.09844817659347531,False
tempted,1,0.016666666666666666,0.09844817659347531,False
tempter,1,0.016666666666666666,0.09844817659347531,False
tempters,1,0.016666666666666666,0.09844817659347531,False
ten,9,0.15,0.4105448391249309,True
tender,3,0.05,0.21609640474436814,True
tenderness,1,0.016666666666666666,0.09844817659347531,False
tents,1,0.016666666666666666,0.09844817659347531,False
term,17,0.2833333333333333,0.515504530401484,True
terma,1,0.016666666666666666,0.09844817659347531,False
terminate,1,0.016666666666666666,0.09844817659347531,False
terminating,1,0.016666666666666666,0.09844817659347531,False
terms,4,0.06666666666666667,0.26045937304056793,True
terrains,1,0.016666666666666666,0.09844817659347531,False
terrible,27,0.45,0.5184013920502726,True
terrified,2,0.03333333333333333,0.1635630198536173,False
terrify,1,0.016666666666666666,0.09844817659347531,False
territory,2,0.03333333333333333,0.1635630198536173,False
terror,4,0.06666666666666667,0.26045937304056793,True
test,22,0.36666666666666664,0.5307349582227812,True
testament,1,0.016666666666666666,0.09844817659347531,False
testator,1,0.016666666666666666,0.09844817659347531,False
tested,12,0.2,0.46438561897747244,True
testified,1,0.016666666666666666,0.09844817659347531,False
testifies,1,0.016666666666666666,0.09844817659347531,False
testify,10,0.16666666666666666,0.430827083453526,True
testifying,1,0.016666666666666666,0.09844817659347531,False
testimonies,2,0.03333333333333333,0.1635630198536173,False
testimony,6,0.1,0.33219280948873625,True
testing,4,0.06666666666666667,0.26045937304056793,True
tests,4,0.06666666666666667,0.26045937304056793,True
testwith,1,0.016666666666666666,0.09844817659347531,False
thamood,17,0.2833333333333333,0.515504530401484,True
thamoodand,1,0.016666666666666666,0.09844817659347531,False
thamoodthose,1,0.016666666666666666,0.09844817659347531,False
than,55,0.9166666666666666,0.11506997524353753,False
thank,2,0.03333333333333333,0.1635630198536173,False
thankful,16,0.26666666666666666,0.5085041588289383,True
thankless,2,0.03333333333333333,0.1635630198536173,False
thanklessness,1,0.016666666666666666,0.09844817659347531,False
thanks,16,0.26666666666666666,0.5085041588289383,True
that,60,1.0,0.0,False
thatgardens,1,0.016666666666666666,0.09844817659347531,False
thatthese,5,0.08333333333333333,0.29874687506009634,True
the,60,1.0,0.0,False
their,60,1.0,0.0,False
theirs,11,0.18333333333333332,0.4487008124447239,True
them,60,1.0,0.0,False
thema,3,0.05,0.21609640474436814,True
themafter,1,0.016666666666666666,0.09844817659347531,False
themand,1,0.016666666666666666,0.09844817659347531,False
themeven,1,0.016666666666666666,0.09844817659347531,False
themfor,1,0.016666666666666666,0.09844817659347531,False
themhe,2,0.03333333333333333,0.1635630198536173,False
themin,1,0.016666666666666666,0.09844817659347531,False
theminnovations,1,0.016666666666666666,0.09844817659347531,False
themit,1,0.016666666666666666,0.09844817659347531,False
themonly,1,0.016666666666666666,0.09844817659347531,False
themout,1,0.016666666666666666,0.09844817659347531,False
themsatan,1,0.016666666666666666,0.09844817659347531,False
themselves,48,0.8,0.2575424759098899,True
themthe,4,0.06666666666666667,0.26045937304056793,True
themthere,1,0.016666666666666666,0.09844817659347531,False
themthese,2,0.03333333333333333,0.1635630198536173,False
themthey,4,0.06666666666666667,0.26045937304056793,True
themthose,1,0.016666666666666666,0.09844817659347531,False
themuntil,1,0.016666666666666666,0.09844817659347531,False
themwill,1,0.016666666666666666,0.09844817659347531,False
themwith,1,0.016666666666666666,0.09844817659347531,False
themyou,1,0.016666666666666666,0.09844817659347531,False
then,60,1.0,0.0,False
there,60,1.0,0.0,False
thereafter,6,0.1,0.33219280948873625,True
thereby,16,0.26666666666666666,0.5085041588289383,True
therefore,11,0.18333333333333332,0.4487008124447239,True
therefrom,2,0.03333333333333333,0.1635630198536173,False
therein,42,0.7,0.36020122098083074,True
thereinwe,1,0.016666666666666666,0.09844817659347531,False
thereof,5,0.08333333333333333,0.29874687506009634,True
thereofhis,1,0.016666666666666666,0.09844817659347531,False
thereupon,7,0.11666666666666667,0.3616124952476067,True
therewith,1,0.016666666666666666,0.09844817659347531,False
these,58,0.9666666666666667,0.047279280464914954,False
thesegod,4,0.06666666666666667,0.26045937304056793,True
thesehe,1,0.016666666666666666,0.09844817659347531,False
thesetheir,6,0.1,0.33219280948873625,True
thesethey,1,0.016666666666666666,0.09844817659347531,False
thesewe,1,0.016666666666666666,0.09844817659347531,False
they,60,1.0,0.0,False
thick,2,0.03333333333333333,0.1635630198536173,False
thief,1,0.016666666666666666,0.09844817659347531,False
thieves,1,0.016666666666666666,0.09844817659347531,False
thing,16,0.26666666666666666,0.5085041588289383,True
things,50,0.8333333333333334,0.21919533819482817,True
thingsso,1,0.016666666666666666,0.09844817659347531,False
think,30,0.5,0.5,True
thinking,6,0.1,0.33219280948873625,True
thinks,1,0.016666666666666666,0.09844817659347531,False
thinkthose,1,0.016666666666666666,0.09844817659347531,False
third,3,0.05,0.21609640474436814,True
thirst,1,0.016666666666666666,0.09844817659347531,False
thirsty,3,0.05,0.21609640474436814,True
thirty,2,0.03333333333333333,0.1635630198536173,False
this,59,0.9833333333333333,0.02384342047589925,False
thisbefore,1,0.016666666666666666,0.09844817659347531,False
thisonly,1,0.016666666666666666,0.09844817659347531,False
thorns,1,0.016666666666666666,0.09844817659347531,False
thorny,1,0.016666666666666666,0.09844817659347531,False
thoroughly,2,0.03333333333333333,0.1635630198536173,False
those,60,1.0,0.0,False
thosei,1,0.016666666666666666,0.09844817659347531,False
thosetheir,2,0.03333333333333333,0.1635630198536173,False
thosewe,1,0.016666666666666666,0.09844817659347531,False
though,37,0.6166666666666667,0.430086291820734,True
thought,11,0.18333333333333332,0.4487008124447239,True
thoughts,4,0.06666666666666667,0.26045937304056793,True
thousand,9,0.15,0.4105448391249309,True
thousands,1,0.016666666666666666,0.09844817659347531,False
threat,1,0.016666666666666666,0.09844817659347531,False
threaten,3,0.05,0.21609640474436814,True
threats,2,0.03333333333333333,0.1635630198536173,False
three,16,0.26666666666666666,0.5085041588289383,True
threshold,1,0.016666666666666666,0.09844817659347531,False
threw,11,0.18333333333333332,0.4487008124447239,True
thrive,1,0.016666666666666666,0.09844817659347531,False
throat,1,0.016666666666666666,0.09844817659347531,False
throats,2,0.03333333333333333,0.1635630198536173,False
throne,18,0.3,0.5210896782498619,True
thrones,2,0.03333333333333333,0.1635630198536173,False
throng,1,0.016666666666666666,0.09844817659347531,False
throngs,1,0.016666666666666666,0.09844817659347531,False
through,31,0.5166666666666667,0.49222538069784905,True
throughand,1,0.016666666666666666,0.09844817659347531,False
throughout,3,0.05,0.21609640474436814,True
throw,12,0.2,0.46438561897747244,True
throwing,2,0.03333333333333333,0.1635630198536173,False
thrown,4,0.06666666666666667,0.26045937304056793,True
thrust,1,0.016666666666666666,0.09844817659347531,False
thunder,2,0.03333333333333333,0.1635630198536173,False
thunderbolt,3,0.05,0.21609640474436814,True
thunderbolts,3,0.05,0.21609640474436814,True
thus,44,0.7333333333333333,0.328136583112229,True
thwart,1,0.016666666666666666,0.09844817659347531,False
tie,2,0.03333333333333333,0.1635630198536173,False
tied,2,0.03333333333333333,0.1635630198536173,False
ties,3,0.05,0.21609640474436814,True
tight,1,0.016666666666666666,0.09844817659347531,False
tightfisted,1,0.016666666666666666,0.09844817659347531,False
timber,1,0.016666666666666666,0.09844817659347531,False
time,37,0.6166666666666667,0.430086291820734,True
times,6,0.1,0.33219280948873625,True
timetables,1,0.016666666666666666,0.09844817659347531,False
timethe,1,0.016666666666666666,0.09844817659347531,False
timing,1,0.016666666666666666,0.09844817659347531,False
tired,1,0.016666666666666666,0.09844817659347531,False
tires,1,0.016666666666666666,0.09844817659347531,False
tiring,2,0.03333333333333333,0.1635630198536173,False
to,60,1.0,0.0,False
today,23,0.38333333333333336,0.5302759784947438,True
together,27,0.45,0.5184013920502726,True
togetherthat,1,0.016666666666666666,0.09844817659347531,False
toilet,2,0.03333333333333333,0.1635630198536173,False
tokens,1,0.016666666666666666,0.09844817659347531,False
told,13,0.21666666666666667,0.478064356784609,True
tolerant,1,0.016666666666666666,0.09844817659347531,False
toll,1,0.016666666666666666,0.09844817659347531,False
tombs,3,0.05,0.21609640474436814,True
tomorrow,4,0.06666666666666667,0.26045937304056793,True
tone,1,0.016666666666666666,0.09844817659347531,False
tongue,8,0.13333333333333333,0.3875854127478025,True
tongues,8,0.13333333333333333,0.3875854127478025,True
