cluster_letter,cluster_label,n,ord,gloss,top_terms
A,1,5,0,kaj,"kaj, b'it, winaq, tz'aq, ulew, tio'jil, aj"
B,4,5,4,kaqix,"kaqix, k'ajolab', sipakna, wuqub', jul, kab'raqan, xcha'"
C,2,13,9,kame,"kame, xib'alb'a, junajpu, xcha', kik', b'a, wuqub'"
D,3,6,14,kati't,"kati't, ati't, junajpu, ch'o, chowen, b'atz', qati't"
E,6,8,29,b'alam,"b'alam, kitze, amaq', q'ij, aj, majukutaj, winaq"
F,7,6,31,tojil,"tojil, b'alam, amaq', q'apojib', awilix, q'aq', kitze"
G,5,7,43,ajaw,"ajaw, ajawab', ja, tinamit, aj, pop, nim"
