topic_letter,topic_id,top_terms,gloss,ord
A,3,"alom, xpiyakok, tz'aqol, b'it, k'ajolom, ajb'it, ajtz'aq, chawaxoq, b'itol, pan",alom,1
B,6,"k'oy, b'atz', qatz, chowen, pom, xib'an, kati't, su', qati't, wub'anik",k'oy,6
C,4,"sipakna, omuch', q'apojib', kab'raqan, k'ajolab', xtaj, kak'ix, lal, xpuch', -",sipakna,7
D,7,"q'apoj, k'at, ajal, tukur, kame, ch'amya, b'atz', walib', chowen, b'aq",q'apoj,16
E,0,"kotz'i'j, tew, chäj, kame, sik', q'oq', kichaaj, q'equma, q'equm, kichäj",kotz'i'j,18
F,5,"xpeq, ch'o, iwati't, kati't, utux, uje', ab'ixik, qakamik, xkixaj, koq'ik",xpeq,28
G,1,"amaq', tojil, ik'i, jakawitz, tulan, kitze', ajk'ixb', awilix, majukutaj, ajk'ajb'",amaq',49
H,2,"ajpop, q'alel, unim, q'amja, ajawarem, chinamit, kikab', amaq', ismachi', ajtzik'",ajpop,70
