chap_num,C,B,E,D,A,F
1,1.22918112089977e-40,5.913715260032586e-42,2.207266020289849e-50,2.785549222705233e-39,0.015400624419855534,3.8165613584092716e-52
2,0.011820966652261627,0.011882261059610105,0.00109934095802119,0.0008419840160872014,0.0005791400196805457,0.000593523195498581
3,0.011630311454473623,0.011543460857291602,0.0005270896643158972,0.0004388949461043108,0.0003739259319209553,0.0001805907612009284
4,0.008423671878231015,0.014248469844495194,0.0005581848857437554,0.0002166809246975185,0.0005384530683354296,5.204610604356079e-05
5,0.007934816702086874,0.014552120820792453,0.00023483058803571187,0.0008610480579662064,3.437470918899505e-05,0.00029667372411030835
6,0.01848041829682778,0.00451733362221902,0.0005820469166961933,0.0007761239061036883,0.000110650299644604,0.0005155647332238099
7,0.01867550786649764,0.0029517596176731457,0.0008232725569011081,0.000494648495420344,0.0006616791236499848,0.0007013667812650416
8,0.007349126091858389,0.013791995403558452,1.6564254939614461e-06,1.7077988534720484e-05,8.458184973391835e-11,0.000929865307564626
9,0.00416478175736473,0.01583014541439018,0.000964467362852065,0.0004989318840337628,0.0006080159246981043,0.00023125715094954563
10,0.01844728490618584,0.0033760748037326015,0.000785502353423214,0.00042912549376052816,6.741928622021127e-05,0.0012908189184538837
11,0.018663246220894963,0.003378409424050137,0.0006314105517385858,9.771330791196601e-08,0.0002806055836054107,0.0005587537561400015
12,0.016621099061428272,0.0026110856285442153,0.0002788276242309445,0.00048772508863229887,0.00047653945149538145,0.0007169890393479022
13,0.016868604510617065,0.0037141263272882255,1.7324236855306087e-06,0.00233953632202436,1.3601723505559562e-12,0.0009042012826405445
14,0.018437792634993403,0.0025289846639355166,0.00032786198536790536,0.00030182669337304967,3.1311723947725717e-10,0.001912724181924931
15,0.019401251908973263,1.3631501750844672e-08,0.00013794910174255343,9.031975152125893e-05,0.00018144092589233293,9.165701934005211e-09
16,0.01393217658019962,0.005787601959077491,0.000951952465466255,0.002068602621411633,0.0005639702342444007,0.0005544652632166279
17,0.018525711065268926,0.0021987875763614813,0.0025984589358896185,0.0008164175262104722,0.0005339405904781188,0.0005512189452164179
18,0.01793588434352704,0.0010525196597188273,0.0012774569784299319,0.00148186006743808,0.0001811010315121223,0.001467255544168965
19,0.018069861952498587,0.000612503521430752,0.00172794286506183,7.36045133493879e-06,0.00019343442159166596,0.0005429190201313136
20,0.019291645775374122,1.332279448366255e-05,0.0019756040284295384,2.274837407748386e-07,0.0001625831471961407,0.0019258615082928534
21,0.018418791666886963,3.3476679641984293e-06,0.0004869539186540092,0.0011711311240171951,1.4806734914666351e-05,0.0003487229594959139
22,0.011193672084994668,0.008569827049139226,0.0008834253123453815,0.002765331823397018,0.0006239380239980182,0.0005844659131030008
23,0.01570499634428991,5.3866478909227586e-08,0.0012978838190868763,0.0040985010271715906,0.0001566151642282751,0.0008459195656351763
24,0.0035452517254302932,0.01758424886596104,0.0005699602987689317,0.0008448764087149645,0.00024445060178933696,0.0001364020748546579
25,0.017095883765752273,0.0013881684633288392,2.82164246362049e-05,0.002609376972046066,0.00048002163289961186,0.001697638882996266
26,0.017161454774399596,0.0011418338905748583,9.30573783088477e-05,0.0010488249247301643,0.0011233830615448239,1.0935140775687524e-05
27,0.018173161091425256,0.0019946859236150342,0.0017557832309510774,0.0004503636389975807,0.000935203285240977,8.276370198210953e-05
28,0.02021085663029095,0.0020668458155399293,0.00019063875927322806,7.369126957762852e-12,0.0005172257542570283,7.100348021683292e-06
29,0.016433747350850774,0.005259197406863098,0.000469561193068413,6.665575653709754e-10,6.594594499022736e-10,2.7553344690086576e-11
30,0.017395484948127166,0.0027601943436544965,0.0006625483625599683,5.911487588851758e-06,8.417006108255226e-08,0.0009046022765714271
31,0.014503610511362557,0.004933264208656671,0.0013923385494220989,0.00136258036744844,7.49161814205035e-22,0.0005789451466259679
32,0.018123793696688543,2.0336232862199015e-22,4.088522556460574e-15,3.8758610454188003e-05,1.8765952859836235e-07,0.0019462721843856972
33,0.0030209639462024317,0.018053614446703416,0.0002843694105268126,0.0004848649831795868,2.418570942179497e-13,4.446866427040405e-05
34,0.017815482832015242,0.0011870793833922669,0.0002677062761506842,0.0015624961927495676,0.0004670913554993273,0.0007042652545546462
35,0.016175322204732993,0.00436708408377713,0.0009601149517966735,0.0018029848891460893,0.0004049943956594357,0.0008603870742594008
36,0.01543874723088548,6.697454291674049e-06,0.0009670526121957717,0.003161196188754131,0.0005140991176929943,0.0001485689706329598
37,0.0162721916046402,0.00030016244790783325,0.0003018413243925614,0.0038456023909572363,8.407230112536114e-11,9.381208748684431e-05
38,0.021050172443052816,2.101173396796403e-12,1.094709973998308e-15,0.0002550707441861065,0.0005116465415412512,0.00021324076958178942
39,0.015146039230355329,0.004542076947009454,0.0015619190589603422,0.0005410616757570353,0.00020976983635484777,0.0009027808414062561
