doc_id,d
2,0.007947581899082956
3,0.0
4,5.684341886080801e-13
5,5.684341886080801e-13
6,0.0
7,0.00021251160235757904
8,0.3276600472274006
9,0.8952158992934509
10,0.012048653562290457
11,0.16468348540124378
12,0.0006835067041591758
13,0.0006022729676756766
14,0.0662215570826683
15,0.0861435066134556
16,0.8597900294707159
17,0.024411296744570432
18,0.004215265215136932
19,0.011456829828821902
20,0.011039059848916732
21,0.016777496355144472
22,0.03792854641098953
23,0.008347939447581831
24,0.002694495370448635
25,0.0031278425033349766
26,1.1662272780821326e-06
27,1.1662272779711103e-06
28,0.0023255547558183043
29,0.0023255547558233003
30,0.0058240460409384465
31,0.0058240460409384465
32,0.00922570264933087
33,0.00922570264933087
34,0.003107820503421843
35,0.9990355375519946
36,0.6078588563520684
37,0.03385294385927995
38,0.053081661261457413
39,0.14534828425803326
40,0.4947204238456153
41,0.999999996557149
42,0.6419645527620031
43,0.34514291976102496
44,0.9263514868793306
45,0.005351884689471009
46,0.0
47,0.5641638537272098
48,0.1050661237010524
49,0.0008633136073339376
50,0.0008633136079296833
51,0.037359360427497434
52,0.0025679538325243945
53,0.028520128304568182
54,0.00027047387257794764
55,0.0002704739057413086
56,0.0021676159804594475
57,0.04906657454576846
58,0.01724521793361755
59,0.521824937229926
60,0.046086601886445755
61,0.02252422542367094
62,0.2364705974833965
63,0.030505939434769536
64,0.017743816184589534
65,0.0689515343115058
66,0.7340023592711065
67,0.9770009555845425
68,0.09843717206595282
69,0.00545038033074885
70,0.6468781798582268
71,0.0
72,0.0
73,0.0
74,0.8604668120660791
75,0.010284688252575003
76,0.24650939998297483
77,0.34916391582451156
78,0.6857390486828991
79,0.05588359689307365
80,0.7572120656515218
81,0.5075526261751578
82,0.6975252184774663
83,0.5860866036850183
84,0.5860866036850183
85,0.3311663108335039
86,0.3311663108335039
87,7.771561172376096e-16
