doc_id,n_tokens
0,223
1,165
2,319
3,145
4,244
5,239
6,401
7,472
8,247
9,254
10,776
11,740
12,493
13,647
14,36
15,610
16,366
17,872
18,390
19,559
20,523
21,782
22,399
23,879
24,277
25,504
26,312
27,1692
28,82
29,85
30,52
31,509
32,234
33,437
34,117
35,190
36,412
37,238
38,451
39,197
40,100
41,209
42,37
43,164
44,150
45,114
46,767
47,33
48,125
49,262
50,378
51,599
52,85
53,265
54,571
55,811
56,730
57,315
58,394
59,258
60,497
61,543
62,420
63,513
64,161
65,109
66,306
67,589
68,257
69,59
70,46
71,31
72,20
73,393
74,264
75,491
76,142
77,336
78,418
79,81
80,118
81,156
82,112
83,118
84,37
85,65
86,102
