topic_letter,topic_id,top_terms,gloss,ord
A,3,"b'it, k'ajolom, alom, tz'aqol, b'itol, xpiyakok, chawaxoq, q'ukumatz, xmuqane, saqil",b'it,1
B,4,"sipakna, lal, kaqix, kab'raqan, k'ajolab', jul, kab'al, o', much', qajoq",sipakna,7
C,1,"kame, ajal, samajel, cha'j, chaj, tukur, q'apoj, xib'alb'a, ch'ami'ya, xpeq",kame,16
D,5,"kati't, q'apojib', qati't, xtaj, xpuch', je', k'ul, chowen, k'at, b'atz'",kati't,24
E,0,"kitze, b'alam, amaq', ik'i, tulan, tojil, xawi, majukutaj, kixoqil, k'ajb'",kitze,49
F,2,"q'alel, pop, ajawarem, k'iq'ab', ismachi', tuja, ajaw, le', tinamit, tzik'",q'alel,70
