doc_id,cluster_label,cluster_letter
0,7,A
1,7,A
2,7,A
3,7,A
4,7,A
5,7,A
6,1,B
7,1,B
8,1,B
9,1,B
10,1,B
11,1,B
12,1,B
13,1,B
14,1,B
15,3,C
16,3,C
17,4,D
18,4,D
19,3,C
20,3,C
21,3,C
22,3,C
23,3,C
24,2,E
25,2,E
26,2,E
27,2,E
28,4,D
29,2,E
30,4,D
31,4,D
32,4,D
33,3,C
34,4,D
35,4,D
36,4,D
37,4,D
38,4,D
39,4,D
40,4,D
41,4,D
42,4,D
43,4,D
44,4,D
45,7,A
46,7,A
47,7,A
48,7,A
49,5,F
50,5,F
51,5,F
52,5,F
53,5,F
54,5,F
55,5,F
56,5,F
57,5,F
58,6,G
59,6,G
60,6,G
61,6,G
62,6,G
63,6,G
64,6,G
65,6,G
66,6,G
67,6,G
68,6,G
69,8,H
70,8,H
71,8,H
72,8,H
73,8,H
74,8,H
75,8,H
76,8,H
77,8,H
78,8,H
79,8,H
