cluster_letter,cluster_label,n,ord,gloss,top_terms
A,1,8,1,kaj,"kaj, aj, b'it, winaq, ulew, tz'aq, k'ajolom"
B,2,3,5,kaqix,"kaqix, wuqub', in, nu, wach, rumal, winaq"
C,3,4,8,sipakna,"sipakna, k'ajolab', jul, kab'raqan, much', o', tz'ikin"
D,7,2,12,ajal,"ajal, junajpu, tukur, kame, wuqub', ch'ami'ya, b'atz'"
E,8,4,14,xib'alb'a,"xib'alb'a, junajpu, jolom, kame, sotz', ja, chaj"
F,6,3,16,q'apoj,"q'apoj, ati't, xcha', kik', sel, k'at, nu"
G,4,3,19,chowen,"chowen, kati't, qati't, b'atz', mixk'ina', che', ix"
H,10,3,22,ch'o,"ch'o, wak, xpeq, kati't, q'eb'al, samajel, k'ate"
I,9,2,25,ku'lel,"ku'lel, aji, xiti'owik, q'ala, xcha', naqi, xti'"
J,5,5,27,xib'alb'a,"xib'alb'a, kame, kotz'i'j, k'ajolab', b'a, xecha', ajawab'"
K,15,9,38,b'alam,"b'alam, tojil, amaq', k'ab'awil, awilix, b'i', jaq'awitz"
L,13,2,47,q'apojib',"q'apojib', k'ul, b'alam, xpuch', xtaj, tojil, amaq'"
M,14,4,49,b'alam,"b'alam, amaq', tinamit, k'o, kitze, k'ajol, aj"
N,11,5,53,ajaw,"ajaw, nim, ja, ajawab', le', k'iche', tinamit"
O,12,3,56,aj,"aj, pop, q'alel, k'iq'ab', tinamit, ajawab', ajaw"
