doc_id,w,d
2,0.991939520987904,0.008060479012095945
3,1.0,0.0
4,0.999999999999434,5.659916979539048e-13
5,0.999999999999434,5.659916979539048e-13
6,1.0,0.0
7,0.9997869672573175,0.00021303274268247296
8,0.668652238366373,0.331347761633627
9,0.10498082972227858,0.8950191702777214
10,0.987700266109303,0.012299733890697051
11,0.8310320447694064,0.1689679552305936
12,0.9994072059933822,0.000592794006617825
13,0.9991816639902685,0.0008183360097314685
14,0.9315591542631713,0.06844084573682874
15,0.909489660488545,0.09051033951145504
16,0.1433426447628553,0.8566573552371447
17,0.9751498558616064,0.024850144138393593
18,0.996315172545737,0.0036848274542630177
19,0.9909126656091207,0.009087334390879276
20,0.9906777175195247,0.009322282480475286
21,0.9869080362264057,0.01309196377359434
22,0.9723129943455641,0.027687005654435937
23,0.9915723579964962,0.008427642003503766
24,0.997232247434387,0.002767752565613013
25,0.9968998767948605,0.0031001232051395267
26,0.9999998886517044,1.113482955839018e-07
27,0.9999998886517045,1.113482954728795e-07
28,0.9976410929877877,0.002358907012212308
29,0.9976410929877791,0.0023589070122208566
30,0.9941166296077089,0.005883370392291143
31,0.9941166296077089,0.005883370392291143
32,0.9911967275677694,0.008803272432230558
33,0.9911967275677694,0.008803272432230558
34,0.9963926546088797,0.003607345391120287
35,0.0014160523746878542,0.9985839476253121
36,0.39205857204665684,0.6079414279533432
37,0.9588902018985791,0.0411097981014209
38,0.9392819562704761,0.06071804372952394
39,0.8636053101528165,0.1363946898471835
40,0.48708053203795965,0.5129194679620404
41,7.870828274536789e-10,0.9999999992129172
42,0.3605154863335278,0.6394845136664722
43,0.6747133447674023,0.3252866552325977
44,0.07122471581889378,0.9287752841811062
45,0.9946654705780242,0.005334529421975764
46,1.0,0.0
47,0.43677263112386233,0.5632273688761377
48,0.8943983373890761,0.10560166261092385
49,0.9991288311698613,0.0008711688301387133
50,0.9991288311694545,0.000871168830545499
51,0.9628502280398451,0.0371497719601549
52,0.997269952851138,0.002730047148862047
53,0.9730161248055572,0.026983875194442786
54,0.9996450704097967,0.0003549295902033345
55,0.9996450703863871,0.00035492961361294206
56,0.997795603566406,0.002204396433594047
57,0.9520191696197551,0.04798083038024492
58,0.9883214862004915,0.011678513799508461
59,0.44218005883317624,0.5578199411668238
60,0.9536726015711969,0.04632739842880307
61,0.9781903112750766,0.021809688724923393
62,0.7610412264144167,0.23895877358558326
63,0.9692200505827684,0.03077994941723161
64,0.9825434090854269,0.017456590914573078
65,0.9303357279003929,0.06966427209960713
66,0.267572499124271,0.732427500875729
67,0.02293442596239105,0.977065574037609
68,0.9033567924722911,0.09664320752770894
69,0.9945847268622791,0.005415273137720944
70,0.3535983399861994,0.6464016600138006
71,1.0,0.0
72,1.0,0.0
73,1.0,0.0
74,0.14189199852858905,0.858108001471411
75,0.9893764856507639,0.01062351434923614
76,0.7531949961334076,0.24680500386659243
77,0.6512491007587395,0.34875089924126046
78,0.31699697693429096,0.683003023065709
79,0.9415378311880594,0.05846216881194055
80,0.24408929427940623,0.7559107057205938
81,0.5128878115358746,0.4871121884641254
82,0.3021693758816507,0.6978306241183493
83,0.4144438212916328,0.5855561787083672
84,0.4144438212916328,0.5855561787083672
85,0.6682517212735957,0.33174827872640433
86,0.6682517212735957,0.33174827872640433
87,0.999999999999999,9.992007221626409e-16
