cluster_letter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
A,1.102852967395745,1.1097159914847174,1.1143419726808017,1.108798217013945,1.1140083526182192,1.335137923106888,1.3472204318208392,1.3543093400650288,1.3637211910182816,1.339832953168493,1.3409305207912092,1.3318396718946548,1.3719592062700132,1.35856980877753,1.3419376022746898,1.352934025714416,1.3413236314127772,1.3590753234649335,1.351331769077799,1.3542853895851756,1.3483800013295448,1.350167736266144,1.3618704810345186,1.3839903845588448,1.3459231630214548,1.3863695331723418,1.3640381585039074,1.3653563705493925,1.3434789642404321,1.3538776641643342,1.3485476055777668,1.3643372777017788,1.348038243466138,1.3496295930252973,1.113615593128922,1.091652173610216,1.2952621902098447,1.3260938409459933,1.3437251413510225,1.3437651037897005,1.3323913873944855,1.3473913799805448,1.3244134608578977,1.351842934527816,1.350169312524234,1.3464710057539928,1.3766699458506142,1.3774509960683798,1.340719650218206,1.3411683733920836,1.3451281584247288,1.3528347237226335,1.3572357530042285,1.3563948634343197,1.3680201520528907,1.3581339256829357,1.3623696155866338,1.3255888328660426,1.3578233851259693,1.3752944013919084
B,1.367387502876344,1.3434334518200857,1.359976639536824,1.3444015658027564,1.2858075830192743,1.020736340502099,1.0559575534418875,1.0510779603945537,1.0338596214957512,1.0185625732875587,1.0827368861466111,1.3093598436496803,1.341712501333715,1.342271849197047,1.3319092466971143,1.3198589966366552,1.3158068766283542,1.3288482339283854,1.3264384755002927,1.3316752113883954,1.3516258354022013,1.321263887765245,1.339566298750168,1.3550648734614408,1.336356441504887,1.3522433612439706,1.2973138097908663,1.335107520516195,1.3234491164536901,1.3447651904085527,1.3298848622133985,1.3519032834623397,1.328908830167439,1.3620852214070396,1.3688973211882136,1.3581070223890312,1.3633338000276165,1.3622385416472786,1.3652097432160264,1.3505937872475435,1.3466618072284262,1.3561536851009877,1.352829694189019,1.373712311679479,1.3689458071911973,1.3632239452791044,1.3507897700705358,1.379488651085221,1.3567928667405853,1.3696622203986937,1.3641395245957872,1.3662290809435476,1.361764154718789,1.3761965227195458,1.3792421933810324,1.367160829199439,1.364627810670129,1.3645895521766185,1.390521291422746,1.3830948476409217
C,1.362668693787322,1.3548607664539778,1.354887962200621,1.3493541978460881,1.3411719978324017,1.3295660638792912,1.3273302916576544,1.3463747160087642,1.3435638878579987,1.3197450837762297,1.336225113561037,1.2314509356766041,1.2493588373017055,1.2413081149238232,1.2290776897898747,1.2476580501476018,1.2293843026357536,1.2666852608401262,1.243191493623411,1.2462128116517202,1.2657592378125704,1.2571848994404184,1.2421722407679257,1.2832743647142848,1.2505567802248299,1.2813384985899432,1.2357131473987581,1.2612830463768052,1.234796481811113,1.254853784620261,1.2556568237616381,1.2612847601575436,1.2266789684540356,1.2813755593510219,1.3673160990014395,1.3584720757297675,1.3588404387595836,1.3568800777656786,1.3493469368014144,1.348728055854967,1.345867190585505,1.350331662572157,1.353769527207083,1.3634347893593948,1.364564675707408,1.3534032279981352,1.3521137353529202,1.3699754030184632,1.347662349527332,1.3627663953440508,1.3581212756659051,1.3547597046916497,1.3528785805103942,1.3608078912790507,1.3568238603554006,1.3580102899059743,1.365247896848635,1.3615401004303804,1.3716034900659002,1.3633270810641462
D,1.3575614249475627,1.343544325416863,1.3629209204681745,1.349993979438059,1.3393011004508293,1.3623935234147286,1.365943587918003,1.3757218669642113,1.3636960881409959,1.3533264719183662,1.3501704253840883,1.3552022996601183,1.3713828407115263,1.3564258991071292,1.3423556011090931,1.3573079169844848,1.3535684490308937,1.3707705979844063,1.3449800828837775,1.3592216801723611,1.3537011267396157,1.3505322018878176,1.3522668005016925,1.3809978494528747,1.3491780831055855,1.382832533573234,1.3560288498607342,1.3608174537633806,1.3138393444839687,1.3636133154040873,1.350778733026256,1.3582920365263422,1.3436938251492132,1.3524003078106512,1.3432795664496815,1.3076788850216576,1.191748980785538,1.0970189532422372,1.132632691354794,1.1280933234587918,1.1670113310006274,1.1175154877759905,1.1539069462738851,1.1782687378456471,1.1937147743010927,1.1370627657018972,1.2261386901433013,1.203759925240858,1.134990465044874,1.1794442450646183,1.165816113807621,1.1628837988188725,1.3230361035450393,1.3185203918794601,1.3407119407472128,1.3215581341933067,1.3388814050344497,1.3231653179602771,1.321730368125857,1.3566470836077065
E,1.3452289147327132,1.3652913742512873,1.3719921726869333,1.3681402296472813,1.3415546114169732,1.3715093436194417,1.3567717437313933,1.38593226434541,1.3850361916942342,1.3721781584312729,1.3689701996251644,1.3339289679473618,1.353501024435275,1.365700421620518,1.343197954152422,1.349229026129924,1.3526828900226873,1.3742779097701443,1.3625875931187574,1.375185343671884,1.370450551773191,1.3730923605030443,1.3598713754332856,1.395141763568909,1.3600561384581438,1.3938840008068467,1.3782224829181837,1.3689875722010172,1.352632078318239,1.3725643086158812,1.3654634345599233,1.340770623920106,1.3191298976597465,1.3488799529666677,1.358482238805135,1.3525637714614895,1.2855291142183296,1.3154860015145151,1.3560109750922806,1.3489317696333378,1.3258971399304942,1.3217269615758898,1.3424257860749864,1.3346064020937987,1.3461420377333955,1.3243523183511223,1.356863977871265,1.35681831875869,1.3282895358264648,1.3312149558220963,1.3303235561034281,1.2838826395865244,1.0732320349895146,1.081724628513102,1.028066977095376,1.0819635506973073,1.07775464475674,1.1246701693604564,1.0601595968011104,1.0522669459157548
