cluster_letter,cluster_label,n,ord,gloss,top_terms
A,1,29,0,ajaw,"ajaw, chi, ajawab', k'iche', ja, unim, nim"
B,3,27,3,ta,"ta, xa, ri, wi, chi, k'ut, kaj"
C,4,67,22,ri,"ri, jun, chi, k'ut, ta, xa, wi"
D,2,30,98,chi,"chi, b'alam, ta, wi, ri, tojil, amaq'"
