cluster_letter,cluster_label,n,ord,gloss,top_terms
A,2,7,0,kaj,"kaj, winaq, alom, tz'aqol, uk'ux, ulew, pa"
B,3,6,5,sipakna,"sipakna, kak'ix, k'ajolab', wuqub', omuch', -, xcha'"
C,1,23,11,jun,"jun, xib'alb'a, junajpu, xcha', pa, kame, k'ate"
D,5,16,36,b'alam,"b'alam, amaq', tojil, kitze', majukutaj, ub'i', aq'ab'"
E,4,8,52,ajaw,"ajaw, ajawab', ajpop, tinamit, k'iche', q'alel, ja"
