doc_id,A,B,C,D,E
0,1.3719847822211961,1.3967003346589575,1.3980909034671383,1.4113597337002748,1.4046862948898513
1,1.3731311497622263,1.4060592764747804,1.396819449111625,1.4084702410641574,1.3970125244847558
2,1.3734560132965898,1.4056498801349595,1.4051178321081648,1.4029889405686562,1.4077837466586987
3,1.3718446472139483,1.4053537750644325,1.405556249427241,1.4142135623730947,1.4055162651611055
4,1.3755161761655865,1.4054480248984575,1.4067158612743333,1.4094129485594407,1.4078709528755122
5,1.3803664584448754,1.39067285274961,1.408052149244109,1.4062185489406918,1.4074796444753856
6,1.3739103859474529,1.3850457388263486,1.4108479220485244,1.4072380833963976,1.4075318535866
7,1.4037894202387253,1.0466322737780671,1.410625855468353,1.4117850126656284,1.4121436859012666
8,1.3783220930352076,1.3931167810122211,1.3909755297007633,1.4031931975427663,1.4073395272007558
9,1.4017368438577775,0.9926583007353826,1.4072921665925335,1.410736648030605,1.4076695770957306
10,1.4077507475930058,1.010268080529282,1.3976232801834594,1.409693850167819,1.4122110948894913
11,1.4066389520752038,0.9640158332184795,1.4057989114889442,1.4005478420240074,1.412068906693402
12,1.4043177926393926,1.024693819481847,1.3937519259735591,1.4128158442673524,1.4099870581655303
13,1.3767662561081295,1.3780273225440234,1.391965960365807,1.4127290378427466,1.4101293417977245
14,1.3755101388926412,1.359534408039955,1.3863423613094126,1.4130042228919548,1.4089974630444366
15,1.372237819629564,1.409068555987663,1.402512564028133,1.4050562183310469,1.406575501372375
16,1.3751094164528788,1.4098720650578962,1.3853007473042909,1.4054867702821758,1.4089754635427694
17,1.3681616945767718,1.4098895338104596,1.4071621083075008,1.3960285233696554,1.411743993283414
18,1.3751016575229167,1.4115320836188325,1.3935320777921154,1.413346067722977,1.4089255581031246
19,1.4033586513207579,1.4060825708357083,1.045742413402564,1.3995490301014568,1.4081370753566789
20,1.4058645625644757,1.4068187159106977,1.0165077125650182,1.3958311453869203,1.4082804050610365
21,1.402263354494578,1.4010155537476463,1.0407558528281935,1.3998950596092474,1.4084854853895619
22,1.405114676505524,1.3910372887598463,1.0512369627155331,1.405570900123329,1.405417743128228
23,1.4042487535938535,1.410138010452951,1.031546156378054,1.4061063872651847,1.4093283502286855
24,1.374255879095435,1.406684546055747,1.3988857785850692,1.4027991645339084,1.4029873885573851
25,1.3769439519738145,1.4117362270666785,1.4068035507323087,1.410957983379701,1.4102369790104685
26,1.3761795682760225,1.4118107672099898,1.404898790688792,1.4067740742513966,1.4109668296339875
27,1.380510494379243,1.412405893596361,1.402828020345752,1.4094802657714496,1.407163440788807
28,1.3736066344228675,1.404719486403151,1.4035711914175883,1.4086661361125863,1.4097138161821494
29,1.3740363890521656,1.4084216821859545,1.4097248739324943,1.4081327096857088,1.4121230395010846
30,1.3765331063241244,1.404410336540343,1.4106401220619074,1.4036897965356403,1.4123002732790135
