term_str,0,1,2,3,4
a,-0.004012423206557977,-0.0017248778562249886,-0.0025649735423883013,0.0023119263808319573,-0.0031871041038082685
a',-0.0036310807760621096,-0.002187538482205739,-0.0034891940860877105,-0.0003491673603861526,0.002137184688039237
a'on,-0.000812556984716624,0.00182459085399734,-0.0008027426081269819,-0.00040825233644183463,0.0004061274376379613
ab'aj,-0.002881196133881946,0.0035203540142880784,0.0007961543145975261,-0.0036296727360689745,-0.0013931505637159933
ab'ajil,-0.00034778309764817123,0.00036035146694810824,-0.0003693320604203649,-0.00047061133322047916,0.00024283590673217543
ab'anel,0.0005433677665891988,-7.727241321486567e-05,0.002314964079823286,-0.00011348184689167501,-0.000833943383728024
ab'ix,-0.00206840981309221,-0.0025592517795047756,-0.0009632473617598657,0.0013121042069983084,-0.0020059965200849615
ab'ixik,-0.0017334710218650806,-0.001254221806987637,-0.001112987424092753,-0.0003523407299442826,6.855150537915301e-06
ab'ixom,-0.00043336775546627015,-0.00031355545174690906,-0.00027824685602318664,-8.808518248609041e-05,1.713787634478001e-06
achaq,0.00042260431077935297,4.4077015771974504e-05,-0.00011338631636441149,-0.0010914213712521635,0.00020660858886748944
achb'ilan,-0.00042748290034532875,-0.0005497295653710957,4.4950278069375124e-05,0.0005074216082820656,-0.0004639850581953645
achb'ilay,-0.0007831419218965386,-0.0011252175425969593,-0.0007928177350183962,9.827145881348274e-05,0.0006954985733280372
achij,0.003754797387047733,-0.0010358449968878006,0.0011419801974634116,-0.004698295459733555,-8.574177907730268e-05
achijab',0.0008825786618090799,7.850350860317802e-05,-0.000760017576296995,-0.0009174790885699006,-0.0001655139513507612
achijil,-0.0004192885133578992,0.0007776789336400801,0.002431229041382169,-0.0009282953523514709,0.0002903881410537103
achijilal,-0.0004728760997489759,0.0011004914797524148,-0.00038824211607223897,-0.00029800990541551135,0.00026390560004169855
achinaq,-0.00020339106913158433,-0.0002347027723423988,-0.00017763944219874187,4.3085148651694956e-05,7.855530976235121e-05
ah,-0.000930402846109816,0.002811858926015347,-0.0007745078703668165,-0.0015539316958179008,-0.0008551580411198643
aj,0.025400913205276147,0.006200337803354006,0.0048357412858538356,-0.04521143172097239,-0.008164546899386461
ajache',0.0007148426318311911,0.0003652355713472163,0.0009829613702357612,-0.0004562315797351659,0.00017159934288018237
ajal,-0.0031990261658226484,-0.00732584635940121,-0.005338570596607288,-0.00040849480124146,-0.0012754160204589652
ajam,-0.0025564087088490047,-0.0003782555240944252,0.0027562286832454367,-0.003719119249691585,-0.000560472804166393
ajaw,0.07976625733114001,-0.015937831407804012,-0.032356347606443916,-0.002529657902668985,0.004794554092350118
ajawab',0.037516342488161325,-0.007055773055702394,-0.02328221726686165,-0.0003444462311594646,0.029164418755320203
ajawal,-0.0005290499558574831,-0.0010492973927478699,-0.0007887695023504262,7.121623464843771e-07,0.001967574295790471
ajawarem,0.009101319669970352,0.004754121469843122,0.0013852324622119759,0.003214095308014,0.011418758140956902
aji,-0.002440692829579013,-0.0028164332681087905,-0.0021316733063849,0.0005170217838203338,0.0009426637171482205
ajilam,-0.00016541914501820492,0.0009661669461206336,-0.00036078384049886223,-0.0006319769776698496,0.0003248314340179
ajilan,-0.0023728867539612505,0.002000364950279037,-0.0019035402174646886,0.0030870359770591364,-0.000594225874774161
ajilatal,0.0027402235554063207,-0.0006347040123338174,-0.0012498576806256908,-0.0010176118575376991,-0.001368674389742243
ak'alab',-0.00032536727944568834,-0.00043814018641360336,-0.00014186037439930426,0.000264471309612765,-0.0004241048289123846
ak'u'wil,0.0003313869772088591,0.00021204781805264026,0.000265454312553541,-0.0012122036134262109,0.0002619591468999791
akab',-0.00044545747571105216,0.0016844102874916838,-0.0003920175099705401,-0.00011850211109972028,-0.0010016964140177676
akarok,-0.0015089999592095467,0.0038512817708522325,-0.0011933724887350178,-0.0009976882341983025,-0.0012038562030044187
aki,-0.00020339106913158433,-0.0002347027723423988,-0.00017763944219874187,4.3085148651694956e-05,7.855530976235121e-05
akul,0.0013940393054431683,0.0013927034406101273,0.001265769166044973,0.0018192969381026804,0.0026265648446577657
akutek,0.001244759504256925,0.0026602306050232116,0.0005138871344021339,0.0011419191386607649,0.0035330162745072263
al,-0.0010169463230404912,-0.0016751282384231505,0.004486412081016664,-0.002176889873433144,-0.005174482782381368
ala,-0.0006579888611929387,-0.0005921777647976212,-0.00018985117906767046,-0.00014014854175712862,-0.00019233389453913611
ala',-0.00020339106913158433,-0.0002347027723423988,-0.00017763944219874187,4.3085148651694956e-05,7.855530976235121e-05
alachinaq,0.0002792372896990925,0.00019062272430655656,-0.00042294616748034947,-0.0007240624316315372,0.0002879782177306932
alal,-0.00040445202353608207,-0.00038403384718261983,2.8532826998243074e-05,5.2151998726967944e-05,-0.0006266936572107446
alanel,0.00224412712546387,-0.00027146693272393806,-0.0002767707430814881,0.000541971545097935,-0.0009334019326184659
alaq,-0.0004307042713085044,-0.0006765009123272909,-0.0004190098954199359,0.00036795904473160693,0.00015039423176785874
alay,0.0003712568091659238,-0.00023196183924027042,0.0031716584503035158,-0.0012242800272197882,-0.0009738197016643373
alib',-0.0007306298187786019,-0.0009930720988040927,-0.00030967846370332755,0.0006086755223242844,-0.0008773853577131985
alk'u'al,-3.105250420996608e-05,-0.00026037755424292234,0.0001012403361605644,-0.0008309232655141192,-0.00016175517906419072
alom,-0.0019688694562454137,-0.000491672894990378,0.021935837015560306,-0.004415526311674566,0.00042751929055088447
alub'ik,-0.0002002498105741523,0.0007866372538613327,-0.00014718027496695771,-0.00013002601620103923,-0.0004640875744128989
ama',-0.0004917711602967047,-0.0005585495442171199,-0.00018949553243101386,0.0001382242861029542,-0.00029597757368631704
amaq',-0.012103066371962196,0.042418800819078,-0.019836205799671783,-0.018979499660107906,0.01378935699669584
amaq'el,-0.0015635676352724177,0.0015079388264000256,-4.222250955822959e-06,-0.0008857330163067756,0.0008093542837723822
amaq'il,0.0005433677665891989,-7.727241321486552e-05,0.0023149640798232874,-0.00011348184689166362,-0.0008339433837280814
ana,-0.0005827928438549586,-0.00050179276240996,-0.000417249454505893,-4.1186233592391397e-05,7.346620688784509e-05
anab',0.0008002078928078301,0.00022458544409049066,-0.0005786671064358849,-0.0008899541475547408,0.0015429357934842519
anilab'ik,-0.0003644645133398665,-1.7156889534916182e-05,0.0004174881832107555,-0.0005311041017305473,0.0004040960082103586
anim,-0.001001774680838138,-0.0012824141336332253,-0.0007425777596402073,-0.0006173905931667653,-4.246756791781368e-05
anom,-0.0001377329824268911,-0.0001761688389617829,0.001150386478502615,-0.0012241651735393501,-0.00023005095858464098
apa,-0.005751818247692431,-0.002537957405462589,-0.005108688146726375,0.002733935434638273,0.0006081836205743732
apachina,-0.0008767561821857958,-0.0003529988143730657,-0.0010466416603106808,-0.00021801255587410473,0.0010713710447036902
apachinaq,-0.0007593358493510726,-0.000405699923588045,0.0009885962568341913,-0.0008968309483434816,6.259516797078125e-05
apanoq,-0.0025561078973475107,-0.002169831607988607,0.0004655909597184936,-0.000769663023633012,0.0007694565518269709
aponoq,-0.0011560038048955173,-0.0005625427001277924,-0.0019898570408793917,8.491721054561878e-05,-0.0006514026043039795
aq,-0.0009847120775712253,-0.0014461634460839461,0.0019856192577414203,-0.0008559705214970515,-0.0013717516949882937
aq'ab',-0.0074250405924116926,0.03028858450356494,-0.006045291274835884,0.010801387157122509,-0.004792303323246448
aq'ab'a',-0.00020339106913158433,-0.0002347027723423988,-0.00017763944219874187,4.3085148651694956e-05,7.855530976235121e-05
aq'ab'al,-0.0014458703807296923,0.0005730110704538616,0.004434717762385886,-0.0024025076604455263,-0.0008558162991575089
aq'ab'il,-0.00020339106913158433,-0.0002347027723423988,-0.00017763944219874187,4.3085148651694956e-05,7.855530976235121e-05
