para_num,term_str,n
2,yiom,1
2,zac,1
2,zacqazlem,1
2,zaquil,4
2,zaquinimac,1
2,zaquiribal,1
3,are,1
3,caca,2
3,cacatzinin,1
3,cacazilanic,1
3,cah,1
3,catolona,1
3,catzinonic,1
3,chamam,1
3,lolinic,1
3,oc,2
3,pa,1
3,puch,1
3,tzihoxic,1
3,v,2
3,vae,1
4,abah,1
4,ahnaoh,1
4,alom,1
4,are,2
4,aεab,1
4,bitol,1
4,ca,1
4,cabantah,2
4,cabauil,1
4,cachamanic,1
4,cacotzobic,1
4,cah,4
4,calah,1
4,camal,1
4,camolobic,1
4,car,1
4,catzininic,1
4,cazilobic,1
4,che,1
4,chi,2
4,chicop,1
4,chiqui,1
4,chuqhaxic,1
4,cotz,1
4,cuc,1
4,cut,1
4,cute,1
4,e,6
4,etamanel,1
4,ha,2
4,hul,1
4,hun,3
4,lianic,1
4,mahabi,2
4,maui,1
4,mucutal,1
4,na,2
4,nabe,2
4,nimac,2
4,oε,1
4,pa,4
4,palo,2
4,qaholom,1
4,qo,4
4,qoheic;,1
4,qolic,2
4,qolic;,1
4,qonaipuch,1
4,qovi,1
4,qucumatz,2
4,quehe,1
4,quel,1
4,queεum,1
4,quichelah;,1
4,quila,1
4,quilalo,1
4,quim,1
4,raxon,1
4,remanic,3
4,ri,3
4,ronohel,1
4,ta,1
4,tap,1
4,tepeu,1
4,tu,1
4,tzacol,1
4,tzih,1
4,tziquin,1
4,v,2
4,vach,1
4,vae,1
4,vbi,1
4,vbinaam,1
4,vchan,1
4,vi,2
4,vinac,1
4,vinaquila,1
4,viri,1
4,vleu;,1
4,vpacah,1
4,vqux,1
4,vtuquel,3
4,xa,7
4,xax,1
4,xma,2
4,yacalic;,1
4,zactetoh,1
4,zivan,1
5,apachinac,1
5,areri,1
5,at,3
5,aεabal,2
5,bit,1
5,bizonic,1
5,caam,1
5,cabit,2
5,caculha,4
5,cah,6
5,caquiro,1
5,catzac,2
5,cha,1
5,chata,1
5,chauaxoc,1
5,che,1
5,chel,1
5,chi,6
5,chic,2
5,chihamatah,1
5,chipa,1
5,chipicaculha,1
5,chivinaquir,2
5,chobol,1
5,chupan,1
5,chuxoc,1
5,colehe,1
5,cool,1
5,cu,2
5,cumal,2
5,cumal;,1
5,cuq,2
5,curib,1
5,cut,11
5,cute,1
5,e,1
5,ha,5
5,huiub,1
5,hupacha,1
5,huracan,3
5,huyub,5
5,huzuc,2
5,libah,1
5,ma,1
5,mayui,1
5,mi,1
5,nabe,3
5,nai,1
5,naoh,1
5,naual,1
5,nimac,2
5,oxib,1
5,pa,1
5,pachahil,1
5,pu,1
5,puch,4
5,pupuheic,1
5,puz,1
5,qazlem,2
5,qha,1
5,qucumatz,4
5,quecumal,1
5,quehe,3
5,queheri,1
