cluster_letter,cluster_label,n,ord,gloss,top_terms
A,1,6,0,cah,"cah, vinac, bit, qaholom, alom, bitol, tzacol"
B,4,6,4,zipacna,"zipacna, caquix, qaholab, vvcub, omuch, ahpu, curi"
C,2,15,10,xibalba,"xibalba, came, xqha, ahpu, quic, capoh, vvcub"
D,3,3,15,ixcatit,"ixcatit, catit, batz, che, mi, catz, atit"
E,6,13,30,balam,"balam, tohil, amac, quitze, mahucutah, acab, quih"
F,5,7,43,ahau,"ahau, ahauab, ahpop, tinamit, quiche, εalel, amac"
