topic_letter,topic_id,top_terms,gloss,ord
A,3,"zipacna, bit, omuch, alom, qaholom, caquix, tap, xpiyacoc, qucumatz, cabrracan",zipacna,0
B,1,"came, batz, zamahel, ahpu, ixcatit, xpec, chouen, xbalanque, catit, tucur",came,10
C,0,"amac, tohil, capohib, quitze, hacavitz, pom, iqui, zital, vonon, ahquixb",amac,30
D,2,"ahpop, εalel, nimha, camha, chiizmachi, vnim, le, vnimha, cotuha, amac",ahpop,43
