cluster_letter,cluster_label,n,ord,gloss,top_terms
A,4,6,1,kaj,"kaj, ulew, k'ajolom, alom, tz'aqol, b'itol, winaq"
B,1,6,5,kaqix,"kaqix, sipakna, k'ajolab', wuqub', jun, xcha', jul"
C,2,24,11,jun,"jun, xib'alb'a, ajpu, kame, pa, k'a, te"
D,3,16,37,b'alam,"b'alam, tojil, amaq', k'itze', e, q'ij, majukutaj"
E,5,8,53,ajaw,"ajaw, ajawab', ajpop, puch, k'iche', unim, ja"
