topic_letter,topic_id,top_terms,gloss,ord
A,3,"alom, tzuqul, tz'aqol, pan, ajraxa, b'itol;, k'ajolom, b'itol, paxil, k'ool",alom,0
B,0,"sipakna, omuch', kab'raqan, kak'ix, xb'alanke, k'ajolab', kotz'i'j, xb'alanke:, jul, pak'alik",sipakna,7
C,5,"b'atz', chowen, k'at, tukur, ajal, kame, tze', ab'ix, walib', ch'amya",b'atz',11
D,4,"xpeq, le', mixitiyowik?, wak, q'ala, tas, don, -aji!, ku'lel:, xtiy",xpeq,15
E,2,"tojil, q'apojib', ajk'ixb', awilix, jakawitz, amaq', ajk'ajb', kitze', tulan, wonon",tojil,27
F,1,"unim, q'amja, chokoj, lolmet, ajpop, popol, unimja, ajtzik', chokojib', q'alel",unim,37
