cluster_letter,cluster_label,n,ord,gloss,top_terms
A,7,6,1,kaj,"kaj, ulew, k'ajolom, alom, tz'aqol, b'itol, winaq"
B,1,6,5,kaqix,"kaqix, sipakna, k'ajolab', wuqub', jun, xcha', jul"
C,2,6,11,jun,"jun, q'apoj, che', b'atz', chowen, ajpu, ati't"
D,3,10,12,xib'alb'a,"xib'alb'a, jun, kame, ajpu, k'a, wuqub', ajawab'"
E,4,8,20,kati't,"kati't, jun, ch'o, xcha, qati't, pa, xpeq"
F,5,8,37,b'alam,"b'alam, q'ij, ub'i', e, ri', k'itze', tojil"
G,6,8,39,b'alam,"b'alam, tojil, amaq', q'apojib', k'itze', e, awlix"
H,8,8,53,ajaw,"ajaw, ajawab', ajpop, puch, k'iche', unim, ja"
