chunk_80_id,E,G,H,A,C,F,B,D
11,5.013780518709154e-28,2.7490973256263973e-49,2.0464732573828452e-50,5.2062752889485615e-42,0.015429066915950206,1.3613990708466034e-32,5.550199481305673e-29,4.687014229578844e-30
12,5.7761284552413045e-18,5.958886152029476e-26,9.391029966190912e-49,3.6138655133813803e-37,0.017460154584029355,7.001783794382766e-35,3.889234640946602e-23,7.097045935132548e-32
13,9.690523500624205e-26,4.4267251103530424e-48,2.5277258703390882e-54,8.072568235880302e-28,0.02121318920232673,3.238486531989426e-29,1.5983597191217593e-36,1.269466956889541e-25
14,1.1226801042471148e-22,1.4346188904207721e-27,7.721363951151783e-37,1.8163818370841496e-22,0.019680655032387327,2.3724428518093684e-28,7.995807088768472e-19,3.565229005624413e-27
15,1.7134485661163834e-19,4.973169576150163e-27,1.5655361151507024e-40,0.00945670518217572,0.008782374317323559,2.2462978517516768e-33,1.4152584209827295e-07,0.0012871198781799337
16,4.445748646884839e-19,2.1828314782934418e-33,1.1136191526296426e-19,3.014966835780437e-16,5.463708818958522e-33,2.286803235987799e-33,4.5960735965320396e-23,0.019844095484201314
17,9.031909946224854e-20,5.295255062822141e-41,7.408313784118956e-37,6.14066905737899e-43,1.7208850864443312e-20,4.159030980418025e-28,2.987605424398869e-39,0.018409676585568895
18,0.021422087966317654,5.209853805704008e-47,2.960342759227352e-44,4.8185539594808124e-29,1.4525380690245438e-32,1.1931305070121713e-18,4.3214785596896147e-16,6.550682337191543e-07
19,0.018387954529153098,5.0423125236726756e-34,1.6729926361376696e-36,5.3242706895053974e-39,1.013348011484443e-41,2.1565321985518937e-40,2.8890306903237455e-40,3.8337904934654646e-36
20,0.0007630417239197475,1.1407340037042806e-32,8.704206692381026e-27,1.8714576546170216e-33,6.391285670279366e-24,1.0496414624830169e-28,3.389377783814714e-27,0.016969580527342355
21,2.898323572766161e-20,6.813720186466112e-38,4.455109743697578e-27,9.180835958609144e-28,8.965453421577055e-24,8.815032094782166e-28,3.829572035838902e-23,0.018670631570760706
22,4.802971144094568e-19,1.893898130971229e-43,3.299005343051809e-31,1.4159287500487915e-33,4.867308221935694e-20,1.438877270860015e-24,1.0098553795853985e-21,0.01995288374828574
23,1.5844171602931127e-20,8.292202204594801e-46,1.1657486268029418e-40,1.5283418048117347e-44,2.492776922110369e-18,7.775624898934937e-35,1.1320810534526378e-14,0.019274279736987976
24,4.404581904104772e-22,2.5423181193064357e-34,1.5773002956856183e-30,3.553652870030798e-31,5.9210937337132565e-19,5.713207561320183e-25,3.711006687991524e-24,0.016551085001837527
25,1.323746314031778e-16,3.6562279058573384e-45,4.720574536128908e-49,8.578282491239666e-46,2.3078825464572475e-37,5.027940533895262e-33,0.019959914987977147,3.792693561788687e-23
26,6.60241388138918e-26,4.042841676601804e-50,1.2328637906391685e-65,2.1221008976406345e-49,1.3426172286207024e-31,1.3129501937855258e-28,0.02266836085772819,1.1848102482837718e-39
27,3.370901960943299e-29,7.216611611289561e-56,2.365460753848268e-55,3.8811949212926794e-44,1.7099467572270655e-41,1.1527495303034941e-29,0.020800794070851076,2.8832473883392664e-33
28,2.3650273550298406e-18,1.3550649502053535e-07,1.767401595954264e-39,5.3474288616907154e-33,3.6648240137572375e-35,0.013495002029270243,0.006861161934055606,2.0123509807612917e-30
29,1.326891413201002e-18,4.6294621532672474e-27,1.0643945465173144e-38,6.839741864604154e-37,1.9819946280334383e-21,0.01932689119192762,9.080238752460579e-14,2.073263124061013e-30
30,7.500822994552357e-19,1.060127555333664e-36,1.8471626995589176e-43,2.6919204711033946e-35,3.181280129557651e-23,0.010600260123193395,0.011307762901845807,1.4464852603091945e-13
31,7.323423933147993e-11,2.2486619752494065e-48,1.4385994682723196e-47,4.7649061641376205e-43,1.0029207022840191e-27,0.020956625213660672,1.3253725195858657e-22,4.071604611509406e-16
32,3.444217803587489e-19,9.396204542567136e-38,9.23607934580857e-49,6.906964154729491e-42,0.0007807459002578326,0.013591789255667355,3.871539509529244e-25,1.3236113402175127e-13
33,2.2174149733814477e-17,1.0095217280879957e-43,1.3753301441195475e-39,3.105593306651944e-32,2.0811819711559787e-28,0.02139327798989788,2.5508568174466045e-25,4.4504637300441805e-24
34,1.3858304924892257e-11,7.783071725551444e-52,2.9474417603715684e-51,1.0271791191961056e-38,1.070961101669424e-34,2.9721985287826577e-40,1.7455502790510048e-33,0.011412033900335024
35,0.022223470150633546,7.77967006952133e-37,7.47302966652661e-45,1.2935926200001959e-43,5.300473712794201e-17,1.318454189401837e-29,6.340181782342219e-34,2.0129831938535404e-16
36,0.01691348094668418,1.980877814866205e-49,1.2916153350340206e-51,5.105860773197595e-47,6.415825555106999e-09,5.223206237758343e-18,4.776068479090712e-29,3.8704728664175865e-23
37,0.017349309863782747,1.49155656487529e-38,4.748632640423992e-43,3.303691478481145e-46,1.0931126110291665e-15,1.503152269067353e-21,1.0202733903988282e-26,2.5166642277736335e-23
38,0.019914809713269626,6.903183958373499e-31,4.200147465608169e-43,1.1302782351239185e-43,4.984823564943725e-32,1.5928202742288102e-29,2.478105576083879e-25,4.774309723987293e-30
39,0.02193763056259733,3.782525560939532e-27,9.962704283774187e-41,8.189784518033664e-17,4.452413683538045e-28,1.33178782740883e-27,1.0397676020585049e-29,1.064960494839485e-24
40,0.018203907695693876,6.296667043137656e-38,1.0515793449820156e-32,3.968115655356116e-37,2.692315968423945e-24,5.007658024089957e-24,1.0625919431879493e-26,4.149931614937207e-17
41,1.966737845030744e-09,2.767005163257943e-35,4.0873946978938534e-33,6.604031860882612e-28,1.1325316381187345e-19,0.0217157067614297,5.808535013511592e-30,8.731651139493858e-26
42,4.847164630702724e-13,1.450192503889586e-38,2.602403376260822e-37,1.2941696853908514e-40,2.7294402975808313e-20,0.022211576618688767,3.617654241140707e-32,3.2258158510405144e-27
43,2.6252843748363345e-13,1.2526209219279502e-42,6.591425839663242e-20,1.9060385543791295e-39,4.818025939893611e-31,0.01987527991350981,2.1829459263519606e-29,1.2784315998017866e-22
44,0.02038275577217867,5.485698098576749e-31,5.201996940854911e-17,6.666594793103405e-31,1.692862190449077e-24,1.2997307164433334e-18,3.279368629381527e-26,6.3017429971578265e-24
45,5.293979451366722e-29,5.86806532042701e-22,6.944277350206364e-11,8.496218306194207e-13,5.998750467718746e-37,0.01876735884342315,3.202623886539488e-20,8.43929026654514e-27
46,0.0006754424389155628,1.9383843569292867e-28,1.1269344725997795e-36,0.020045134385861692,5.386943082502859e-15,1.1119034065636368e-14,1.2815312118463193e-16,1.1509398530918611e-25
47,1.1886911642970785e-38,2.4561695307823736e-13,3.7048088990836347e-25,0.019749432197497814,1.9737255452817168e-38,7.759174301409149e-42,6.882336164244852e-43,4.679276370447698e-35
48,1.1414009256816406e-29,1.9811633904253048e-12,8.744970140406478e-35,0.02085508803908842,1.8151280083106726e-34,5.763437107639616e-34,2.8216182868262715e-38,2.4184325985721776e-37
49,4.474306158639341e-25,0.012813187378337613,0.006230740774178922,2.0437631599944418e-05,1.1666465876567065e-39,1.9014767359679382e-36,3.251970153263368e-18,1.2485417502502583e-29
50,5.540004055473566e-26,0.008967024907206782,1.0256068787551494e-27,0.011072899672841864,6.673320857997981e-34,1.15398148173993e-43,4.747632709511287e-28,1.7469459004668792e-34
51,6.025882297154999e-10,0.02069932680274033,6.260555739076537e-13,3.127405225527633e-18,5.0259554966077326e-05,1.5592879425086492e-14,5.568086564120476e-28,7.234311673959071e-09
52,0.0051270760828529,0.012806334907290634,2.3806914888159923e-37,1.2441393705422956e-15,3.8066599746512827e-26,5.4424043985100185e-14,1.653303208089845e-18,8.396355738848737e-23
53,0.0020348227821241666,0.019142202446515273,3.2316486364120676e-30,1.4628210130848105e-23,8.694762257359888e-08,5.319664621160276e-14,1.7813097069886186e-23,3.755646357328995e-16
54,1.1777347411219814e-22,0.016927192841092474,5.3551876438502555e-15,5.937263118862606e-33,1.2263353105088352e-31,5.3384809177872675e-27,0.006467825239295946,4.100250495838163e-27
55,4.778622298381622e-19,0.015389567627896174,4.110759305319679e-33,2.149834345924161e-13,0.0002214289185051758,8.479116259530435e-26,0.0052849741553106415,8.866346117277064e-27
56,1.0539144685458469e-27,0.01961780543739241,5.868075571448805e-27,2.756763502307875e-38,1.7231108836156915e-43,1.8861691356637666e-32,8.314487026832075e-19,1.9096830551958943e-41
57,1.385144503223476e-36,0.004893776765952423,3.44729446054623e-27,3.1582995177175755e-23,1.6557312113079813e-37,1.6307685711920006e-35,0.01542894891328987,1.7737762939779903e-41
58,4.88541195390783e-25,0.018872090321642988,1.3738459583109806e-24,1.254679911923603e-22,6.693647335119184e-41,1.418922914379907e-42,0.001936336761442098,7.590352382506572e-48
59,1.3385230759448755e-38,0.021264926547241225,1.6686643578908415e-31,5.894775512583471e-28,4.1966782005640757e-32,5.218895417223127e-26,2.9487215076424048e-24,8.310648619294197e-29
60,5.242035290167146e-35,0.015592575433493787,3.016475960848121e-36,3.945598290837968e-23,2.9353727393442527e-36,0.0026978282070696394,7.376728657369477e-25,1.8850640079696682e-31
61,6.485924240660058e-14,0.015614140121350244,5.617981460081001e-25,2.17332563157267e-25,7.709185474460904e-24,0.004253331743093802,2.945364337953456e-37,4.060793403290376e-17
62,8.176205917231621e-22,0.010439126486657083,3.0514001401813755e-25,1.1753895519878466e-31,0.0012929056680459395,7.603319005750939e-10,2.934394633971923e-27,0.010510158394899926
63,2.759914699515997e-17,0.005784589425746598,5.211626109693243e-28,6.213957872392378e-39,0.011550862045660089,4.078153312491404e-14,1.0088600981423589e-22,0.0002480205663609301
64,1.0302426243858748e-15,0.0017666894711576128,5.800681429997548e-20,3.0107577904937186e-34,0.014885563782709383,7.734421685584824e-27,2.2305577049686053e-28,3.544273887415077e-26
65,5.259599489760809e-15,0.019307236135550417,8.620966397238879e-20,3.21165510102442e-30,1.2847606279283377e-20,5.766212048525841e-29,3.08031436502824e-32,5.777759811579972e-25
66,2.497809705557931e-18,0.018629217499018844,5.329395612957941e-26,3.6525969971631183e-22,2.389325216744284e-29,7.501229343374525e-34,6.264623084628275e-24,2.175037529842461e-28
67,9.24338157279685e-11,0.02124249994553966,7.8183486960192e-23,9.685907841278212e-20,2.3977595294129563e-11,1.0609295356202403e-12,6.4327611732282494e-12,4.517063413178948e-35
68,3.6913726232272988e-31,0.020784376027588432,1.9508185776283345e-06,1.2917443541584814e-20,2.3223323130412877e-25,5.71047100498758e-27,1.1144475860045626e-31,2.0841937207481773e-19
69,1.0451475371123176e-29,0.018335778083503958,0.0028080300642962237,9.767099694955015e-30,4.381256336619785e-41,1.3101175796282569e-36,1.0307918269450844e-23,2.0013625316639522e-23
70,1.1912734322863379e-24,0.0029969842892930776,0.016592950137490445,4.9642469802578614e-33,4.0879370531612155e-35,2.456409604651032e-23,9.290372909335069e-18,6.866287015326972e-48
71,4.662811829485378e-37,9.104031372548961e-31,0.018019529419267898,7.341706441798318e-34,8.029941484825951e-25,8.386991725215621e-42,1.5656995395116682e-35,6.938030616821118e-40
72,3.4348924871381056e-24,1.213173249541924e-24,0.019343550338954466,2.737323366834216e-32,2.512798621008652e-41,9.803000435767279e-32,3.2404324777565395e-19,1.2113579428740131e-33
73,2.681312977111663e-47,1.1492762034400044e-35,0.016357603112449784,1.6564545382153015e-55,2.042896477350216e-45,2.3017521160206222e-36,1.0089414011264866e-42,3.3507674756866933e-43
74,7.613340381655209e-10,9.166625261244833e-21,0.018121129685172366,1.1446203180683236e-37,5.194115105549356e-28,1.3486276680312047e-24,1.3368378889941319e-39,4.026530126090695e-18
75,2.664618082459818e-11,3.786589376194681e-18,0.019499896616817676,4.141950377942462e-24,4.514672215832738e-12,3.3909820617772676e-11,1.7433021882082868e-13,0.0002590272219200127
76,3.6690755959806654e-31,9.668305886935907e-19,0.01707084745820217,1.0265990638463223e-36,3.4926479436648166e-29,4.838536847403709e-38,3.032761599395376e-35,3.770433131569176e-34
77,1.5796054885375354e-36,1.81710649144264e-15,0.021283006212622,3.0835141840675046e-23,7.660778649406596e-36,4.299871793830783e-33,2.126539448258392e-22,8.471959299882304e-28
78,7.070825435608652e-36,8.222291518476394e-24,0.021031585119390333,2.0312620986753085e-16,3.179776831536496e-38,4.020533385807874e-38,1.0650922754480353e-41,1.452066648129742e-33
79,2.006005561591417e-40,0.0006614859578011724,0.016084497579965263,2.948219396320281e-25,4.5767444812411585e-43,3.05446917397783e-59,7.579543779560286e-43,2.472926196033576e-36
80,2.2165878453525628e-37,8.21205980537172e-29,0.012843209900075012,1.2386865656641014e-44,4.7437483297973e-40,1.2198161726716875e-50,3.453887613600898e-52,1.1727383664081103e-34
