chunk_80_id,E,G,H,A,C,F,B,D
1,7.422339273778324e-45,3.797934720241429e-35,6.992318860902655e-20,0.019344608373480364,1.2031904303920866e-38,1.523894419280946e-45,3.1279265310311378e-46,1.1846983665427408e-32
2,2.286350266651188e-24,3.297745213120116e-30,6.813740095982517e-31,0.020678992872511823,7.285641789219182e-42,1.5527717229484027e-28,1.1463162763447267e-34,1.2236708308174051e-35
3,9.049973179828405e-19,1.2161401550392945e-21,1.0424882841113475e-34,0.016619262336079847,7.3554136457319415e-28,0.002542069799948372,2.135344943457809e-25,2.641710269963498e-38
4,5.607436290412322e-26,1.4428571622017855e-51,1.723239135110815e-47,0.019736771258443815,5.286336019073413e-41,2.1544502384016697e-45,1.845671076881738e-26,5.9194254677465035e-24
5,8.716367942093463e-18,2.084238822567024e-28,1.479355531096971e-39,0.019897189176945735,9.906176649354441e-18,1.7975068042306128e-23,1.957195278599765e-14,1.6998895144271014e-15
6,2.248983823864324e-21,1.7693440105263462e-36,1.6124245015171576e-28,0.0009240743310210338,5.035866519611822e-14,8.216929255243346e-37,0.02023572226105121,3.7751839376462e-22
7,1.1980476565591266e-27,1.4020176754234593e-21,2.5845789984147933e-17,0.005889686312669655,0.014417631633353528,9.497030870601262e-31,1.5804657645932463e-23,4.5177669864106544e-32
8,8.610706850750489e-25,5.6995368915779946e-36,1.3281916531994218e-33,2.1030621050135783e-21,0.017285344649871245,1.013232169466614e-30,2.6589874839968594e-27,1.7070501398281257e-25
9,9.153655276506871e-21,8.1885202696456e-47,1.881073584679064e-33,5.405691021006717e-34,0.018156598490946987,9.309911319320733e-29,3.3705025989553113e-21,8.697885149255964e-15
10,4.920692674913132e-24,3.1613633780616085e-44,1.767450387542712e-41,3.9925122411445733e-28,0.020207789019414245,3.0832381432034287e-27,1.8960988901524024e-32,1.0752059406706301e-30
