doc_id,B,F,E,A,D,C
0,5.871960793553279e-47,8.657841132430623e-17,1.0030656568681971e-38,0.011556403258657484,6.000410314356728e-41,2.642987351641299e-38
1,5.88507164165804e-23,2.4379284391739214e-24,1.0316015880215559e-24,0.012574472184312407,3.8728643688771935e-36,2.069667000473077e-25
2,1.1318442362896595e-16,1.0373381254196242e-36,1.109080394085992e-18,0.01596317858485445,2.0078523848343634e-26,4.039485055173729e-28
3,4.126572480224882e-29,5.6687858540366405e-39,1.3407551654273642e-40,0.011722723478326503,4.701343286365122e-45,1.0552624633770846e-30
4,1.9544165425923658e-22,2.459651810682567e-37,1.4712606588332645e-35,0.014998965678453114,5.52066545910497e-37,4.037762703098597e-28
5,3.869586446662388e-16,4.460991018415432e-40,5.6784463682061474e-27,0.015633248131206205,2.7064853382881416e-17,8.851966545717675e-31
6,2.3518797302101177e-16,5.419052822982839e-29,4.096279014335632e-31,0.010697122120529232,4.097392071892845e-33,2.0623767981110113e-20
7,0.014815423856806516,2.0016008849873024e-16,2.6328629069784356e-25,1.1921843240292763e-13,8.118688284072939e-24,8.248640607583917e-19
8,0.013402891712128702,2.438183463817804e-43,1.475554800962956e-33,1.7872860843891715e-33,1.4729001543433498e-35,8.017632829402053e-32
9,0.013550771087973399,1.4554690772336196e-45,6.916633974598914e-35,1.430973620326743e-35,4.861325584469542e-35,2.2163425701279442e-33
10,0.014234824713873835,4.892705968458812e-33,8.96667377120273e-26,6.2649388084865314e-21,4.81241778237837e-31,5.434989933483828e-26
11,1.4791522010252933e-23,9.402641799807933e-15,1.1886495209908563e-27,3.694284319415852e-19,4.3012059416154473e-29,0.013835383425327958
12,2.16658623901066e-21,1.3584188130981302e-28,7.1196896607829545e-37,5.427718143201122e-40,1.2196013925193203e-23,0.012199803274571472
13,9.022412349752855e-30,2.753690581983339e-47,3.316621565108675e-37,7.798127106684538e-39,7.192751462339467e-40,0.011905128413589785
14,1.3499186468634761e-21,6.929463010288521e-25,4.7428758877078475e-24,1.195512436920586e-32,2.3645471574746707e-25,0.014013612326492763
15,5.139416214714425e-07,1.5469375235663527e-18,9.728646628681598e-24,1.9404363995652884e-19,0.017547064264769232,4.969696426933264e-12
16,1.5369422346499832e-10,1.6894209799903908e-22,6.482165118426188e-30,7.707170416103972e-25,7.420867120671705e-21,0.01292378819167058
17,9.413135087577089e-14,2.908457366598861e-37,1.613704421534751e-23,6.897716497715404e-33,5.264340317382652e-29,0.012789387350164052
18,0.019342633112836738,1.1895054789003594e-29,2.210071404881995e-20,3.865714091773483e-24,4.2537550170892627e-20,1.1469885302888728e-13
19,7.064298707126083e-22,1.0336414776308765e-31,1.0132312715255813e-33,1.0833424080295867e-46,0.01159069604935007,1.4231906280079651e-21
20,5.3604833262371214e-11,6.8063359255041635e-37,7.662375790848757e-27,2.344877965880095e-29,0.014979339928409894,2.6817428445752263e-18
21,1.7866640240553387e-16,8.996487124804639e-37,9.33645634896293e-29,5.617076952260205e-26,0.010752434219835525,1.51585127468577e-05
22,0.018792301322923147,4.0971357912079215e-21,1.5345429276557725e-18,6.211404148391639e-26,2.3627217582235918e-17,3.4799760669674476e-08
23,0.01890265149192229,2.2041054621164707e-15,6.520078169043709e-23,2.9388139606711932e-30,6.171956539702525e-22,2.180224076846047e-17
24,1.6872380572658514e-10,6.242830791355888e-18,4.07785531029297e-19,2.7361770660280126e-17,3.244462584564536e-23,0.018312880159390643
25,5.573754716807881e-30,1.7798666963923446e-20,1.0282894141933907e-24,0.010825622233521843,1.5175321538231827e-41,1.377005613336044e-30
26,3.806922016832215e-23,4.4290147511576594e-17,0.00023008376343239986,0.01574250300284258,1.8862795369113388e-26,1.480505498786515e-27
27,4.204530155812839e-24,0.00014837434121091732,0.014137475020902837,0.0010289389920822148,1.04301073323669e-28,7.923767359073713e-18
28,6.648388459960947e-05,6.988972278220848e-17,0.01731312671157116,1.0041183510062276e-11,5.505791336901281e-12,2.009621538642656e-05
29,1.0707320854073041e-21,1.879363137640918e-21,0.014859821388818435,1.5817081341859389e-24,1.2478114417842045e-29,1.6813720335672043e-24
30,1.7958532827110169e-22,8.277972281988569e-28,0.01462180917451585,1.2755611052367385e-27,1.375949621578995e-25,6.902602175568105e-33
31,1.3303255646168824e-20,7.51291176102392e-30,0.010660330702782512,3.6024478342745488e-31,3.2779969030030147e-34,1.3875927637029326e-26
32,3.9266987168859644e-15,1.1189424108991656e-25,0.012720840698944628,1.392918489138603e-35,7.687380207354596e-22,1.35725405686685e-27
33,4.302935877221651e-15,3.52463689785199e-13,0.01331127041938333,7.828432030839814e-31,3.5839935149591345e-22,4.955359641755072e-25
34,2.1862544534379868e-17,2.7396424413022967e-24,0.0161077413934953,3.8158008197781717e-25,6.042765179981232e-28,7.313393782547843e-22
35,1.5928135785473588e-27,4.630665708353014e-14,0.013820416833607355,4.00078236764835e-32,5.774712383379844e-30,2.5394657853857655e-27
36,4.121666868333901e-31,0.0006345267109330341,0.012762234650882918,3.914113193943676e-36,3.449870401198272e-30,3.5269838881078304e-27
37,9.489443356981031e-15,0.020559830768903664,3.190591830296778e-11,7.468728468768174e-19,3.1069137071129554e-22,3.9608439225127234e-21
38,1.2610836502601306e-49,0.007787324050558647,1.2559288005824892e-58,2.023158866222385e-59,2.0073246723970945e-39,2.0085753317696353e-55
39,7.587316475288081e-64,0.006721733785843023,2.8676122617858787e-62,6.424438077185713e-80,2.2881034804106236e-62,4.600762427928e-78
40,1.120811751148165e-87,0.005282149071875113,2.5207450416810278e-57,9.674211985133634e-80,2.604218118102893e-75,1.4344450147889607e-74
41,8.51884618591676e-19,0.0151431738382711,5.028276022148957e-12,5.121902409766682e-22,3.9518092956182587e-17,4.8384316747064054e-23
42,1.2550386259739261e-21,0.003114344111745852,1.2836585964991812e-12,2.805106687619396e-23,0.014492305214030563,2.2082867946605158e-26
43,1.0032360354957242e-26,0.004059394996597137,0.0006468213513524425,0.013124297080532867,1.3950539477427138e-17,4.071522754758414e-24
44,1.187117703696851e-53,0.0004584249950738543,2.7288442465070557e-17,8.517428513592541e-36,0.009649954582514367,9.356866062644926e-51
