doc_id,C,B,D,A
0,2.1561329279964676e-24,2.673267290385362e-40,1.4424633914779776e-12,0.020618022715887363
1,1.1419198870729934e-11,8.074442877830617e-25,5.515041906175841e-30,0.01929477702506297
2,2.4379820911917734e-33,1.6420416218168503e-33,9.778689914444817e-37,0.019162340921684475
3,2.6640309715027317e-20,9.3650294373199e-26,8.992225654673597e-34,0.021073723345211483
4,3.0062099371980255e-24,9.578803962697348e-17,2.857071656231855e-28,0.018461287776453648
5,7.131960285837063e-18,0.0007450453801194214,1.35597214208125e-19,0.017494431998207848
6,7.207928768096174e-26,3.7603908645380486e-10,5.028558753835885e-36,0.01702051140579405
7,1.230361383657057e-13,0.0014786348314554905,1.0388250797759457e-38,0.01595830317730945
8,8.09894838428835e-18,0.00026982995705408303,6.353509703983186e-31,0.020106632100950077
9,3.482100441313224e-22,0.005718751438273899,6.14005372548637e-31,0.015119973039178437
10,2.0322919619636865e-29,0.018235245768967154,2.5385108785172258e-14,6.860565290616738e-15
11,3.3845204105233754e-26,0.020219466028438625,5.580031157793079e-36,1.3938584470922223e-27
12,0.00022954140598199912,0.018552629173101028,6.75210937583588e-20,3.311438177580401e-19
13,1.2515826042503094e-15,0.02195812218036475,2.8616127106170587e-16,2.886512769644674e-06
14,2.3195027560755744e-24,0.01789576711942701,2.664726195472483e-28,4.897448386277086e-09
15,4.60415277965357e-16,0.019426027019837044,1.1962566174062174e-24,1.1280961929760437e-15
16,3.992858916996374e-18,0.018709380450422978,3.8600607719209047e-22,5.056672266557133e-08
17,0.0054276405208946756,0.014866942914418714,1.3746119909268048e-15,5.324670357769982e-16
18,7.728441684682235e-16,0.018907321020871413,2.0537026305000747e-42,1.1853961481157548e-12
19,2.6750652023431037e-28,0.01798132157119496,3.2152975191062475e-31,1.792350455044877e-17
20,8.750558306811153e-26,0.021372803002565922,1.3046112008676447e-31,1.3946980887315265e-23
21,1.5655084301778688e-22,0.019222192604690314,1.531854229497722e-35,5.441766143997876e-30
22,3.273828297623734e-22,0.018122713290196314,1.70697325718846e-37,1.0464881745523353e-27
23,0.0004232228035235365,0.02120778617025414,9.208514615841492e-40,8.969665362345546e-31
24,9.882594455029691e-23,0.02079330033845207,7.248360108598049e-20,6.601698329172883e-13
25,3.274892575208134e-14,0.02378423873219743,1.6862020830791256e-32,1.4433221654795072e-21
26,9.83304056671483e-23,0.020843062169424817,9.796872152574102e-22,3.700954342053499e-27
27,0.003463367769908017,0.011686662665371658,2.0953148543074702e-05,0.0059006280491737916
28,2.721707835670686e-08,6.68996390129562e-14,3.301784748018009e-14,0.02157786007362164
29,0.003047649111720871,2.1412236226287696e-25,4.2872038027516617e-19,0.019166316355885938
30,0.011462190925991819,2.117802027227379e-22,0.004350336336103803,0.006835166213080971
31,0.019969944655418355,3.7768539899868244e-22,3.5385676957442976e-23,2.145484880382828e-23
32,0.019997781373185385,7.321303755036901e-08,8.319031294595863e-40,2.0516302818602907e-15
33,0.023494070745462167,3.8728680365362403e-32,2.218052749089549e-18,7.274232908286187e-19
34,0.020572941585448572,1.4520328059255485e-34,5.322461063683046e-23,5.6165363104406886e-27
35,0.021271713985743932,2.706890986652652e-35,9.02511262224431e-27,2.4902789112742227e-23
36,0.02160897774640497,9.544554047586837e-32,2.917852641140025e-19,4.068067602121402e-28
37,0.019694933561030827,6.45750233782697e-23,3.64487669327626e-24,4.3256972942301323e-23
38,0.020171303734058767,5.130343557705992e-11,1.4842609791002677e-21,1.8662898708223417e-26
39,0.018794971571017154,1.6029640513058504e-14,7.427348270592524e-11,8.832247634176264e-21
40,0.020607624041602844,1.36966317509353e-23,3.2201012602647117e-21,3.079568646047752e-26
41,0.02056494933611214,1.068412183897836e-20,1.998656582003217e-14,2.7855762289716626e-21
42,0.02239530146206934,2.2455540072357724e-27,0.0006340115414379487,5.0648498007450554e-23
43,3.383897380594235e-11,4.824476122672429e-39,0.02078773334522901,1.0655197145457925e-33
44,1.6846702389515025e-25,2.661576248979504e-33,0.01995406294774711,2.623312020597659e-38
45,1.6067661033129297e-27,7.088300809971614e-31,0.017794647482623258,1.4742124397524512e-42
46,1.4541370462556168e-19,7.344342397238029e-28,0.02025773248493832,2.817020241052236e-28
47,4.018737226375468e-18,2.146013595675075e-39,0.018920809697875823,5.931113278492814e-32
48,6.867900817557083e-15,2.4818555833075597e-38,0.02361926803599871,2.367873239889385e-22
49,1.3789012234281757e-31,4.436032279821036e-51,0.014565246552979822,1.0266360244775643e-32
