doc_id,A,B,C,D,E,F
0,0.9991655163509475,1.337789003678486,1.3535129351129906,1.362296634602517,1.3386099492015195,1.3236922917331875
1,1.0116610069201857,1.327976907975728,1.342145273331757,1.3106327444306252,1.3246890588574152,1.3485025536908648
2,1.0076005247520878,1.3210008676004408,1.3456887847214245,1.3190768140146607,1.3296801243970884,1.3378537279246292
3,1.016361230511606,1.2839860442796585,1.3243268995805189,1.3115896073351518,1.308752266206806,1.3319989272301342
4,1.2978804415641307,0.9760905487267095,1.320172882415245,1.3279492477417925,1.3427890615531708,1.358514167133162
5,1.3276659411315743,1.0322081160382488,1.3034742172339258,1.3146510244395122,1.3496773818968957,1.3344066459311261
6,1.3293033634405353,1.0109068991037822,1.3319858534309161,1.3180155838777363,1.3616754779099691,1.3724128556540602
7,1.3486737834251705,0.9777105923551522,1.3170764539088822,1.3202759913574083,1.3432640884868188,1.3716983553435291
8,1.311290710289591,0.9610211284087647,1.294930527805073,1.2883993062502157,1.3178312168057904,1.3403069579830293
9,1.3053034741676446,1.038697632674957,1.2849835349648648,1.2462651603990105,1.3321156982523112,1.3474613178518406
10,1.3585973964240488,1.3264501839605296,1.188580943479438,1.353135953041534,1.3664041669235618,1.3352242689734442
11,1.3439729513118117,1.3143023045150073,1.1543307791093627,1.3182210614688872,1.3456489212011684,1.344866179805532
12,1.324321625202958,1.3013026032730612,1.1603604147929936,1.3033006064000643,1.3341718161222162,1.3432577587553032
13,1.3243980469853642,1.3022804024273762,1.170319645990586,1.3176586883087695,1.3312973554440224,1.326469005210656
14,1.3286308227688695,1.2977658690222842,1.210477873535973,1.229817488958317,1.3506397368168648,1.3674706878024243
15,1.3448317733907411,1.278670121458361,1.3075756582394986,0.7746975012671973,1.3379273084547485,1.356017856017417
16,1.326934944703347,1.3129559693540678,1.3023270495538442,0.7322924014085812,1.3453742109525437,1.365066572316113
17,1.3190871662107684,1.316152066220409,1.3114604994087522,0.7876044214090121,1.3103386802172692,1.346304305679242
18,1.3437643841655467,1.3262384954417505,1.2222873560318954,1.2801239640097626,1.355864619226367,1.3786929060267215
19,1.36779498315559,1.3271087440933496,1.194090925406222,1.3374153615062572,1.3631423790992345,1.3667058646655708
20,1.3483902701329387,1.315164928996489,1.1593914915099421,1.3111181628903392,1.349078984278625,1.3667272563087323
21,1.355909842091876,1.31323982071956,1.1574467658414165,1.3369799850068806,1.3483395487314822,1.355252290397221
22,1.355264191535458,1.2789614029106664,1.1797005842001875,1.3213876029055658,1.3544294770813274,1.3643977562556138
23,1.3378169905031925,1.3043067793410545,1.1589244903467533,1.2919467915549614,1.3090788047621775,1.3547628235577094
24,1.3244668649402955,1.3017047325669127,1.1621136608303608,1.2782035819489774,1.337418120884828,1.3524226928231842
25,1.3266549729708226,1.2937469301253126,1.153315637247825,1.3107107727371268,1.3189936869183538,1.3336504133526266
26,1.334039417121309,1.3110669000562376,1.1621976024665692,1.313207218436366,1.3324913696704963,1.289959428688839
27,1.2823596570026456,1.3179185769476758,1.1918603548735645,1.3035887968366644,1.3149788451415316,1.2981135599192748
28,1.0111880215402211,1.3195897006008541,1.3218618654918175,1.3415569804437613,1.3089653526366054,1.3249366994878695
29,0.9902670086146318,1.329775189883479,1.3350172082865828,1.3365549877829974,1.2495649986027582,1.3043561358462805
30,1.218492643791548,1.3268964323804338,1.3366921672742502,1.3310967637207443,1.0854532573218616,1.2615915514013338
31,1.322323566945357,1.352399605111387,1.3420282317001573,1.3421419275486504,1.02513601475105,1.2973967401140656
32,1.3204814977823458,1.3501509700857495,1.3270717979798698,1.337887336432373,1.0294525694760406,1.3250790907313608
33,1.281294627173467,1.321746597244615,1.3266051488844328,1.3109169686429336,1.0569971832610234,1.2684332401859073
34,1.3184475081022191,1.35164177866222,1.3521644812768516,1.3318071838546317,1.031114334265962,1.2898712711379974
35,1.2954462005356868,1.336222373644656,1.3466190393055189,1.308324783405603,1.086050598593786,1.2996148087315793
36,1.3166221739980557,1.3407260592987582,1.3438829755691784,1.3127032044033278,1.1054070883986429,1.2959365769304971
37,1.339641709021781,1.3527734889630265,1.3554507915414753,1.3406142981861626,1.065738178302299,1.3011969323089645
38,1.3475289845942562,1.3393174646133887,1.3353451474874403,1.3494963620033031,1.11238089547443,1.3060494749059208
39,1.3505999203485477,1.347979317368097,1.3441977732691714,1.3525735683715074,1.101253067130366,1.303497115439163
40,1.304615137004494,1.3406667956565472,1.3356448103911533,1.3311236739359407,1.0502648560259964,1.2833564379005433
41,1.315139778759794,1.3417335163062543,1.348085210724713,1.3293334893647228,1.0431921036849556,1.266033027894366
42,1.299933376730532,1.3336769379589386,1.3365932125910769,1.3277546385031993,1.1223017203403336,1.2701660330593174
43,1.3351148381064109,1.354011614050382,1.3549734877079742,1.3308888315590728,1.248267595847654,1.0040446398798262
44,1.339117157060315,1.358480623470227,1.344458357066728,1.342861076943586,1.2957672975856436,0.9910198582154948
45,1.3486721329252305,1.3576506206827512,1.3303748094632304,1.3713372610380024,1.312074989120325,0.9511047309099648
46,1.3112769557847346,1.339216860308146,1.3361451126944623,1.3467621824484228,1.2776225576657394,0.9988499890364935
47,1.3149292880917118,1.3515977622128528,1.3502478047492885,1.3545520419974768,1.2950028971150116,0.9848874422806124
48,1.293727935998214,1.3475021128632634,1.3411830066541504,1.3593228086027418,1.2540929240058187,1.0140431852622518
49,1.3570587505985092,1.3704740896252492,1.3590047715174975,1.3848495101071652,1.3462145159818937,0.9910428794479612
