cluster_letter,cluster_label,n,ord,gloss,top_terms
A,4,19,0,xa,"xa, ta, ki, ri, wi, kaj, b'it"
B,2,26,8,ri,"ri, ta, ki, k'u, xa, wi, jun"
C,3,18,42,b'alam,"b'alam, ki, ta, ri, tojil, amaq', wi"
D,6,15,52,ta,"ta, ki, ajawab', tinamit, wi, k'iche', pop"
E,1,6,69,ajaw,"ajaw, ja, nim, k'am, ajawab', aj, lolmet"
F,5,3,80,le',"le', k'o, ajaw, tepepul, don, tas, tuja"
