doc_id,A,B,C,D,E,F
0,1.088127242435632,1.3134942774525982,1.3245159561505317,1.3214428726343455,1.3172055200548427,1.292325713189925
1,1.0707912712515981,1.3133812989818443,1.3375705243836518,1.330332895117716,1.3179027803201975,1.3093041470982618
2,1.1035397744726603,1.3046159050984216,1.3199729356987624,1.272902339449277,1.3172016231842538,1.3477650090052675
3,1.058996350762634,1.3164621345007843,1.3262422984632962,1.2935627987623028,1.3141356672634663,1.3056032257544137
4,1.043278113592033,1.2936701002488926,1.313969173273711,1.2812717522450294,1.3007992595914284,1.310108640875827
5,1.1197188575275305,1.300634612614524,1.295989486403615,1.2676987034062108,1.2922864042234068,1.3189108364385977
6,1.2575602221360838,1.0748298236157519,1.3092697521606749,1.3275093393823607,1.3097467678578254,1.3157022158496632
7,1.3378532263405218,1.0014041625630783,1.2982504267763302,1.3105397020303169,1.3413155771081697,1.360899012748636
8,1.329932561100135,1.0878188277317296,1.2685728957607483,1.28722540220747,1.3377169380413758,1.3203279463844684
9,1.3114002540361203,0.9908320055507611,1.2860398981401915,1.290447318434263,1.337517956539641,1.351080840021992
10,1.3313563168904572,1.0996553756806344,1.316985067217554,1.305055117344436,1.349468454418691,1.3695864481027609
11,1.349037182175658,1.0531160943172682,1.3176272063900023,1.3225822574425619,1.3452214028928133,1.3648354271294207
12,1.3201153284743954,1.018121874410541,1.26863678317302,1.2784520612359542,1.3270950488436888,1.347693391799986
13,1.2664430281387602,1.0672588800544993,1.271165577620485,1.2476564491274906,1.2846686673677838,1.3075987759981234
14,1.2796543886369047,1.0631594209731765,1.2764514849762205,1.2340542202579032,1.3152950879420635,1.3283843477088237
15,1.2978864267789423,1.320232696206964,1.1938005030995182,1.2768990092505503,1.3250239568294429,1.282671057344043
16,1.3566549224104625,1.3071934379670216,1.1968835753753562,1.301678968321133,1.3537126001922333,1.3337473859960178
17,1.3274881345493617,1.2957157927683052,1.1701668491575177,1.2597593601552781,1.3194155703200625,1.3301618168849814
18,1.336610055084832,1.3541998600598113,1.2199683455114358,1.3209805957160201,1.3328534227718223,1.3138376696451646
19,1.3238199536698125,1.2701243713054298,1.1491501212456599,1.2613421105933598,1.3320199667326533,1.3205410234218882
20,1.307664203535911,1.2691736885456653,1.1842213596818931,1.2913705663071662,1.3229508745452379,1.298145768828922
21,1.3137143407444318,1.2853783111012005,1.1924739262875192,1.2726650400271895,1.3252442840730319,1.3344773616806327
22,1.3291862251316335,1.2559422728629448,1.1772387040086874,1.195701648004764,1.320547345527549,1.3232724960279836
23,1.3288989622585974,1.3111941110535483,1.2377189016529397,1.2741807361007236,1.3413608947650668,1.3514801419055793
24,1.3064104666938956,1.2877434884750767,1.2706551056075484,0.9199034312874617,1.3122302766689264,1.3221249232796473
25,1.2920168673059125,1.264915148921245,1.2533948793927796,0.8643799508071666,1.3031888660161488,1.3468457294114822
26,1.289162554798287,1.3137108293190876,1.2801418228412351,0.8797509702777262,1.324842026886817,1.3306612684421462
27,1.3023316712218844,1.2919073659772728,1.279091507101012,0.9056812833013288,1.3087932087587864,1.3363729955933865
28,1.3009041903644476,1.2686214967746545,1.2024063281716522,1.2152478776974616,1.287002144217497,1.3208644037520847
29,1.3151594147454162,1.2881242047866275,1.2454712460613833,0.9461130885157273,1.3145558976533964,1.328915420794164
