para_num,C,E,D,A,B
0,6.74255619092762e-51,5.655305251382255e-40,1.0042463689621255e-53,0.004179058753324572,1.295270360451178e-55
1,3.4788368932932348e-90,5.985029588038035e-12,4.957260831909859e-43,0.004405260063708238,7.143691711523755e-46
2,4.653509361079572e-57,9.393907467138896e-26,2.868881991175992e-40,0.006217803999195932,0.013592980230529971
3,2.1814150059272067e-64,5.778571786020374e-61,5.229191836650195e-76,0.005564926404157626,6.234775331910588e-20
4,8.008604742250155e-35,5.465384444313299e-49,1.2478680724700677e-41,2.5130726992552193e-22,0.01928376559581476
5,1.6197265633830482e-25,2.77716520800157e-21,9.4702714537389e-26,0.019152690838426648,8.672543594377203e-21
6,7.61792934533423e-21,3.239844113871066e-91,3.2805875278116895e-18,1.7175132497998724e-18,0.016321656901107057
7,1.6272230276799968e-06,1.2385625772524984e-41,6.279344782658093e-13,0.021012373768547844,0.0020863908126384895
8,8.865456614017028e-14,1.4516643040708375e-41,4.172075740016758e-34,0.021660584162493217,1.4569356330470908e-23
9,0.0036608023292955625,9.023540164986028e-40,3.069846312170134e-10,0.01792832130706927,2.3639846142456884e-16
10,1.0428668179592823e-12,2.2634397194580694e-37,5.037611725671802e-33,0.017219334951378316,1.361364059945882e-32
11,0.011401210093337074,8.533834154961918e-18,1.8854145970698274e-12,0.006415034927906646,0.001384497306438749
12,0.01836893451374425,3.721833050580003e-10,3.125162403776617e-19,0.0027871406943367947,9.564858118356112e-23
13,0.01895849206706098,3.51170779190182e-47,5.827351968836543e-15,3.799721275716247e-08,5.699991724238228e-29
14,0.019046607364884005,4.0409785456108585e-50,4.713285711252943e-16,1.2940868039844998e-07,7.034103034462717e-13
15,0.019033657690510956,2.642356106029645e-30,1.4975512573559722e-10,0.002197819737539678,1.6888997406376448e-10
16,1.4290443228639547e-32,5.497529919004775e-65,1.6139741808720354e-51,1.6600808370303468e-38,0.012219641195703297
17,0.014613780890035967,0.0012519391111781206,7.532803604057299e-26,0.004350567160405749,0.002121209213448582
18,0.01819004358885903,2.3254962231204577e-21,1.0409827801711839e-34,3.5600487294575544e-22,3.314440379750274e-21
19,0.021537043370746307,7.695939834425471e-16,0.00012125242607009344,7.462736240430948e-14,0.0005057809715652274
20,3.4289021458018255e-57,0.0010707869960840974,2.3832343604926225e-76,8.495542846000814e-89,0.00713379589140881
21,0.016178955012205575,1.4068806150266312e-10,6.059188094773725e-32,3.3732866429766615e-09,0.001894747509758393
22,0.021465006640428313,7.418191669065158e-19,2.75142049301346e-19,4.2884903673104705e-13,1.621033502554104e-05
23,0.015173015306863984,4.840551005858316e-41,1.4994750831352132e-25,5.451349205506242e-21,0.0029101718859784634
24,1.580200631092124e-28,6.941314024003787e-50,4.217828473277821e-82,3.555857470714116e-70,0.006176388589104522
25,0.021486824279206125,4.5100142361075726e-39,2.6415181426750804e-09,6.764327034360785e-05,7.148660690221678e-07
26,0.01757081061037922,1.1448051783562332e-55,1.617123578674807e-26,0.0004885234579781765,2.0207398433112364e-15
27,0.020959993895927002,9.179074583357703e-33,0.002391429049218187,0.0003811173167611853,1.5225153544202185e-07
28,0.018120877037433963,9.475158008117082e-37,3.9360902152647024e-34,8.422903068243515e-32,3.920126586904317e-19
29,0.018821714700977005,3.526203191877497e-56,3.4454976100551826e-29,3.9032832610345548e-28,4.7920387191142176e-14
30,0.01843697662124112,3.5254189251100594e-72,3.9286673257176466e-39,3.312261202510039e-28,2.3428240846031674e-53
31,0.025138163551314107,1.7886309114619107e-06,8.831348019007958e-08,2.0858233400684758e-14,0.0003816182961792133
32,0.01206309924417196,5.9630105933390025e-52,4.859883187078621e-40,1.1150089328073305e-58,8.54800095810805e-41
33,0.012258189238892778,8.53639421434311e-53,0.0009969025350461895,2.635142759959111e-44,4.630248206108617e-43
34,0.010696394134028595,8.77954425429116e-59,1.7375814996976852e-36,9.130948313832072e-42,7.436550638533482e-42
35,0.021003600350353133,2.4264264537860106e-33,1.8317510902589543e-12,1.6281761368042812e-14,0.0011639164984092898
36,0.01617827268713771,2.512803398866536e-47,2.668673513500902e-26,1.0588838526604936e-40,4.252929004285129e-32
37,0.023516216789633344,6.206587281704787e-39,2.588752167975372e-17,1.1417789208036342e-13,2.093494862601145e-17
38,0.014448758674325813,1.4216943800957115e-27,1.1681391042997036e-22,4.23801626385467e-18,7.30076981232305e-31
39,0.017074147074154798,3.4776311040146715e-33,3.0786428658438987e-40,7.176783164394837e-37,1.5833504138819028e-57
40,0.02022812688318134,0.0002987525772319487,9.63171392147372e-24,6.278772023736557e-23,1.2360644073764198e-30
41,0.01762852998270477,9.923279254406227e-21,1.5570496803511896e-17,7.580362411822466e-26,8.486890745513561e-39
42,0.006294393802808485,2.363205136093171e-22,1.690404553280058e-11,0.01408429918627945,0.0006109821195038241
43,0.00292084414628395,2.700670413492318e-41,2.2495176521395686e-17,0.01669389599348517,7.907595691736686e-20
44,3.285211565335155e-39,1.9867578590256867e-69,7.56252759250523e-39,0.014600961424837884,5.163468934005608e-13
45,2.9316580191763664e-137,2.129672693907768e-161,8.445721096856742e-84,1.7013195943721856e-100,0.006907562812688199
46,1.936132605383382e-33,5.056126175977967e-36,2.4197486903109488e-32,1.5061725949656785e-26,0.01988084684185111
47,1.8213151506819212e-40,2.227591098858113e-39,7.228767853860597e-13,2.6046791037764015e-60,0.011592120482577732
48,6.564126515241069e-29,7.16844183030109e-74,3.095662354773648e-23,2.51523489416858e-08,0.023343121018047582
49,6.735777583193346e-25,2.0341388616999237e-77,8.592464024502578e-51,0.016181430284973902,3.179607281219555e-43
50,6.032730639673967e-35,7.911682410181544e-82,4.084163187661932e-45,0.01659653681859222,1.0026572846557982e-29
51,1.9611593643532473e-10,0.0011098665277051276,0.010229548606776877,0.007821400341968345,0.007562840775389298
52,1.3667152683661724e-39,6.330819314013054e-81,0.00894562621127438,9.782462515507679e-77,3.680046039154378e-49
53,3.409052508364225e-36,4.241975107651303e-31,0.014347221221600143,5.102881612128932e-50,1.4127823817819124e-18
54,2.5379589056486444e-11,5.7758816018471415e-37,0.020594867003096463,6.227729351586283e-11,5.038040254230483e-32
55,0.0031621759565098203,1.3689461293292519e-46,0.014156522998494868,0.0008376213644751573,4.376584785125163e-20
56,0.0023728265367872676,6.227664070713953e-42,0.019820195455079712,4.657460620250754e-06,2.8317639669403964e-15
57,3.9181977656312054e-28,5.356630155566834e-23,0.01269664002918955,5.74563763262071e-28,9.437480322623576e-44
58,5.267017703564695e-20,4.3848256085128947e-13,0.013924500527103818,3.5606152578543375e-22,0.005678463941754675
59,7.533779543075579e-16,1.0718020341304548e-39,0.01962425587750689,6.147415856818121e-13,0.0016336161768993084
60,3.799352504509394e-113,7.599169217637005e-67,2.301291730365158e-71,2.8424520163801207e-53,0.007347593073295823
61,9.984702578914193e-14,3.0643102124086664e-17,0.02294686042179796,7.345144872142603e-09,0.0004884880311210394
62,0.0002833708363999819,2.1365518108056716e-22,0.021887579968789685,2.490983634701995e-12,1.1802220316476371e-09
63,4.849315325594975e-70,3.7149603952024068e-53,0.00682779863994231,7.130098750782195e-56,4.755234552434908e-20
64,0.0004015363481387792,7.615701762705553e-40,0.017289071199646254,6.793654709247374e-18,4.4850598961683966e-33
65,0.0018357895605454963,4.078130854698955e-37,0.01844445609024813,1.8367223610278382e-18,1.965405904088482e-33
66,0.0005763215013311312,2.241902404396165e-30,0.015135371006634712,1.9194726024776048e-25,9.118378185383557e-59
67,8.309800349292062e-06,0.0008851004153573602,0.01989759509608344,6.646125282835488e-12,7.296831789573613e-22
68,1.0779660138509748e-06,3.283718864211244e-33,0.021865364025356587,4.971678945387261e-13,2.106539406290088e-18
69,0.0009056012063024097,1.0894093348776224e-33,0.019363243266586342,1.7851692537004717e-21,1.0419692730170168e-26
70,7.957871192270007e-16,1.2022696939197332e-10,0.019481273399618058,0.0010474984910749533,8.201335009535226e-20
71,2.7195848022358077e-24,0.0010703216942968743,0.01535860780805486,5.292180004964907e-34,8.189686152967175e-11
72,6.796182653558982e-26,0.007568335034524139,0.007238788185941756,2.3680449540859978e-36,1.7453796391056474e-14
73,2.0279267305309202e-22,1.4313189136070353e-23,0.018372417349096344,1.0614060322787148e-19,7.777678386983037e-35
74,9.64390086911653e-16,0.006541400290449707,0.011364555753201125,0.005785356020170307,5.336239674255607e-31
75,1.9020240149116917e-09,0.0129199183349217,0.00637734277683429,0.0016394745576946744,1.0181778181206346e-38
76,1.2632392322411765e-103,0.013373507682097076,6.74704245529745e-41,5.373487541167656e-63,2.7130074965553006e-45
77,6.115905439659788e-45,0.010880389358957172,1.3550627426263902e-74,9.374959089244817e-51,1.395909182354303e-72
78,1.8861237344701873e-62,0.013550386779477957,8.244149233818021e-66,7.460138318800007e-71,2.9962987526795018e-58
79,1.0539971722111781e-101,0.010548856846050636,6.3751930262905685e-81,5.927763676913905e-92,7.8716433085706795e-50
80,2.356495730959442e-48,0.010096913880713494,9.959006699211558e-60,4.8900474462549735e-57,2.0905306103719958e-51
81,6.117174932362755e-05,0.006302008246165336,1.8890462301351593e-05,0.015939880299249986,2.7718246864170206e-18
82,4.982306495676829e-15,0.0011294318993036497,0.0032795789483333194,0.015621391506985393,1.716287905304783e-12
83,4.877171089821772e-12,0.0067198988868632185,0.006631756098709255,0.009784946435826265,1.678407974119413e-19
84,2.1428282813601674e-62,1.4043872893143495e-147,0.006009033215510683,3.7306172410875165e-46,2.8036199434644984e-64
85,2.3495227402425333e-14,0.015520069074536874,0.002393856626619981,4.949094145091463e-06,8.647651449532797e-13
86,2.973544951593156e-20,0.004473748392457438,0.004180755067825512,0.01240423367704531,6.092972968557762e-17
87,3.921467942818957e-28,0.0035081339271397704,0.001486495977715553,0.019943589850011278,2.6184086751841246e-53
88,6.608538858297499e-24,0.011881126483100087,0.002248677769296331,3.6984250855493944e-26,0.0013946918418229236
89,3.874891286204692e-34,0.02086455477116912,2.8230980876614997e-07,1.551086293088173e-14,2.346779972272836e-30
90,1.9043294114432687e-70,0.008462392879190863,1.4273641711301222e-71,9.35673781033537e-117,9.006067824077996e-101
91,1.1965227092380043e-69,0.012421928516861832,3.674858896065855e-12,2.9659516607595736e-52,1.693205616980305e-27
92,1.0739390791828247e-67,0.011537050685805912,6.148037018146247e-96,3.054564362656515e-55,5.893492067243299e-48
93,5.4760784985467555e-81,0.009709459934606843,5.577252897969367e-82,1.310265298128299e-74,3.968104109119552e-68
94,3.672105832672735e-117,0.0029523981059939633,4.633313916132145e-108,3.608577946139778e-102,0.0
95,7.567556588562996e-228,0.005671598682820028,0.0,0.0,0.0
96,6.259500226844274e-138,0.0,0.002065140594185573,4.481338752122161e-104,0.0
97,7.495833082780633e-57,0.010553671476156472,2.9241096213280494e-86,3.585147259405842e-89,2.7582322668242097e-69
98,1.7583147689522725e-82,0.008563108601519178,4.939224057912738e-112,4.4154425692668884e-116,2.3744569502795875e-70
99,7.044205172769084e-19,0.012425437680532767,2.2158303410735336e-24,6.668131646543582e-35,6.4239246277114e-30
100,1.3027916770123988e-64,0.0016585237955716848,1.8508037503340565e-37,3.4868082246451337e-63,0.008327951395580093
101,7.482567733421746e-59,0.01241439383425432,1.1550499250169954e-44,5.79849846428373e-42,1.3180467516255059e-33
102,8.053020679993966e-75,0.0064203124347224074,4.2449970575417033e-196,2.3770293245763725e-199,1.2490496034641935e-69
103,7.173915736349835e-105,0.006879290506760081,3.386575769257173e-167,4.584487468879473e-165,1.633709877477609e-109
104,6.82692894077184e-48,0.00676680287784184,2.611566424286698e-49,1.0074034758416634e-96,2.9621061243325962e-33
105,1.7541711153267156e-98,0.005496933135181588,7.234403284251179e-129,3.9440872665699553e-115,8.761663629614552e-121
106,1.9435375652900692e-150,0.0050468216776782615,1.5828808751899657e-133,1.0176452218522107e-74,0.0
107,4.059649451675766e-37,0.011823009754736012,1.0130459665591341e-13,1.458376093276459e-07,5.610303491705812e-27
108,3.3145547714905877e-22,0.015072710189552255,1.464500657934251e-31,3.6193310708759625e-21,2.8935775934970446e-35
