term_str,n,gloss
aq'ab'il,1,
aq'am,1,
aq'an,1,
aq'anik,1,
aq'anok,2,
aq'anoq,10,
aq'aq'?,1,
aq'aroq!,1,
aqab'al,1,
aqaj,2,
aqajaw:,1,
aqajaw?,1,
aqan,1,
aqan;,1,
aqanoq,1,
are,358,
are',3,
as,1,
astapulul,1,
at,55,
ata,1,
atan,3,
ataq'a'!,1,
ataqa,1,
ataqikil?,1,
ati't,31,
ati't:,4,
atz'yaq,2,
atziyaq,3,
awal,1,
awasinik,1,
awe,6,
awech,2,
awecha',1,
awecha'?,1,
aweta'm?,1,
awi,2,
awib',1,
awikiq'ab,1,
awila,1,
awilix,35,
awitzmal!,1,
awuk',1,
awumal,1,
awumal-,1,
awumal?,1,
b'a,104,
b'alam,182,
b'alam!,1,
b'alam-,1,
b'alam:,4,
b'alam;,3,
b'alami,3,
b'alamil,1,
b'alax,1,
b'am,1,
b'anataj,1,
b'anoj,5,
b'anol,5,
b'aq,21,
b'aq;,1,
b'aq?,1,
b'aqitila,1,
b'ate,3,
b'atena,1,
b'atz',27,
b'atz'a,1,
b'e,41,
b'e'al,1,
b'e-,2,
b'e:,2,
b'e;,3,
b'ele,1,
b'elej,3,
b'elejeb',18,
b'enam,1,
b'enaq,1,
b'eq,1,
b'i,99,
b'i!,1,
b'i',1,
b'i-,1,
b'ichoq';,2,
b'ij,1,
b'ik,1,
b'inib'al,1,
b'iq',1,
b'is,2,
b'isol,1,
b'it,10,
b'it!,3,
b'it:,1,
b'it;,1,
b'itol,13,
b'itol!,1,
b'itol:,1,
b'itol;,5,
b'ix,3,
b'ix;,1,
b'iyik,1,
b'olaj,1,
b'olol,1,
b'oqotajinaq,1,
b'us,1,
b'usaj,1,
b'utik,2,
biq'itajik,1,
castillan,2,
caxtilan,1,
ch',1,
ch'a,4,
ch'a'oj,1,
ch'ab',5,
ch'ab'al,1,
ch'ab'i,2,
ch'ab'iq'aq',1,
ch'ajom,1,
ch'ajonik,1,
ch'akajoq!,1,
ch'akatajik,1,
ch'akatajinaq,1,
ch'akb'al,2,
ch'akik,1,
ch'akimal,1,
ch'akix,1,
ch'aktik;,1,
ch'amya,12,
ch'aq'ab',1,
ch'aqa,3,
ch'aqalik,1,
ch'aqap,1,
ch'ata,2,
ch'atam,2,
ch'aw,1,
ch'awik,2,
ch'awik!,1,
ch'ayatajik,1,
ch'ayik,1,
ch'ek,1,
ch'eken,1,
ch'ikib',1,
ch'ikichoj,1,
ch'ipi,9,
ch'itik,1,
ch'o,13,
ch'ob',8,
ch'ob'il,1,
ch'ob'ol,1,
ch'oko,1,
ch'okochoj,1,
ch'okoj,1,
ch'u'j,1,
ch'u'j-,1,
ch'umil,11,
ch'umil;,1,
ch'umila,1,
ch'umilal:,1,
ch'upuwik,1,
ch'uti,25,
ch'uti'n,3,
ch'utin,1,
ch'utinij,1,
ch'utinoq,1,
ch'utiyoma,1,
cha,24,
cha',10,
cha'?,1,
cha'om,3,
chaaj,14,
chaaj-,1,
chaajel,1,
chaajik,1,
chaajik:,1,
chab',1,
chab'ij,3,
chach,1,
chachap,1,
chachi',2,
chajal,16,
chajalib',1,
chajawaxik,1,
chajin,1,
chajkar,4,
chak,1,
chak'oto,1,
chak'uxu!,1,
chakab'al,1,
chakachaxinaq,1,
chakachoj,1,
chakal,1,
chalami,1,
chalaxik,1,
chalaxoq,3,
chalaxoq:,1,
chalikib'a,1,
chamalkan,1,
chamaq'ij,1,
chamcham;,1,
chamox,1,
chanik,1,
chanim,3,
chanim-,2,
chapam,2,
chapom,1,
chaponik,1,
chaq'ab',4,
chaq'an,2,
chaq'uxik,1,
chaqa,1,
chaqab',1,
chaqan,1,
chaqi'j,3,
chaqij,2,
chati',1,
chatin,1,
chatzakonisaj,1,
chatziloj,1,
chatzub'aj,1,
chawach,2,
chawaj,2,
chawaxoq,6,
chawaxoq!,2,
chawe,1,
chawech,1,
chawecha'j,1,
chawikiq'ab',1,
chawil,1,
chawila,1,
chaya',3,
chayim,3,
che,1,
che',82,
che'-,3,
che'-ab'aj,2,
che'-xecha';,1,
che':,2,
che';,4,
che'?,4,
che'el,1,
che'k,1,
che'nel,1,
che'xik,1,
chel,7,
chela,2,
chelaj,1,
chi,1175,
chi',32,
chi'-,1,
chi'ominik,1,
chi'umar,1,
chi'umarik,1,
chib'an,2,
chib'ana',1,
chib'anan,1,
chib'anatajik,1,
chib'anik,2,
chib'ano,1,
chib'ano!,1,
chib'ano?,1,
chib'antajoq,1,
chib'aqir,1,
chib'e,8,
chib'e'ik'ama'?,1,
chib'e'iwila',1,
chib'e'ub'ana,1,
chib'ek,5,
chib'ekik'ulu,1,
chib'ekipusu,1,
chib'ekiya',1,
chib'epusu',1,
chib'eta,2,
chib'etak'ama',1,
chib'etakila,1,
chib'eya',1,
chib'eya'oq,1,
chib'ij,1,
chib'in,1,
chib'inik,2,
chib'ochij,1,
chibeya'oq,1,
chich'ak,1,
chich'akatajik,1,
chich'aw,1,
chich'awik,1,
chich'ij,1,
chichajij,1,
chichajin,1,
chichapo,1,
chichapow,1,
chichaqijik,1,
chichaqijik:,1,
chichu'-,1,
chichu';,1,
chijixtajik,1,
chijok,1,
chijureje',1,
chik,332,
chik!,7,
chik'ak'otaj,1,
chik'am,5,
chik'ama',4,
chik'amowik,1,
chik'ase,1,
chik'astaj,3,
chik'at,2,
chik'atat,1,
chik'atik,1,
chik'isik;,1,
chik'iyarik,1,
chik'olob'a,1,
chik'otox,1,
chik'ow,1,
chik'owik,1,
chik'ulwachij,1,
chik'utu,1,
chik'utun,1,
chik'utunizaj,1,
chik'uxlab'ij,1,
chik-,5,
chik:,2,
chik;,5,
chika'yik,1,
chikach'ik,1,
chikaj,1,
chikam,4,
chikamije'ik,1,
chikamik,3,
chikamik!,1,
chikanab'ij,1,
chikanaj,2,
chikanajik,1,
chikaq'aluj!,1,
chikaq'ijila',1,
chikarnik,1,
chikaw,1,
chike'ik,1,
chike'x,1,
chike;,1,
chikecha'j,1,
chikib'ano,13,
chikib'ano;,1,
chikichajij,1,
chikik'am,3,
chikik'amo,1,
chikik'at,2,
chikik'ikij,1,
chikik'olob'a,1,
chikik'ololej,1,
chikik'uj,1,
chikik'ulmaj,1,
chikik'ut,1,
chikikamisaj,1,
chikikiro,1,
chikikot,1,
chikikuch,1,
chikikuyu,1,
chikil,5,
chikilawachij,1,
chikilixtaj,1,
chikilo,4,
chikilo?,1,
chikiloo,1,
chikiluq',1,
chikimaj,2,
chikina'o;,1,
chikinab'aj,1,
chikipach,1,
chikipakab'a,1,
chikipaq'ab'a',1,
chikipaq'aba',1,
chikipis,1,
chikipus,2,
chikiq'osij,2,
chikiqumej,1,
chikirayij,1,
chikiriq,1,
chikisachix,1,
chikisik'ijoq,1,
chikisiqo,1,
chikisolwachij,1,
chikitijtob'ela,1,
chikitoq'o,1,
chikitz'onoj,1,
chikitzukuj,1,
chikiwelej,1,
chikiwub'aj;,1,
chikixulela,1,
chikiya',4,
chikiya'o,3,
chikiyuq,1,
chikoj,2,
chikojo,1,
chikokib'ej,1,
chikop,43,
chikop-,1,
chikop:,1,
chikoq'eb'ej,1,
chikoq'ib'ej,1,
chikos,1,
chikosos,1,
chikowin,1,
chikoyob'ej,1,
