para_id,C,E,F,A,B,D
0,2.6184699554448325e-17,8.929786164010988e-17,7.618862126339558e-24,0.01872623677748268,1.695063417240176e-20,3.0333849076380753e-12
1,2.6184699554448328e-17,8.929786164010988e-17,7.618862126339558e-24,0.01872623677748268,1.695063417240176e-20,3.0333849076380753e-12
2,2.6184699554448325e-17,8.929786164010988e-17,7.618862126339558e-24,0.01872623677748268,1.695063417240176e-20,3.0333849076380753e-12
3,2.6184699554448328e-17,8.929786164010988e-17,7.618862126339558e-24,0.01872623677748268,1.695063417240176e-20,3.0333849076380753e-12
4,2.6184699554448328e-17,8.929786164010988e-17,7.618862126339558e-24,0.01872623677748268,1.695063417240176e-20,3.0333849076380753e-12
5,2.618469955444833e-17,8.929786164010988e-17,7.618862126339558e-24,0.01872623677748268,1.695063417240176e-20,3.0333849076380753e-12
6,2.199096900524944e-18,7.143828971509353e-18,6.095092955094763e-25,0.019033915726322504,1.382052322855721e-21,2.426707926113177e-13
7,1.1339232192291092e-19,4.3804959076993337e-26,3.536981647736673e-31,0.019060670417525967,2.8262596808239424e-23,2.952895009964444e-25
8,1.1339232192291092e-19,4.380495907699333e-26,3.536981647736673e-31,0.019060670417525967,2.8262596808239424e-23,2.952895009964444e-25
9,1.1339232192291092e-19,4.3804959076993337e-26,3.536981647736673e-31,0.019060670417525967,2.8262596808239424e-23,2.952895009964444e-25
10,1.1339232192291092e-19,4.3804959076993337e-26,3.536981647736673e-31,0.019060670417525967,2.8262596808239424e-23,2.952895009964444e-25
11,1.1339232192291092e-19,4.3804959076993337e-26,3.5369816477366725e-31,0.01906067041752597,2.8262596808239424e-23,2.952895009964444e-25
12,1.1971181200000278e-15,1.880015593979149e-17,3.6111403729614043e-28,0.020261349433837124,9.499664524300805e-19,3.690253260769634e-11
13,1.2968685139732032e-15,2.0366835597790368e-17,3.91177398890421e-28,0.020361406018529718,1.0291279682495199e-18,3.997774365833767e-11
14,2.460511807655769e-14,3.056601629193513e-17,1.416448160473975e-16,0.017858830327279866,0.0017121310604788504,2.0201519403636186e-11
15,4.841462031790743e-14,4.098453420530882e-17,2.8633575717068357e-16,0.015302435803960122,0.0034610821437636966,3.672304060028261e-21
16,4.841462031790743e-14,4.0984534205308827e-17,2.8633575717068357e-16,0.015302435803960122,0.0034610821437636966,3.672304060028261e-21
17,4.841462031790743e-14,4.098453420530882e-17,2.8633575717068357e-16,0.015302435803960122,0.0034610821437636966,3.672304060028261e-21
18,4.841462031790743e-14,4.098453420530882e-17,2.8633575717068357e-16,0.015302435803960122,0.0034610821437636966,3.672304060028261e-21
19,1.869090075247403e-12,1.783656708742546e-18,1.2316420444329934e-17,0.0006581692818942048,0.01486034737980734,4.063874510936042e-21
20,1.950918185581313e-12,2.1819517885635027e-20,9.446364039273565e-22,3.601723942792252e-15,0.015372673907269974,4.081473182886954e-21
21,1.950918185581313e-12,2.1819517885635027e-20,9.446364039273565e-22,3.601723942792252e-15,0.015372673907269976,4.081473182886954e-21
22,1.2876069836963692e-12,1.440088223709844e-20,6.296613753712124e-22,2.3771441488296766e-15,0.016808365855158387,2.735184421650053e-21
23,2.8859197132883785e-18,1.2722921265654416e-27,1.8239261115168183e-23,1.8666431736328425e-20,0.019595297283412368,1.2180035571959793e-22
24,1.894161331724241e-18,8.349418189696906e-28,1.1969515107343224e-23,1.2249868723895167e-20,0.01916844933055498,8.009216660819812e-23
25,8.044214654334324e-22,3.2265052956463443e-34,1.4955755918062076e-33,6.660924985813258e-26,0.01835355778419088,4.674419409803009e-25
26,8.044214654334324e-22,3.2265052956463443e-34,1.4955755918062074e-33,6.660924985813258e-26,0.01835355778419088,4.674419409803009e-25
27,5.887443450817591e-19,1.071942237629108e-23,4.2354584785299565e-32,1.3808598179578134e-22,0.017833239565368697,1.1869972098593852e-21
28,1.8171339829901695e-16,4.976863260111224e-21,6.144651393949699e-23,2.3171665296085143e-12,0.017993444619539577,1.4501489825620853e-21
29,0.0002518540008122985,1.4520972458808792e-20,1.7930897118910513e-22,0.0025789623309193294,0.015821665418659318,4.868251277714692e-18
30,0.0014427636332217304,6.895102478093022e-22,6.17125418681838e-24,0.014773769885763736,2.438251300075138e-05,2.7886402538271725e-17
31,0.017216375636930892,8.424583664450454e-23,3.1104265096643987e-12,0.0005129781210334631,8.466150347483222e-07,1.3707049087686934e-14
32,0.01778377175217223,6.247373552346864e-23,3.2223123553355577e-12,1.7504579942668335e-20,1.0789284448233394e-20,1.4199105299382928e-14
33,0.01778377175217223,6.247373552346864e-23,3.222312355335558e-12,1.7504579942668335e-20,1.0789284448233394e-20,1.4199105299382928e-14
34,0.019108664969639384,6.51152258463816e-20,2.9073505991074516e-13,1.6019018566655087e-21,1.2593439938191136e-11,1.499305239490079e-07
35,0.01924005933831381,7.156673845241712e-20,1.2152150755502625e-19,2.4776757227211825e-23,1.3842376129338427e-11,1.6479966541180814e-07
36,0.01924005933831381,7.156673845241712e-20,1.2152150755502625e-19,2.4776757227211825e-23,1.3842376129338425e-11,1.6479966541180814e-07
37,0.01924005933831381,7.156673845241712e-20,1.2152150755502625e-19,2.4776757227211822e-23,1.3842376129338427e-11,1.6479966541180814e-07
38,0.01924005933831381,7.156673845241712e-20,1.2152150755502625e-19,2.4776757227211825e-23,1.3842376129338425e-11,1.6479966541180814e-07
39,0.018443813302591604,8.361205177562924e-20,2.3643811506172325e-20,1.1617147313075063e-23,2.6593727601356987e-12,3.1661336283496954e-08
40,0.01825446211116986,8.647648604151504e-20,3.680179335790152e-22,8.487727882274248e-24,7.703342791126359e-21,3.921615205094428e-13
41,0.01825446211116986,8.647648604151504e-20,3.680179335790152e-22,8.487727882274248e-24,7.703342791126359e-21,3.921615205094428e-13
42,0.01825446211116986,8.647648604151504e-20,3.680179335790152e-22,8.487727882274248e-24,7.703342791126359e-21,3.921615205094428e-13
43,0.016582083974242226,8.692083846950876e-21,5.590912794581227e-17,8.446581840486115e-22,1.2525254581005493e-16,3.7349731941229216e-14
44,0.016406044170355107,5.042520369967524e-22,6.17942605697995e-17,9.326761268029628e-22,1.38436213438188e-16,1.1226182593703562e-18
45,0.016406044170355107,5.042520369967524e-22,6.17942605697995e-17,9.326761268029628e-22,1.3843621343818796e-16,1.122618259370356e-18
46,0.016406044170355107,5.042520369967524e-22,6.17942605697995e-17,9.326761268029628e-22,1.3843621343818796e-16,1.122618259370356e-18
47,0.016458032440282322,4.986994166040289e-22,4.08411122950259e-12,1.294732400281996e-21,1.3816075516495052e-16,1.1115547833268856e-18
48,0.020149199605114698,1.0446336872065406e-22,2.94051621131686e-10,2.7000727817293367e-20,1.1860321776509134e-16,3.2604798424048356e-19
49,0.020149199605114698,1.0446336872065405e-22,2.94051621131686e-10,2.7000727817293367e-20,1.1860321776509134e-16,3.260479842404836e-19
50,0.020149199605114698,1.0446336872065408e-22,2.94051621131686e-10,2.7000727817293364e-20,1.1860321776509134e-16,3.260479842404836e-19
51,0.020149199605114698,1.0446336872065405e-22,2.94051621131686e-10,2.7000727817293367e-20,1.1860321776509134e-16,3.260479842404836e-19
52,0.020149199605114698,1.0446336872065406e-22,2.94051621131686e-10,2.7000727817293367e-20,1.1860321776509134e-16,3.260479842404836e-19
53,0.01891939149423665,6.2072081734821185e-24,1.746841313672182e-11,1.6450223661820139e-21,1.5400643394217681e-09,6.040366871621577e-18
54,0.0188417194030233,1.5559283975743997e-27,1.9776671297269048e-22,4.360939032234958e-23,1.637331553368203e-09,6.401271222403541e-18
55,0.0188417194030233,1.5559283975743995e-27,1.9776671297269048e-22,4.360939032234957e-23,1.6373315533682028e-09,6.401271222403541e-18
56,0.018694572522676613,2.1387166305690386e-23,5.379741806689109e-21,4.0990986089774303e-23,1.3924969315862192e-09,6.004192464113947e-18
57,0.017857674640704844,1.4301782532654324e-22,3.4852225152201245e-20,2.6098812017002486e-23,2.0201187217795796e-17,3.745807026341882e-18
58,0.017857674640704844,1.4301782532654324e-22,3.4852225152201245e-20,2.6098812017002486e-23,2.0201187217795796e-17,3.745807026341882e-18
59,0.017935608615150766,8.340816011901365e-19,1.876981878568386e-21,3.821409561386477e-21,3.507464835267808e-13,2.430793070071639e-19
60,0.01794003668188065,8.814644752449552e-19,3.388510748336881e-24,4.0370522176006514e-21,3.7067411320516504e-13,4.406068659041853e-20
61,0.01794003668188065,8.814644752449552e-19,3.388510748336881e-24,4.0370522176006514e-21,3.7067411320516504e-13,4.406068659041853e-20
62,0.018451147324076527,1.662286413499817e-19,6.389925243934646e-25,2.8386560095612208e-21,6.989854714598238e-14,9.394491373754763e-21
63,0.018712145964507237,1.1473874654767437e-16,3.2954092450583574e-23,1.969721749545964e-21,1.2183268586549922e-22,1.8973853552664765e-17
64,0.01897924094778612,3.3022368729684613e-16,9.484344806721065e-23,8.608583977117797e-22,1.552113155380562e-22,5.4605162755378856e-17
65,0.013816887436618332,1.237382844306963e-08,2.0299439135578984e-22,4.3602777002404464e-17,1.6597468777317307e-16,0.004668145999274393
66,9.790454901613818e-11,4.549201545098083e-08,4.924572101575753e-22,1.6030202315254019e-16,6.102006425710859e-16,0.017162301467920416
67,9.790454901613818e-11,4.549201545098083e-08,4.924572101575753e-22,1.6030202315254019e-16,6.102006425710859e-16,0.017162301467920416
68,7.457832279270085e-11,2.4167633208333567e-08,2.616220401391549e-22,8.516045068554989e-17,3.2425065773192104e-16,0.018480804261995956
69,4.81419330728052e-11,1.5666288615370835e-26,8.847451611840057e-27,1.8896275338328906e-24,1.7400824753429874e-19,0.0199751074286149
70,4.81419330728052e-11,1.5666288615370835e-26,8.847451611840057e-27,1.8896275338328906e-24,1.7400824753429874e-19,0.0199751074286149
71,4.81419330728052e-11,1.5666288615370835e-26,8.847451611840057e-27,1.8896275338328906e-24,1.7400824753429874e-19,0.0199751074286149
72,1.1394381339380668e-11,2.4254354474757976e-22,4.338531388509666e-27,4.501741170569178e-25,4.920500613232897e-10,0.014801973141232196
73,2.640302019063356e-15,3.1772718706985874e-22,2.940766119277244e-27,3.9435578563662146e-27,6.44585580279567e-10,0.013198301512143558
74,1.5120505120622828e-10,4.404984312494496e-21,6.439705438764145e-22,1.7583089416226296e-19,2.8453463929418544e-10,0.016436940857245223
75,2.4354400013232947e-08,4.4407600661179634e-21,6.705551523210558e-22,1.8308830141883062e-19,2.3217834122557757e-11,0.01637991353614452
76,9.973764070942717e-08,3.76206244351153e-18,3.2221731997116643e-24,7.120353591573229e-27,0.006434537831593882,0.007956060779024107
77,1.4525081336217127e-07,7.848440611916339e-18,6.70623954377649e-24,1.4853610350855297e-26,0.013423777140113686,0.002757022117012859
78,5.0742862968442126e-08,3.0225914051301176e-18,5.309868754096246e-22,3.60283248618751e-21,0.004689529131919637,0.011778250063090157
79,3.3926711104690153e-13,4.3153142833214647e-19,8.124798342637712e-22,5.537231215087999e-21,3.3690272562659253e-15,0.01662186238313166
80,3.3926711104690153e-13,4.3153142833214647e-19,8.124798342637712e-22,5.537231215087999e-21,3.3690272562659253e-15,0.01662186238313166
81,0.01187501352685633,1.1147821310694584e-12,3.374167033152327e-22,3.295292037592959e-20,9.910797243629638e-13,0.006902298809898073
82,0.020307994147136563,1.9064387003066103e-12,5.303061264734294e-26,5.2422032968411306e-20,1.6924974657865607e-12,4.050030800842966e-11
83,0.020307994147136563,1.9064387003066103e-12,5.303061264734294e-26,5.2422032968411306e-20,1.6924974657865607e-12,4.050030800842966e-11
84,0.019840532595933078,1.1335581461282798e-12,5.777603068682244e-21,2.716988595344402e-18,1.006350494570623e-12,2.465001028458363e-11
85,0.019154922320834638,6.173390024967184e-26,1.4251343124517652e-20,6.6250195534958546e-18,1.603453914638493e-18,1.4029069562761202e-12
86,0.019154922320834638,6.173390024967184e-26,1.4251343124517652e-20,6.6250195534958546e-18,1.603453914638493e-18,1.4029069562761202e-12
87,0.01835680055746667,2.0284492360915534e-23,1.3659199716613222e-20,6.348984650516601e-18,3.828156590855626e-14,0.000862485011995452
88,3.4156640387506222e-15,4.854079369562304e-22,3.9901334811282287e-23,1.8188199376940633e-22,9.187207023653136e-13,0.02069964025562399
89,3.4156640387506222e-15,4.854079369562304e-22,3.9901334811282287e-23,1.8188199376940633e-22,9.187207023653136e-13,0.02069964025562399
90,1.2914545545005544e-16,1.8348003598297726e-23,1.0187965243937116e-19,6.855862807239289e-24,3.4630295421451555e-14,0.020795134985073703
