parte,capit,E,G,H,A,C,F,B,D
1,1,0.6017942871230971,0.7173842251143251,1.094421039657503,1.9085041710832922,0.5086977742421387,0.6069878353826343,0.5363994167435554,0.7508716280476115
1,2,0.8933608565121012,0.9338702910194452,0.9953645005422801,2.055779795495856,0.8076066181891808,0.7963387256136506,0.921716585520461,1.0414855221607717
1,3,0.8744779487217977,0.9064552108175896,0.7382113083679467,1.7715417335404466,0.8973148203778071,1.0428231639095105,0.9161076482479241,0.7210290385808278
1,4,1.1385066955564467,0.7911396928763482,0.7744443851187951,1.835752483235162,0.83711275012011,0.9225230659208237,1.0654542853737057,0.9014986188296354
1,5,0.999400823694288,0.9193821989960187,0.948866339602583,1.9674774109250952,0.9940076490484289,0.8773293454968383,1.2515001108935322,1.076132001954034
1,6,1.0170981265252235,0.9980128082570203,0.9300028097303626,1.4073339983666868,1.062562145958608,1.0247024511623928,1.6871906648956487,1.0787213166566638
2,1,0.8905285961384438,0.9547128877358698,1.059090224640038,1.505225057850449,1.6151514940289815,0.8305637307784162,1.3433960188500995,1.0441694511808697
2,2,1.2516018610970012,0.7744526620322686,0.8273036245358235,0.9477424233416932,2.4384351039387653,1.0393362740477377,1.011165763599927,1.4079873967641319
2,3,1.3711794488467988,0.8049081069443691,0.6835018452274797,0.8656986489182328,2.5089680873373386,1.173216632972214,1.3343125063408012,1.3461474719287345
2,4,1.2324471692973409,0.7397954228140139,0.5357512858171543,0.7712734540836328,2.239701946193433,1.1369106608793313,1.0105412167471484,1.1703981628596827
2,5,1.2740111302465171,0.9254418860524666,0.8241530074507035,1.153570438518368,2.0779881634721873,1.1128010724073316,1.2128983717506951,1.459577610988079
3,1,1.5691255908194788,0.8385217124908596,1.2226739793065635,1.0947696844267973,1.2000268436320891,1.025303921332057,1.2825188215491883,2.329780200917779
3,2,1.790677437424324,0.635742547965462,0.9240675937690127,0.6210406965557238,1.1117940153251673,1.250797615367759,1.1843441575098481,2.1936728770630314
3,3,2.3023814875564796,0.891268903622168,0.7712718617448532,0.8083146030471001,1.1324969677068955,1.3820944603314158,1.2765284757886235,1.5943520840927747
3,4,2.292657702464864,0.9401923103821702,1.0455566174537676,0.9254297205238364,1.1509791611177778,1.1497872985773616,1.323619841118438,2.1294008499371344
3,5,1.4503256407980036,0.7621864099550634,0.9312575026128016,0.9029496661771778,1.2460429130572355,1.232900911605457,1.1733651726789676,2.41098090623031
3,6,1.3500640688935324,0.826657222057401,0.911281114220058,0.900155358750823,1.345425516401355,1.1196594127319204,1.5454403816601374,2.6938592236751426
3,7,1.5898413922832233,1.0349855209576666,1.0348596586053185,0.9755459853564679,1.245184381604997,1.1810654073558156,2.272722536301753,1.938573141311233
3,8,1.4424853403205522,0.9004208525359374,0.7679546057478108,0.918995319047202,1.183132573065966,1.5531438711291201,1.8621674959985093,1.3148576391019873
3,9,1.7344524235156515,0.8478872356693158,0.9271714833418524,0.8060285566243003,1.1519772955364687,1.881888637590164,1.3205648781522805,1.5532577830694192
3,10,1.3672015319980082,0.676949040836284,0.6014739265042277,0.6974253443438306,1.1212516856761565,1.9263710718449356,1.0413928275221973,1.2700005616668097
3,11,1.8048352611531129,0.7600198611454438,0.5865261930427621,0.6981350759195404,1.3846980656048775,1.311469052770957,1.2306174468570577,2.7537462060286977
3,12,2.339928668099392,0.9270805026589913,0.7904835978186281,0.8550311744424,1.2838080918783161,1.4662757098723436,1.2291072249784507,1.4210840879847815
3,13,1.6383477794055241,0.7943328693817716,0.9805303193951758,0.8318009414601171,1.1105967470698817,1.6757639879075257,1.0396877207328046,1.286528703282698
3,14,1.5079003271954272,0.9827995506072138,1.1539432478685616,1.1815135986710181,1.0602833471677042,1.4309175018418039,1.195120075411095,1.2533574388636715
4,1,0.6010668352742832,0.8678574979367161,0.9155434764087866,1.931273569771781,0.544390802232812,0.6275358397238713,0.7832896128416985,0.680444782693131
4,2,0.9121411309528228,1.7105181905416629,1.1199908798487805,1.9583964562717189,0.8376210187925149,0.8696239242602375,0.8667249224159458,0.8645994565483154
4,3,0.8821885148444858,1.996415041737244,1.486843901072764,1.48473062091249,0.7092453448158486,0.6915713757921397,1.0531168092198782,0.8208595302512345
4,4,1.0521773059851227,2.5903777231652754,1.0409687986468126,0.9438631887044016,0.8083730308867985,0.8212352164062671,0.9796303792924578,0.8112481788330487
