topic_letter,topic_id,top_terms,gloss,ord
A,3,"tz'aq, b'it, b'itol, tz'aqol, alom, k'ajolom, kaj, tzuqul, q'o'l, xpiyakok",tz'aq,1
B,0,"xib'alb'a, kame, kik', kati't, samajel, chowen, b'atz', tukur, xajoj, xb'alanke",xib'alb'a,8
C,4,"sipakna, jal, kaqix, k'ajolab', nik'aj, q'apoj, xb'alanke, much', o', echa'",sipakna,9
D,2,"amaq', ik'i, tojil, kitze, majukutaj, q'apojib', b'alam, xawi, jaq'awitz, k'ajb'",amaq',43
E,1,"le', q'alel, ajaw, pop, ch'okoj, nijaib'ab', ajawab', tzik', k'iq'ab', tuja",le',66
