doc_id,d
2,0.0
3,6.892904025335156e-09
4,6.892904025335156e-09
5,0.0
6,2.3373462054721017e-09
7,0.641642825652216
8,0.06641543753742007
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.00031628894631063886
15,0.03210266236160808
16,0.9591066000489313
17,0.0110805454359858
18,1.702048502139064e-10
19,0.0001538980855745331
20,0.0001538971177520443
21,0.045995187476838395
22,0.022911501520592292
23,0.19063378707041068
24,0.699372569635526
25,0.021339382072877444
26,2.9976021664879227e-15
27,0.0005426444217169202
28,0.0005426444217169202
29,0.004141502772317396
30,0.004141502772010863
31,0.6803093175304329
32,0.2962954262070977
33,0.40764796688676586
34,0.2024115494073666
35,0.0
36,0.0
37,0.0
38,0.0029429440735966317
39,0.004644321466261259
40,0.0017063993866348603
41,0.04423087312133123
42,0.044230873105891244
43,2.2393198406689407e-13
44,0.09664234874789501
45,0.39079162086237584
46,0.1537903285912361
47,0.0064875836261215625
48,0.13692093321898302
49,0.13128741619841044
50,0.22348038400808545
51,0.03684038905356968
52,0.03686105259605599
53,0.03686105259029715
54,0.0
55,7.702432993916819e-05
56,7.702432993916819e-05
57,9.987566329527908e-13
58,9.987566329527908e-13
59,0.588584424410142
60,0.20747113343585477
61,0.04635960284029972
62,0.7202206640836613
63,0.041053012413649004
64,0.22752365201852176
65,0.12499794165464995
66,0.003569259486687626
67,0.006546561249271554
68,0.004448827424467505
69,0.10016861009147815
70,0.5637631599937949
71,0.0
72,0.0
73,0.0
74,0.0
75,0.00026377130408794525
76,0.00026377130408794525
77,0.0
78,0.002540358481932792
79,0.0021368881990676547
80,1.7454975491770774e-05
