topic_letter,topic_id,top_terms,gloss,ord
A,3,"sipakna, alom, k'ajolom, omuch', ajb'it, xpiyakok, ajtz'aq, kab'raqan, tap, uq'ab'",sipakna,1
B,1,"kame, kati't, ch'o, ajal, xpeq, xb'alanq'e, q'apoj, kotz'i'j, tukur, ku'lel",kame,12
C,2,"ajpop, unim, q'alel, q'amja, kikab', ismachi', ajawarem, k'otuja, chinamit, lab'al",ajpop,37
D,0,"tojil, amaq', q'apojib', tulan, ajk'ixb', jaqawitz, ajkajb', k'ul, sita'l, wonon",tojil,38
