para_id,H,I,A,F,B,E,D,G,C
126,5.8259691748518136e-33,2.5101074666459127e-09,2.4456757140997368e-52,0.025406290667483157,1.2203288248774765e-12,3.636131542631356e-61,8.370255640447313e-22,2.7431824729171746e-60,3.5312667423988595e-23
127,2.3786159820565106e-08,0.018694814453051725,0.0004244224650467925,0.006944028188694364,9.42297205337503e-25,7.986518915345981e-22,0.0005416460879211933,1.9110700130094403e-39,5.419646386990801e-49
128,2.755879244514332e-14,0.00823293018296735,0.0019800548293597586,0.013864725915844752,1.342862636149872e-38,2.948036822022912e-37,3.0979993623797556e-26,4.5514782762624614e-33,2.2316245933119756e-43
129,0.00278591404198974,0.013949534855632443,0.013103002396490586,8.147358741867924e-07,2.338731226147429e-10,1.2641803480863388e-08,0.0011252931248716598,4.5158066887522495e-22,0.0011321423217514788
130,0.005386854726288914,0.000573797741118078,0.02222222038030843,2.2498855275751196e-37,0.00010929199418517568,2.8207788919067963e-28,7.960769158619602e-14,1.4323717635004653e-35,1.6303187835590068e-42
131,3.16598312272812e-16,1.8971480597708625e-77,0.01721589842979925,3.4753058392056085e-100,1.10740790173706e-75,1.0505922385435834e-64,1.9928017209668068e-64,8.488027453460167e-52,3.152236347749829e-27
132,1.4968181091121426e-104,5.944478512445381e-94,0.013247439722394661,9.814567436049774e-116,3.6490762156150274e-115,8.366996454618902e-116,1.4443597803054475e-92,6.280367814364214e-109,8.038398450568444e-132
133,3.725442447057784e-128,7.818122632400887e-65,0.012176641154430916,9.669813855012354e-116,2.9668604356861417e-112,3.165558839028099e-118,9.009761585887659e-104,3.4839653729264964e-93,1.1562758197051763e-157
134,0.001866420078858686,6.15434830812513e-11,0.01729910871850269,1.302199989378059e-32,8.888936200549215e-12,2.2552879937483277e-25,7.446995991235255e-14,3.492943744826218e-45,5.7236219921165947e-39
135,8.920978704118598e-28,6.624499539628567e-21,0.007723951096153366,0.007908364176589704,4.984929611035587e-32,8.184095560325979e-52,0.001609021066209243,2.316492497708403e-61,1.2914481337425319e-76
136,0.0023595620889298135,0.005424084352375088,0.015911816643528077,9.278271717717105e-38,0.00015316331160435565,8.980539661293313e-11,1.132110397200912e-16,0.000491521391789044,4.5868245257524224e-17
