term_str,0,1,2,3,4
a,-0.007451723220649278,-0.0007731557011200636,-0.0037534190332399486,0.001003887080102353,0.0029466822817277934
a',-0.001977565760987466,-0.00014329522606566292,-0.001668848441036311,0.00010350206761509322,0.0002842600754190644
a'on,-0.0001452303677125225,0.001995766296220277,0.0007943786885844939,0.002185432499409798,6.329856109751284e-05
ab'aj,-0.003246372044368681,-0.0035183284438922552,-0.001021757230765923,0.0003050658121949406,-0.0023229414678564526
ab'ajil,-0.00023826487311177049,-0.0004085403162101301,-0.00013686942226663607,0.00020375447769680575,-0.00010457298629502009
ab'anel,0.0006355388695234905,-1.6357064095082465e-05,0.000936426562643837,-0.0010631581381575622,-0.0006065158618927917
ab'anoj,-0.0005720553674360886,0.00016181561377544756,-0.00023214193499520376,-0.00032485855188593693,-8.596582969815586e-05
ab'i',-0.0005965650557390689,-0.0011942472070447991,-0.00041846320670617463,0.0007387235614011169,-0.0007365004924020026
ab'ix,-0.001794527464636204,0.0030027665624297907,0.0017326285064830761,-0.00030945845356409425,-3.870554535213761e-05
ab'ixik,-0.001297633789892741,0.0008273108253422017,-0.0001865420771061922,-0.0018960599971389715,0.0010528549511106614
ab'ixom,-0.0002975879710428395,0.0002764869284289554,0.00010070194878838728,-0.00019049784861379572,3.924812368449928e-06
abix,-0.0005720553674360885,0.00016181561377544797,-0.00023214193499521276,-0.00032485855188593227,-8.596582969820606e-05
achaq,0.00022629674588005142,-0.0001277337557789474,-0.00037821175895894044,5.681012222436786e-05,-0.0002926059955848601
achb'ilan,-0.00042134878969759425,0.0001586609914669028,-0.00021744398267219524,-0.0001793159370903799,-6.472918759199494e-05
achb'ilay,-0.00022993193829249644,0.0006486466623844165,-0.0007560551037280199,-0.0005917744533130647,0.001160294517276989
achij,0.00029855370029841074,0.000235034557818463,-0.002658849663266346,-0.00048122243656569284,-0.0020932301865315248
achijab',9.335437046149007e-05,-0.0007819784702985888,-0.0001775879452936039,0.00047817905619652466,0.0012717299804391553
achijil,-0.00021494870756868953,-0.00041898861562579206,0.0001566325495505774,-0.0004689491588536561,-0.0006903636003544386
achijilal,-0.0003718110654620595,-0.0007737111971338613,-0.0001071986082577644,0.00042002256888274954,-0.00011914558740159923
