doc_id,cluster_label,cluster_letter
0,4,A
1,4,A
2,4,A
3,4,A
4,4,A
5,4,A
6,4,A
7,4,A
8,2,B
9,2,B
10,2,B
11,2,B
12,2,B
13,2,B
14,4,A
15,2,B
16,2,B
17,2,B
18,2,B
19,2,B
20,2,B
21,2,B
22,2,B
23,2,B
24,2,B
25,2,B
26,2,B
27,2,B
28,4,A
29,2,B
30,4,A
31,2,B
32,2,B
33,2,B
34,4,A
35,2,B
36,2,B
37,2,B
38,4,A
39,4,A
40,4,A
41,4,A
42,3,C
43,4,A
44,4,A
45,4,A
46,3,C
47,3,C
48,3,C
49,3,C
50,3,C
51,3,C
52,6,D
53,6,D
54,3,C
55,3,C
56,3,C
57,3,C
58,3,C
59,3,C
60,3,C
61,3,C
62,3,C
63,3,C
64,3,C
65,6,D
66,6,D
67,6,D
68,6,D
69,1,E
70,1,E
71,1,E
72,6,D
73,6,D
74,6,D
75,6,D
76,6,D
77,6,D
78,6,D
79,6,D
80,5,F
81,1,E
82,5,F
83,1,E
84,5,F
85,1,E
86,6,D
