topic_letter,topic_id,top_terms,gloss,ord
A,3,"k'ajolom, alom, tz'aqol, b'itol, xpiyakok, chawaxoq, q'ukumatz, tz'ite', ajb'it, kamul",alom,1
B,4,"kaqix, sipakna, kab'raqan, omuch', k'ajolab', jul, lal, tap, uq'ab', nuwach",kaqix,5
C,5,"b'atz', chowen, kati't, ati't, walib', ab'ix, q'apoj, su', ajsu', ajb'ix",b'atz',11
D,6,"ajal, kame, tukur, q'ala, q'apoj, kichaj, puj, patan, kuchumakik', xo'l",ajal,12
E,7,"ch'o, pom, kati't, ik, aj, k'o'akutek, kekamoq, utux, xkitik, k'oka'ib'",ch'o,22
F,8,"q'apojib', xpeq, ku'lel, aji, mixiti'owik, tojil, k'ul, roq'ib'al, amaq', xtaj",q'apojib',24
G,1,"kotz'i'j, kame, xk'astaj, xb'e'uk'ama', te', kib'aqil, k'ajolab', yan, xkimayjaj, xjun",kotz'i'j,27
H,0,"tojil, amaq', k'itze', tulan, ukab'awil, majukutaj, tamub', iq'ib'alam, kiq'aq', jaqawitz",tojil,37
I,2,"unim, q'alel, kikab', ismachi', ajpop, k'otuja, q'amja, k'iche', chinamit, tinamit",unim,53
