cluster_letter,cluster_label,n,ord,gloss,top_terms
A,4,2,0,k'iche',"k'iche', chokojib', chokoj, oxib', ilb'al, saqil, nim"
B,10,9,1,ta,"ta, xa, kaj, winaq, wi, e, ulew"
C,5,4,7,ta,"ta, sipakna, k'ajolab', kak'ix, xa, k'u, xcha'"
D,7,6,11,ta,"ta, jun, junajpu, k'u, ajal, wuqub', xa"
E,6,8,14,ta,"ta, k'u, jun, xa, wi, xib'alb'a, junajpu"
F,8,9,28,ta,"ta, b'alam, amaq', tojil, wi, xa, e"
G,9,4,37,ta,"ta, puch, ajaw, xa, ajpop, amaq', ajawab'"
H,3,3,38,q'amja,"q'amja, ajpop, ajawab', popol, ajaw, k'ute, lolmet"
I,1,4,40,unim,"unim, ajaw, ja, jun, unimja, nim, lolmet"
J,2,2,44,le',"le', ajawarem, k'otuja, don, tas, ajawab', tepepul"
