doc_id,n_tokens
0,193
1,299
2,508
3,193
4,370
5,417
6,214
7,993
8,704
9,475
10,631
11,556
12,345
13,291
14,512
15,872
16,497
17,427
18,1680
19,175
20,782
21,581
22,1845
23,1098
24,801
25,286
26,551
27,545
28,2160
29,730
30,677
31,290
32,385
33,731
34,870
35,442
36,374
37,940
38,49
39,39
40,27
41,374
42,778
43,682
44,208
45,20
46,91
47,106
48,88
49,89
50,94
