chunk_60_id,cluster_label,cluster_letter
1,2,A
2,1,B
3,2,A
4,1,B
5,1,B
6,1,B
7,1,B
8,1,B
9,1,B
10,1,B
11,1,B
12,1,B
13,2,A
14,2,A
15,2,A
16,2,A
17,2,A
18,1,B
19,1,B
20,1,B
21,2,A
22,2,A
23,2,A
24,2,A
25,2,A
26,2,A
27,2,A
28,2,A
29,2,A
30,2,A
31,2,A
32,2,A
33,2,A
34,1,B
35,1,B
36,1,B
37,2,A
38,2,A
39,2,A
40,2,A
41,2,A
42,1,B
43,1,B
44,2,A
45,2,A
46,2,A
47,2,A
48,2,A
49,2,A
50,2,A
51,1,B
52,1,B
53,2,A
54,2,A
55,1,B
56,1,B
57,2,A
58,2,A
59,2,A
60,2,A
