doc_id,n_tokens
0,18
1,7
2,70
3,121
4,180
5,38
6,50
7,27
8,79
9,56
10,118
11,105
12,91
13,164
14,376
15,96
16,54
17,61
18,37
19,93
20,156
21,28
22,250
23,311
24,64
25,178
26,139
27,268
28,376
29,401
30,358
31,288
32,29
33,119
34,133
35,118
36,34
37,92
38,34
39,203
40,96
41,28
42,138
43,126
44,30
45,33
46,190
47,72
48,58
49,142
50,11
51,177
52,43
53,101
54,24
55,137
56,214
57,159
58,242
59,93
60,137
61,147
62,350
63,236
64,174
65,250
66,163
67,71
68,256
69,82
70,133
71,72
72,131
73,127
74,478
75,294
76,605
77,68
78,229
79,64
80,127
81,236
82,110
83,146
84,74
85,140
86,84
87,192
88,182
89,231
90,451
91,604
92,582
93,58
94,175
95,264
96,399
97,72
98,48
99,526
100,190
101,153
102,161
103,498
104,56
105,417
106,64
107,534
108,276
109,174
110,125
111,709
112,76
113,13
114,286
115,75
116,147
117,148
118,260
119,450
120,86
121,194
122,205
123,332
124,62
125,73
126,106
127,253
128,146
129,928
130,234
131,49
132,37
133,27
134,98
135,62
136,194
137,222
138,536
139,652
140,70
141,65
142,35
143,13
144,100
145,17
146,16
147,131
148,27
149,25
150,62
151,40
152,53
