doc_id,A,B,C,D,E,F,G
0,0.9483335325526667,1.3458769059717395,1.348950833260158,1.3502645409965826,1.2841690584521437,1.3597439254106858,1.3079427911326615
1,0.962044559950829,1.3178913344262715,1.3434840825777752,1.3204112174823581,1.2897528156985707,1.3358461155810801,1.3447064192728644
2,0.9522714244727524,1.332223467701849,1.3486638978331635,1.3130389630938144,1.2806392409015466,1.350351230969359,1.3215381537528106
3,0.9616288223716232,1.2829471413606885,1.3230927491410742,1.3148554240988795,1.270013115896396,1.3268899061067703,1.3242017794247354
4,1.3035392841017903,0.9240010452613042,1.2918713200753802,1.3165500480366201,1.3229572806680405,1.3542745182506923,1.3576258782597024
5,1.330257884652275,0.9411131252600835,1.2859535684581487,1.2983796973486628,1.348647289474185,1.3593336486808552,1.335096797656419
6,1.3408269140375988,1.0008274520942595,1.3258715400534646,1.3348661882628503,1.3597909643644308,1.3688787037407337,1.3864882771330953
7,1.3540570416060933,0.9499604390413016,1.301819032440179,1.313089137156558,1.3534318435652315,1.357079493291713,1.3761487145404974
8,1.2955335840486266,0.9883872535076736,1.297932342433103,1.2991377725778157,1.310792001360703,1.334580252753871,1.3479251690331024
9,1.2891612486258694,1.2613366015507834,1.1259163698662045,1.2586448836470174,1.3124474141125098,1.3494633226712878,1.2952127784220817
10,1.3556403793747076,1.3135741514407175,1.1200616475687788,1.2853999421518028,1.353489526128045,1.357453105357882,1.3401622030612241
11,1.3503283941198432,1.3315523669151568,1.1262298097984238,1.3141151670798343,1.3330040464246247,1.3479639579387388,1.330813691253138
12,1.3206828955124275,1.2990209599263267,1.144332767389245,1.2824153683503725,1.345220317813586,1.3585780587003526,1.3336776411904425
13,1.3377268193165262,1.3018735057613064,1.1229879396220224,1.2676965972956589,1.3440657443494801,1.3324520645894113,1.335487548226555
14,1.3410322071378966,1.297675070078603,1.2955693067771772,1.0643504518472782,1.3558462474447406,1.36591559609035,1.373477274525116
15,1.319012007540546,1.3018132447542357,1.2992770321750966,1.0332729677594674,1.3215445067967637,1.3456328749217528,1.3542902296818702
16,1.3281709698670183,1.33178624791153,1.3102730516754189,0.9876333699100726,1.332996041321504,1.360970147611235,1.3619765171658629
17,1.3217115062507152,1.3141065789740833,1.3103439378771091,1.04229826541162,1.3161249534390844,1.3254710413172395,1.3530505486364024
18,1.3525407090705657,1.3042402686073138,1.2475590266140886,1.0380461594773762,1.3425279256687794,1.3427960863429638,1.3528200625491584
19,1.3652520179585816,1.3100790392166481,1.1864984979497133,1.3081278262073621,1.36193201338272,1.3626045724899916,1.3808549432181876
20,1.3548713362572868,1.3212001756832317,1.147926620743586,1.3076228683418818,1.3617554730885135,1.3593052461038033,1.3791671796638896
21,1.3663094631901154,1.2976370809791549,1.10314372177821,1.3061716661999765,1.3540297659995502,1.350520560612283,1.358154678576496
22,1.3519060469091189,1.264018627053916,1.13221129365595,1.29980886714398,1.3522317447639711,1.3404730669689957,1.3564480003479977
23,1.3396899349548543,1.2856024997750957,1.1186345185750517,1.2708646149678358,1.2923121198284317,1.2991543140123953,1.3407881926740193
24,1.321162786903573,1.3089011281215237,1.128121533425462,1.2583247248733629,1.3282895237392924,1.3417631593608792,1.3557952018126753
25,1.3422393356618922,1.2972198498325955,1.1206659566573818,1.2931063173438655,1.3372255560744226,1.3242416049245584,1.3303925889172368
26,1.3527518112285508,1.31694830274026,1.1244819677526523,1.3105126087516166,1.342514818129581,1.3332944175053565,1.278850204472885
27,1.2957682819832488,1.3248060017332421,1.2736598536601405,1.0644728779343984,1.2889862867664785,1.3226018345156556,1.2861683265794117
28,0.9493068519741941,1.3452758589858356,1.3464709256545007,1.333292922536691,1.2683068321251605,1.3404631687856454,1.329179463696612
29,1.151538944641605,1.3359275849702024,1.3417148798237035,1.3288026680181904,1.0022255192928593,1.2343095835029,1.279886795811699
