parte,capit,E,G,H,A,C,F,B,D
3,2,0.008568835186527061,3.177155121634807e-41,4.444988388885084e-37,1.9274215837923617e-29,1.0325310518671798e-20,4.772522030544103e-19,1.7285914238758458e-16,0.011046067978634824
3,3,0.020483696181627584,1.559478100105311e-34,5.174204233769045e-37,3.3282795391874975e-29,1.0032994912891224e-32,8.241210718537677e-19,2.984938798960868e-16,4.524698109194159e-07
3,4,0.009334532521777373,6.104851585120523e-33,4.471106172876533e-27,9.613177517728093e-34,3.2830236939130335e-24,5.391712981124423e-29,1.7410280412955895e-27,0.008716796247443436
3,5,6.650363648841857e-05,9.942441988428742e-34,2.4907267752472247e-27,3.5691623993976836e-28,3.56251578793356e-19,5.597318826764316e-25,1.5319449522908177e-15,0.019102551401604755
3,6,7.2762426566094e-21,1.414100640662079e-34,8.773336986559826e-31,1.9766302108404918e-31,1.4355783056430698e-18,3.177828302525165e-25,5.023893833651162e-15,0.017759571018842044
3,7,1.0509374088009768e-16,3.691422093896806e-35,2.2902252536887197e-31,5.159870677796543e-32,8.597372634432243e-20,8.296323713152418e-26,0.017226671108255705,0.002403202037737533
3,8,4.795107967170606e-13,2.7343274888072312e-08,2.5044698051761622e-39,1.084604679629644e-33,4.0635757715279767e-22,0.008899186226844585,0.012086864082076666,2.919067207711569e-14
3,9,7.323423933147993e-11,2.2486619752494065e-48,1.4385994682723196e-47,4.7649061641376205e-43,1.0029207022840191e-27,0.020956625213660672,1.3253725195858657e-22,4.071604611509406e-16
3,10,1.4328446502530478e-11,4.073294459817999e-38,5.1003292111103456e-40,1.1516906127500002e-32,0.0003384563429506461,0.01792587062970806,2.6193631185093016e-23,5.745872120872175e-14
3,11,0.007382323139019348,2.5842966831053083e-37,1.1599418133835223e-40,2.6191810712936884e-33,1.7607425586407928e-17,0.0018042523605937971,2.1513251496721886e-26,0.006658656613104323
3,12,0.019088788453640575,6.951274706478892e-28,1.9410317573759515e-33,1.5047896756713693e-17,1.1788429493146847e-09,4.7080123060011146e-05,4.9370423588685355e-26,2.355438743559136e-17
3,13,0.0015779006372911486,4.24751440999786e-32,4.047397389183182e-18,2.0154074079781317e-28,4.298065244009667e-20,0.01961949556420243,2.5471963977614165e-27,3.9986178479899626e-23
3,14,0.006638841439984793,2.4834888242223094e-22,2.9389654719440456e-11,0.005205228405177596,1.3988566311992282e-15,0.00794273988504714,3.329176792722647e-17,2.0317642816763516e-24
4,1,0.00030938097726552,1.3311408296198186e-13,2.0078509767812576e-25,0.019884876206853298,2.4674459573701908e-15,5.0929841349593155e-15,5.869950655659715e-17,5.271787441523167e-26
4,2,2.351332827752597e-26,0.0006731565845807947,0.00032733964212171876,0.019391962066860453,1.1147917566935898e-34,3.540501126848082e-34,1.7084625805187985e-19,6.559525351919595e-31
4,3,2.7838990907923384e-25,0.011154750349501384,0.0035440910825604876,0.004786178144796002,2.8774936114384354e-34,1.0815739729699554e-36,1.849744491051768e-18,7.101872438540297e-30
4,4,0.0011230782855196813,0.016871377689464687,9.909393193440657e-14,0.0005331396139114079,4.2551088835499774e-05,1.9313057155372908e-14,0.0020248142903345205,1.135385085376389e-09
4,5,2.2620126581166834e-25,0.01316002603215313,6.375828810001599e-25,7.159194887191879e-23,4.599170194369289e-33,5.719337450502054e-27,0.007490840940155985,9.107560130740948e-30
4,6,7.760116152045268e-15,0.017756849181002222,6.721668076693665e-26,1.9725078649713877e-23,9.22369326823863e-25,0.001855813597016449,1.4920289181548782e-24,4.858556361427932e-18
4,7,5.747870801888906e-14,0.015025259259471367,5.325922206437251e-25,1.9260162969035566e-25,0.0001471237484328138,0.0037693320105726203,3.339138724026528e-28,0.0011959835414886483
4,8,5.7355354127098e-18,0.009471949954519839,2.4184259034911556e-25,9.311527748765183e-32,0.003424429071186542,6.023493303845549e-10,2.0965651364940866e-23,0.008377766118839875
4,9,1.4574398332214584e-15,0.00642413405115349,4.274228181138735e-20,5.932629327699268e-31,0.01095956630141734,1.4393482279385014e-14,3.5606930135542694e-23,8.753667048032828e-05
4,10,3.49560849625951e-11,0.01977566314053753,2.014517490455402e-20,3.677022365167976e-20,9.0673894877893e-12,4.0120208875753914e-13,2.4326188804531166e-12,1.348988970786704e-25
4,11,1.882136519347775e-12,0.020267421979112268,0.0006050276759895467,1.1850288741399503e-20,4.882315783874312e-13,2.1602637603131433e-14,1.309838247964559e-13,1.5938382139297165e-19
5,1,4.172710142727954e-25,0.012963098973766992,0.007636437897420403,6.347742091520007e-30,1.431873846549222e-35,8.604001556398851e-24,3.254121272585651e-18,1.300350521910001e-23
5,2,1.4974332565277758e-24,0.0006599741998762417,0.018080686185265232,1.1199895513346607e-32,2.887361938250842e-25,5.4093275688956475e-24,2.1623763935963088e-18,4.3557363746377874e-34
5,3,2.681312977111663e-47,1.1492762034400046e-35,0.016357603112449784,1.6564545382153015e-55,2.042896477350216e-45,2.3017521160206222e-36,1.0089414011264866e-42,3.3507674756866933e-43
5,4,2.681312977111663e-47,1.1492762034400044e-35,0.016357603112449784,1.6564545382153015e-55,2.042896477350216e-45,2.3017521160206222e-36,1.0089414011264866e-42,3.3507674756866933e-43
5,5,2.681312977111663e-47,1.1492762034400044e-35,0.016357603112449784,1.6564545382153015e-55,2.042896477350216e-45,2.3017521160206222e-36,1.0089414011264864e-42,3.3507674756866933e-43
5,6,4.234157217605036e-10,5.0980161880719975e-21,0.017338387944338278,6.365802838454847e-38,2.888705727150444e-28,7.5003891698094295e-25,7.43929853431461e-40,2.2393536530130073e-18
5,7,1.387915605144369e-10,2.031846211995858e-18,0.01830163833881678,1.7994591616258164e-24,1.9613871580353027e-12,1.4732030037027428e-11,7.57372930095631e-14,0.00011253367738941492
5,8,1.5023675581709815e-32,8.979664736531937e-16,0.02099368990740062,9.443588473706544e-17,1.4297427246798575e-30,2.1248111204697206e-33,1.050833820923019e-22,4.1864429334858e-28
5,9,6.800683731573603e-37,0.0005978815387818289,0.01656017907414075,1.9531366599890106e-17,3.0578913899208965e-39,3.8658974863537257e-39,1.7092013372372135e-42,1.418569379204286e-34
5,10,2.006005561591417e-40,0.0006614859578011724,0.016084497579965263,2.948219396320281e-25,4.5767444812411585e-43,3.05446917397783e-59,7.579543779560286e-43,2.4729261960335763e-36
5,11,2.006005561591417e-40,0.0006614859578011724,0.016084497579965263,2.9482193963202817e-25,4.5767444812411585e-43,3.0544691739778296e-59,7.579543779560286e-43,2.472926196033576e-36
5,12,1.4017888665615449e-37,0.00024337690900231817,0.01403575914078935,1.084722230721613e-25,3.0000908597281838e-40,7.710158838502582e-51,2.788700072021336e-43,7.503576581678914e-35
5,13,2.2165878453525628e-37,8.21205980537172e-29,0.01284320990007501,1.2386865656641014e-44,4.7437483297973e-40,1.2198161726716875e-50,3.453887613600898e-52,1.1727383664081103e-34
5,14,2.2165878453525628e-37,8.21205980537172e-29,0.012843209900075012,1.2386865656641014e-44,4.7437483297973e-40,1.2198161726716875e-50,3.453887613600898e-52,1.1727383664081103e-34
5,15,2.2165878453525628e-37,8.21205980537172e-29,0.012843209900075012,1.2386865656641014e-44,4.7437483297973e-40,1.2198161726716875e-50,3.453887613600898e-52,1.1727383664081103e-34
