parte,capit,E,G,H,A,C,F,B,D
1,1,7.422339273778324e-45,3.797934720241429e-35,6.992318860902655e-20,0.019344608373480364,1.2031904303920866e-38,1.523894419280946e-45,3.1279265310311374e-46,1.1846983665427408e-32
1,2,1.1699384307613102e-24,1.6874935203748137e-30,3.414309544154558e-20,0.020027420508436262,5.878838567111027e-39,7.945621191006877e-29,5.865765561244143e-35,5.791076359610542e-33
1,3,5.736408693929611e-19,7.708604931811682e-22,2.4954553918902207e-31,0.018105699107293132,4.662289751822241e-28,0.0016113119598097948,1.3535060472571442e-25,4.49711427635759e-36
1,4,7.971484080205265e-20,1.0712115355268398e-22,9.182539290115667e-36,0.019462172026940252,6.478861760494095e-29,0.00022391288393327629,3.563972797507841e-26,5.398025297012358e-24
1,5,4.8764545220363996e-18,1.1660471250577675e-28,8.2763945336744e-40,0.01982651858041651,5.542104233557754e-18,1.0056321850695591e-23,1.0949714126228438e-14,9.510192714899361e-16
1,6,2.7606751288876224e-18,6.597590638404739e-29,1.1020167456459057e-28,0.0069299524117454,3.442092852808491e-14,5.689949596126243e-24,0.013830169890652706,5.380947805686322e-16
2,1,5.675014868051333e-22,1.0482375143352971e-21,1.932395512837559e-17,0.004636681420104115,0.010779537669809736,7.1005859019176715e-31,0.0051062102901718006,9.526165079681265e-23
2,2,3.119658604761546e-21,2.5222227527718706e-22,4.6496446303140516e-18,0.0010595516080079076,0.01747160771033852,4.598602469272395e-28,1.1511862474008504e-21,2.963400065985569e-15
2,3,1.3455767839329102e-18,1.388149614961412e-26,5.046271931692169e-42,1.139907615145953e-28,0.017266597484645166,8.803060985932738e-28,9.060175610994075e-24,2.580473541527901e-30
2,4,2.1235766992346724e-18,2.1907669676578958e-26,3.452600530542604e-49,5.104712268135288e-28,0.01983339706324681,2.0478690576491202e-29,1.4298656768187047e-23,8.027514248362516e-26
2,5,6.903273552660705e-20,2.7726162855701795e-27,4.1488748424939824e-37,0.003806661040051716,0.015386000510725681,1.2940888766742933e-28,5.696919792905291e-08,0.0005181116466841572
3,1,3.1870020336403257e-19,7.602880466774137e-28,6.789872171608792e-20,0.0014457193174191338,0.001342629167216731,9.874132212793583e-29,2.163614492509571e-08,0.01666660228072776
