topic_id,top_terms,gloss
0,"kitze, b'alam, amaq', ik'i, tojil, tulan, xawi, majukutaj, kixoqil, k'ajb'",kitze
1,"kame, ajal, samajel, cha'j, chaj, tukur, xib'alb'a, q'apoj, ch'ami'ya, xpeq",kame
2,"q'alel, pop, ajawarem, k'iq'ab', ismachi', tuja, ajaw, le', tinamit, tzik'",q'alel
3,"b'it, alom, k'ajolom, tz'aqol, b'itol, xpiyakok, chawaxoq, q'ukumatz, xmuqane, saqil",b'it
4,"sipakna, lal, kaqix, kab'raqan, k'ajolab', jul, kab'al, o', much', qajoq",sipakna
5,"kati't, q'apojib', qati't, xpuch', xtaj, je', k'ul, chowen, b'atz', k'at",kati't
