chunk_60_id,n_tokens
1,2318
2,2318
3,2318
4,2318
5,2318
6,2318
7,2318
8,2317
9,2317
10,2317
11,2317
12,2317
13,2317
14,2317
15,2317
16,2317
17,2317
18,2317
19,2317
20,2317
21,2317
22,2316
23,2317
24,2317
25,2317
26,2317
27,2317
28,2317
29,2317
30,2317
31,2317
32,2317
33,2317
34,2317
35,2317
36,2317
37,2317
38,2317
39,2317
40,2317
41,2317
42,2317
43,2317
44,2317
45,2317
46,2317
47,2317
48,2317
49,2317
50,2317
51,2317
52,2317
53,2317
54,2317
55,2317
56,2317
57,2317
58,2317
59,2317
60,2317
